T,n,mean_u,mean_v,u_ci_lo,v_ci_lo,u_ci_hi,v_ci_hi,zero_d2,q95,zero_excluded
0.5,1000,0.08000593829995077,-0.15508626869666603,0.060116939667730886,-0.17531462703290243,0.10007652796328785,-0.135031427369552,227.09067714160133,6.041849831213973,True
0.55,1000,0.061753811064195266,-0.12365576883687611,0.04054327867416631,-0.14502272611248943,0.08276323360712408,-0.10270378643313838,128.8986612890812,5.978423454221909,True
0.6,1000,0.051116615158720846,-0.10719739895336416,0.028982597647432985,-0.12978724870942493,0.07370477436746901,-0.08487881623043421,87.55223560358792,5.9726658755443935,True
0.65,1000,0.042226422504129266,-0.08689793815957843,0.018921561888775744,-0.10977226919013815,0.06553398476197597,-0.06367240380437,54.260923878149676,5.950222222491724,True
0.7,1000,0.036997653872049265,-0.0764475302089921,0.012649785200791784,-0.10088110093427792,0.061316091337157076,-0.051954933870381324,38.072756923735724,6.035750386982929,True
