T,seed,window,mean_u,mean_v,norm,se_u,se_v,T2,crit,exclude0
0.5,2026091900,b60_m100,0.0695838603712107,-0.15007219812368638,0.1654194011409639,0.014212584079609517,0.014156195320403365,112.45070051679211,6.039755055454466,True
0.5,2026101900,b60_m100,0.09042801622869091,-0.1601003392696464,0.1838731757307527,0.014459381607859416,0.014782447732724574,117.86671082852358,6.039755055454466,True
0.5,pooled,b60_m100,0.08000593829995077,-0.15508626869666603,0.17450702249912473,0.010137735123085726,0.010229857687602274,229.94638130545331,6.015506913325657,True
0.55,2026091900,b60_m100,0.05481781914743403,-0.11859716496603052,0.13065328481925223,0.015021286245467572,0.015479257296088353,58.743567051065945,6.039755055454466,True
0.55,2026101900,b60_m100,0.06868980298095642,-0.12871437270772168,0.1458961232353516,0.015746019727515683,0.015429166114410002,69.61006006990121,6.039755055454466,True
0.55,pooled,b60_m100,0.061753811064195266,-0.12365576883687611,0.13821824173238229,0.010877669236326182,0.01092349405020277,128.1479168404996,6.015506913325657,True
0.6,2026091900,b60_m100,0.043273052107125995,-0.10393003135574314,0.11257889880555678,0.015848346267742806,0.01588923144580955,43.17904346746376,6.039755055454466,True
0.6,2026101900,b60_m100,0.058960178210315496,-0.11046476655098537,0.12521488435388128,0.01654373786727571,0.01650329342628609,44.812300876446464,6.039755055454466,True
0.6,pooled,b60_m100,0.051116615158720846,-0.10719739895336416,0.11876106553770681,0.011451924331398071,0.011449276872805201,87.92701888606186,6.015506913325657,True
0.65,2026091900,b60_m100,0.02760210061142536,-0.0751782127309871,0.08008520230097942,0.016542798144794566,0.01608806249808395,22.455420304022507,6.039755055454466,True
0.65,2026101900,b60_m100,0.05685074439683314,-0.09861766358816972,0.11383079860065759,0.017185862967654838,0.017303889654456922,32.69614012164808,6.039755055454466,True
0.65,pooled,b60_m100,0.042226422504129266,-0.08689793815957843,0.09661429715048984,0.011930054570926848,0.011813567420225986,54.15680922900188,6.015506913325657,True
0.7,2026091900,b60_m100,0.022898486111329986,-0.06579703218664855,0.06966771211085977,0.017486948491841948,0.017147713159116496,15.19485185163001,6.039755055454466,True
0.7,2026101900,b60_m100,0.051096821632768644,-0.0870980282313357,0.10097995693580743,0.01768632268067461,0.017901383615669276,24.054264653595858,6.039755055454466,True
0.7,pooled,b60_m100,0.036997653872049265,-0.0764475302089921,0.08492968425168389,0.012437605285920288,0.012392968468461673,38.05477828998939,6.015506913325657,True
