scope,Theta,Fp_mean,Fp_max_rel,Fm_mean,Fm_max_rel,rho_mean,rho_max_rel
hex,0,1.0,0.0,1.0,0.0,0.4203658421252656,1.3205438137077739e-16
hex,10,0.9585566888379728,0.00017901972324215281,0.9598836286161193,0.00017351261901293595,0.4197962244417416,5.4025577534729105e-06
hex,15,0.9062289096464282,0.0004288318026724739,0.9092303356353776,0.0004167870261789579,0.419003778530569,1.1845659586638008e-05
hex,20,0.8328318947963814,0.0008180331968629253,0.8380315306436903,0.000799789915420059,0.41780044344741374,1.800974246115579e-05
disk,0,1.0,0.0,1.0,0.0,0.4203658421252657,1.3205438137077739e-16
disk,10,0.958779102042779,5.299724571619725e-05,0.9600995296191462,5.139996339513159e-05,0.41979915033655374,1.5672291484914386e-06
disk,15,0.9067300696383122,0.00012411655761150644,0.9097189197868545,0.00012050836955377576,0.41901022939430493,3.5500030919754493e-06
disk,20,0.8337046651096792,0.00022968106568399335,0.8388883707457415,0.00022242641756077026,0.4178109625664483,7.167453504587586e-06
hex_vs_disk,0,0.0,0.0,0.0,0.0,-5.551115123125783e-17,1.3205438137077739e-16
hex_vs_disk,10,-0.0002224132048062044,0.00023202926587036674,-0.00021590100302693038,0.00022492414350081016,-2.9258948121557715e-06,6.969797825234659e-06
hex_vs_disk,15,-0.0005011599918839371,0.0005530169988501783,-0.0004885841514769007,0.0005373601521285298,-6.4508637359073084e-06,1.5395717333457595e-05
hex_vs_disk,20,-0.0008727703132977993,0.0010479549579584513,-0.0008568401020512262,0.0010224437514816287,-1.0519119034546609e-05,2.517737642341826e-05
