T,dt1,dt2,z_u,z_v
0.6,0.04,0.02,0.45778616795800214,0.7788102248604614
0.6,0.04,0.01,0.13765358183762105,0.2799910371081307
0.6,0.02,0.01,0.5877886779359871,1.11580065537771
0.65,0.04,0.02,0.5227652213321995,0.3668297173662139
0.65,0.04,0.01,0.20903128695365775,0.5992868882424617
0.65,0.02,0.01,0.30566047730787704,1.0034659401737336
0.7,0.04,0.02,0.11419146804242433,0.24796052302021723
0.7,0.04,0.01,0.020058946922203304,0.5709891340146287
0.7,0.02,0.01,0.09381314188158205,0.8747514434660397
