T,seed,burn,measure,mean_u,mean_v,norm,se_u,se_v,T2,crit,exclude0
0.5,2026091900,60,10,-0.03407238901063613,-0.15067807485047255,0.15448239360372665,0.04660704668412421,0.04509474019865522,17.53254216232032,6.039755055454466,True
0.5,2026091900,60,20,0.019287313896086455,-0.10967623342659888,0.11135922348854618,0.03360866270505922,0.033376565565083456,12.196717933099206,6.039755055454466,True
0.5,2026091900,60,40,0.027832118320753812,-0.12222968679464091,0.12535837883498835,0.02278733048666098,0.02375946276233378,28.524529664398596,6.039755055454466,True
0.5,2026091900,60,60,0.049096282740113205,-0.13142028829218616,0.14029161469488638,0.018659536616225818,0.018514169467558128,50.962447788786136,6.039755055454466,True
0.5,2026091900,60,100,0.0695838603712107,-0.15007219812368638,0.1654194011409639,0.014212584079609517,0.014156195320403365,112.45070051679211,6.039755055454466,True
0.5,2026101900,60,10,0.09289004297240705,-0.18308006998260337,0.2052970338515649,0.04659539263941601,0.049125172022277966,13.895397973294365,6.039755055454466,True
0.5,2026101900,60,20,0.050747358341762354,-0.14334917394423832,0.1520666960552597,0.032258687352179384,0.03508590726681348,17.282243152691315,6.039755055454466,True
0.5,2026101900,60,40,0.07917355952170665,-0.15229650299232148,0.17164695555420553,0.023425554808402138,0.023706052041401228,41.2728167773494,6.039755055454466,True
0.5,2026101900,60,60,0.08100493098567262,-0.1589390861220139,0.17839123280389801,0.01908025189864402,0.019317830692943346,67.70315628640965,6.039755055454466,True
0.5,2026101900,60,100,0.09042801622869091,-0.1601003392696464,0.1838731757307527,0.014459381607859416,0.014782447732724574,117.86671082852358,6.039755055454466,True
0.55,2026091900,60,10,-0.028644028964157752,-0.15358273916864681,0.156231040980479,0.04705703199385241,0.04720419262594329,16.144506078792734,6.039755055454466,True
0.55,2026091900,60,20,0.024210878801314582,-0.10294054204539309,0.10574933498103563,0.03377715383753077,0.03460330529817666,9.470735282728995,6.039755055454466,True
0.55,2026091900,60,40,0.021722283868568296,-0.09868109258596318,0.10104363240910383,0.02401621616458776,0.026011881794683347,15.650840316982721,6.039755055454466,True
0.55,2026091900,60,60,0.03944065831418772,-0.1039550601143274,0.11118552087223375,0.019548587195380066,0.019924087639635997,27.440204791496104,6.039755055454466,True
0.55,2026091900,60,100,0.05481781914743403,-0.11859716496603052,0.13065328481925223,0.015021286245467572,0.015479257296088353,58.743567051065945,6.039755055454466,True
0.55,2026101900,60,10,0.07983359258685208,-0.1792277939472556,0.19620398729007368,0.048748252179727954,0.05074653159974448,12.522324971086261,6.039755055454466,True
0.55,2026101900,60,20,0.04040915924446296,-0.13095621790141523,0.13704901005803477,0.033851854666594426,0.036895507957273234,13.320007877998412,6.039755055454466,True
0.55,2026101900,60,40,0.05719157764977722,-0.11933562791466396,0.1323324172070382,0.02479081290183095,0.02540890876255606,22.072240100638655,6.039755055454466,True
0.55,2026101900,60,60,0.05925242127857264,-0.12790991158854795,0.1409673540574682,0.020535951052024343,0.020173968794477935,40.34416529307283,6.039755055454466,True
0.55,2026101900,60,100,0.06868980298095642,-0.12871437270772168,0.1458961232353516,0.015746019727515683,0.015429166114410002,69.61006006990121,6.039755055454466,True
0.6,2026091900,60,10,-0.07931532894839993,-0.1319247295379909,0.1539319839080395,0.050743438644171523,0.050414726967042266,15.927872299087474,6.039755055454466,True
0.6,2026091900,60,20,-0.010007517805607866,-0.0826158691323992,0.0832197827750786,0.036888965382605055,0.036725502814045734,7.214878573035408,6.039755055454466,True
0.6,2026091900,60,40,-0.004583035831032585,-0.08437154512208933,0.08449592797121815,0.025332816460762474,0.026516232993469332,13.604491455115305,6.039755055454466,True
0.6,2026091900,60,60,0.02159704112244117,-0.09134943725771036,0.09386773605741631,0.020709474874424587,0.020378566779197006,21.303411050833603,6.039755055454466,True
0.6,2026091900,60,100,0.043273052107125995,-0.10393003135574314,0.11257889880555678,0.015848346267742806,0.01588923144580955,43.17904346746376,6.039755055454466,True
0.6,2026101900,60,10,0.04308307565816263,-0.14973562760701703,0.15581049253190316,0.05077674284910717,0.05215334049219556,8.804215358792126,6.039755055454466,True
0.6,2026101900,60,20,0.02787475111792835,-0.1049172720398673,0.10855706205574084,0.03584915598225171,0.038689241736442434,8.045733410358867,6.039755055454466,True
0.6,2026101900,60,40,0.056064866025149526,-0.1086954812602364,0.12230280801687411,0.027103886952817877,0.02757499744438889,15.538214515267194,6.039755055454466,True
0.6,2026101900,60,60,0.05746416700900443,-0.11662833351770556,0.1300165322916894,0.021697118709663715,0.021811180744858574,28.619252165771375,6.039755055454466,True
0.6,2026101900,60,100,0.058960178210315496,-0.11046476655098537,0.12521488435388128,0.01654373786727571,0.01650329342628609,44.812300876446464,6.039755055454466,True
0.65,2026091900,60,10,-0.08643042857099441,-0.09694125299009204,0.12987619302341286,0.05315730749467546,0.05145476946669417,11.406806368985416,6.039755055454466,True
0.65,2026091900,60,20,-0.013406269731560587,-0.05749512092544259,0.0590374203225939,0.03820157359110238,0.03809205178957954,3.8436879641622435,6.039755055454466,False
0.65,2026091900,60,40,-0.01814741760407369,-0.06975426918328734,0.07207625708228163,0.026910452082519076,0.027393168044513774,11.362479580733337,6.039755055454466,True
0.65,2026091900,60,60,2.891253771253821e-06,-0.06532119036182818,0.06532119042581468,0.021661700592052604,0.02090483785977799,12.348701837122343,6.039755055454466,True
0.65,2026091900,60,100,0.02760210061142536,-0.0751782127309871,0.08008520230097942,0.016542798144794566,0.01608806249808395,22.455420304022507,6.039755055454466,True
0.65,2026101900,60,10,0.03650773277984921,-0.10485825001296827,0.11103182943871112,0.05288147192500974,0.05499768413801507,3.775814970219918,6.039755055454466,False
0.65,2026101900,60,20,0.027988552062214664,-0.07832729502632553,0.08317766642963928,0.03854562934428977,0.03941169116582809,4.129868571034739,6.039755055454466,False
0.65,2026101900,60,40,0.04915982410317813,-0.10044887788295247,0.1118332033601815,0.027924101377725597,0.02891042353952825,12.072210996524753,6.039755055454466,True
0.65,2026101900,60,60,0.05371689875804032,-0.11025344173900715,0.12264308634194672,0.022187117767757107,0.023131507050033258,22.72224150606554,6.039755055454466,True
0.65,2026101900,60,100,0.05685074439683314,-0.09861766358816972,0.11383079860065759,0.017185862967654838,0.017303889654456922,32.69614012164808,6.039755055454466,True
0.7,2026091900,60,10,-0.08100895414893414,-0.0975033775054667,0.1267649765403586,0.0543653792616673,0.05467310216301027,9.770725465116527,6.039755055454466,True
0.7,2026091900,60,20,-0.03224801317358696,-0.03473985853445101,0.04740033886627296,0.03986605146901953,0.03957409682988077,2.8188954167535347,6.039755055454466,False
0.7,2026091900,60,40,-0.027721081955849235,-0.05074233687907173,0.05782078464317233,0.027625630206858834,0.029129042359307866,7.7715725604851515,6.039755055454466,True
0.7,2026091900,60,60,-0.0004238140594132529,-0.051001413045722116,0.051003173930818366,0.022919871056127007,0.0229175843786495,6.535148864673649,6.039755055454466,True
0.7,2026091900,60,100,0.022898486111329986,-0.06579703218664855,0.06966771211085977,0.017486948491841948,0.017147713159116496,15.19485185163001,6.039755055454466,True
0.7,2026101900,60,10,0.030317207572998942,-0.10817175367922201,0.11233993666128972,0.05481784170059709,0.057237726577729645,3.823334128495062,6.039755055454466,False
0.7,2026101900,60,20,0.03447895430425066,-0.08089059741134016,0.08793228667263303,0.03937799168380885,0.04204182924452683,3.7323246780485344,6.039755055454466,False
0.7,2026101900,60,40,0.044669357408361636,-0.08701313495930452,0.0978091874351387,0.028887090942322436,0.0297726974389288,8.546726217426016,6.039755055454466,True
0.7,2026101900,60,60,0.053585306910603266,-0.09798447030819801,0.11167963797524455,0.023786066115248344,0.024182405441016085,16.48808299390299,6.039755055454466,True
0.7,2026101900,60,100,0.051096821632768644,-0.0870980282313357,0.10097995693580743,0.01768632268067461,0.017901383615669276,24.054264653595858,6.039755055454466,True
