theta,branch,sign,Fc,fold_x,fold_y,fold_hard,fold_residual,zero_u,zero_v,zero_U,zero_eigmin
0.0,ground,1,3.485120232370074,0.015107260117101342,0.18125249123328313,16.820108412143263,6.3400367456590674e-15,0.0,0.0,-0.6541619275241644,16.470540456959952
0.0,ground,-1,1.4222355051564721,5.5218492948535126e-05,-0.17363318390044577,26.412876826421353,5.988270375482281e-14,0.0,0.0,-0.6541619275241644,16.470540456959952
0.0,meta,1,0.1956730084058925,0.5000221562352022,0.35449644488296445,12.317606584786681,7.055240971614355e-16,0.3333333333333333,0.33333333333333337,-0.2876015302382087,6.080525985319083
0.0,meta,-1,0.5678970777535357,0.5071798515503907,0.2254465493926557,11.816410514797688,1.511173903967744e-14,0.3333333333333333,0.33333333333333337,-0.2876015302382087,6.080525985319083
0.25,ground,1,3.4737748093723195,0.015052393665771588,0.18148876112280693,16.71991427888163,2.7576073554920794e-14,3.344821154492366e-17,1.0,-0.6514172838098657,16.40844140328064
0.25,ground,-1,1.4177519030025945,5.4747746586121216e-05,-0.17360697133899042,26.285151823565588,9.079008121065651e-15,3.344821154492366e-17,1.0,-0.6514172838098657,16.40844140328064
0.25,meta,1,0.19632600804121572,0.5000220472549594,0.3547374117218383,12.301851177297507,6.227899042460763e-14,0.33333333333333326,0.3333333333333335,-0.28658719305477043,6.0769332320965415
0.25,meta,-1,0.5697697056190016,0.5071840372884001,0.22517654502711898,11.798603916918779,1.4095167494313078e-13,0.33333333333333326,0.3333333333333335,-0.28658719305477043,6.0769332320965415
0.5,ground,1,3.4396560199229986,0.014887489946241173,0.18219044849919552,16.422610535555485,5.961932639057718e-15,1.0,2.5506398021022455e-18,-0.6432248773014382,16.222680916620725
0.5,ground,-1,1.4042712173846543,5.33421767828451e-05,-0.17352963866787371,25.90516867597534,2.0636876915821244e-14,1.0,2.5506398021022455e-18,-0.6432248773014382,16.222680916620725
0.5,meta,1,0.19820550116391034,0.5000217107381865,0.35544929367661404,12.25169404897725,5.112582808899027e-14,0.33333333333333326,0.3333333333333334,-0.2835467209177753,6.064760945517614
0.5,meta,-1,0.5751564695912329,0.5071939733768378,0.224374161768545,11.742438897310818,1.6884919003044783e-14,0.33333333333333326,0.3333333333333334,-0.2835467209177753,6.064760945517614
0.75,ground,1,3.3825458913555084,0.014611571071552568,0.18333635757621897,15.937870603578677,6.860646571036183e-15,3.529373355067458e-17,1.0,-0.6297087854497013,15.914894080445633
0.75,ground,-1,1.3817130766303922,5.1021830801004556e-05,-0.17340491382897308,25.282330446407087,1.0208888180836395e-13,3.529373355067458e-17,1.0,-0.6297087854497013,15.914894080445633
0.75,meta,1,0.20107430610566004,0.5000211195587309,0.3565996136224008,12.15890554289064,5.174048417964886e-14,0.33333333333333315,0.3333333333333334,-0.27848888560888785,6.039976601547506
0.75,meta,-1,0.5833678317098162,0.5072019017862112,0.22306220754542502,11.640110755369117,3.039212526009925e-14,0.33333333333333315,0.3333333333333334,-0.27848888560888785,6.039976601547506
