family,shape,N,Theta,theta,n_minima,ground_u,ground_v,sign,Fc,fold_x,fold_y,connected,reason,final_dist,maxjump,mineig,maxres
hex,shell6,127,0,0.0,2,0.0,0.0,1,3.4851202323700723,0.015107260117101675,0.1812524912332831,True,ok,0.004781448059498778,0.010325117702284437,0.10003107064980972,1.46549443357347e-14
hex,shell6,127,0,0.0,2,0.0,0.0,-1,1.4222355051564721,5.5218492948535126e-05,-0.17363318390044577,True,ok,0.0059086868673459605,0.012331432109630421,0.48364010277835556,9.245408901544945e-16
hex,shell6,127,10,0.8873565094161139,2,1.0286925932089163e-17,1.0,1,3.341283358702544,0.014412086249230158,0.18414299658999161,True,ok,0.004717776428524792,0.010393592175901219,0.09378002520406682,3.9419865288291584e-13
hex,shell6,127,10,0.8873565094161139,2,1.0286925932089163e-17,1.0,-1,1.3654174534936905,4.936918247134805e-05,-0.17331819640967958,True,ok,0.005840579706750638,0.012277583666827642,0.46957274233971186,2.619191184680365e-15
hex,shell6,127,15,1.3310347641241707,2,1.0,2.9908201195116746e-17,1,3.159671094814811,0.013528045168602041,0.1874992917952317,True,ok,0.004637571636201988,0.010467307480803803,0.08575670681901454,1.6465995233971853e-14
hex,shell6,127,15,1.3310347641241707,2,1.0,2.9908201195116746e-17,-1,1.2936786295416736,4.2307662710328434e-05,-0.17296551034398955,True,ok,0.005766998597961516,0.012216537333129029,0.4504160876389346,3.840702848518178e-15
hex,shell6,127,20,1.7747130188322278,2,1.0,2.8275986849821167e-18,1,2.9048936438490425,0.01224596575427049,0.191742578871443,True,ok,0.004519920373006922,0.010551329105274728,0.0742182795219708,1.7118251260939132e-14
hex,shell6,127,20,1.7747130188322278,2,1.0,2.8275986849821167e-18,-1,1.1928314494847077,3.289455708807981e-05,-0.1725332285938221,True,ok,0.005681326424213697,0.012141360890320065,0.42139648362396515,2.8138583702684358e-15
hex,shell8,217,0,0.0,2,0.0,0.0,1,3.4851202323700723,0.015107260117101675,0.1812524912332831,True,ok,0.004781448059498778,0.010325117702284437,0.10003107064980972,1.46549443357347e-14
hex,shell8,217,0,0.0,2,0.0,0.0,-1,1.4222355051564721,5.5218492948535126e-05,-0.17363318390044577,True,ok,0.0059086868673459605,0.012331432109630421,0.48364010277835556,9.245408901544945e-16
hex,shell8,217,10,0.6788442333021307,2,1.0,1.0,1,3.34089996118696,0.01441036980161255,0.1841497518717941,True,ok,0.004717620913064277,0.010393745786203615,0.09376363477050746,3.9419199452910766e-13
hex,shell8,217,10,0.6788442333021307,2,1.0,1.0,-1,1.3652655973257533,4.935501312915092e-05,-0.1733174562207891,True,ok,0.005840425399692771,0.012277457963537736,0.4695325662060549,4.104695929426172e-15
hex,shell8,217,15,1.018266349953196,2,4.01712277839632e-17,1.7424675053141388e-17,1,3.1588027958859866,0.01352447679117296,0.18751153883244587,True,ok,0.004637251740279727,0.010467558717654181,0.08572013403555975,1.3324080291570363e-14
hex,shell8,217,15,1.018266349953196,2,4.01712277839632e-17,1.7424675053141388e-17,-1,1.293333102386338,4.227985304864568e-05,-0.1729641497900153,True,ok,0.005766737417330376,0.012216310448016523,0.45031562353761956,5.578397081867745e-16
hex,shell8,217,20,1.3576884666042615,2,3.856139625129516e-17,1.0,1,2.903371287073261,0.012240320251799582,0.19175762362914325,True,ok,0.004519404418900638,0.010551585412430177,0.07415609640012583,9.326669553183851e-14
hex,shell8,217,20,1.3576884666042615,2,3.856139625129516e-17,1.0,-1,1.1922202653884943,3.285485295175429e-05,-0.1725313919535339,True,ok,0.005681027607074258,0.012141075153560882,0.4212021647998328,2.777643324943847e-15
hex,shell10,331,0,0.0,2,0.0,0.0,1,3.4851202323700723,0.015107260117101675,0.1812524912332831,True,ok,0.004781448059498778,0.010325117702284437,0.10003107064980972,1.46549443357347e-14
hex,shell10,331,0,0.0,2,0.0,0.0,-1,1.4222355051564721,5.5218492948535126e-05,-0.17363318390044577,True,ok,0.0059086868673459605,0.012331432109630421,0.48364010277835556,9.245408901544945e-16
hex,shell10,331,10,0.5496497099293127,2,0.0,0.0,1,3.340713850563111,0.014409536724410692,0.18415302997279487,True,ok,0.004717545435550146,0.010393820317775693,0.09375567868763796,1.288232996005863e-14
hex,shell10,331,10,0.5496497099293127,2,0.0,0.0,-1,1.365191882131661,4.934813658420712e-05,-0.1733170970387168,True,ok,0.005840350528150263,0.01227739696539405,0.46951306026144957,8.183262666721595e-16
hex,shell10,331,15,0.8244745648939691,2,0.9999999999999999,5.859403204881099e-17,1,3.1583813250501467,0.0135227451058543,0.18751747987437326,True,ok,0.004637096497292587,0.010467680557796816,0.08570238297737803,1.599415044850616e-14
hex,shell10,331,15,0.8244745648939691,2,0.9999999999999999,5.859403204881099e-17,-1,1.293165381406602,4.226636007876929e-05,-0.17296348978497972,True,ok,0.0057666107424207465,0.01221620038964823,0.4502668466252899,3.662585889353939e-15
hex,shell10,331,20,1.0992994198586254,2,0.9999999999999999,1.0,1,2.9026324655879585,0.012237580755195359,0.1917649196127617,True,ok,0.0045191539982203655,0.010551709655991467,0.074125922541037,9.384392948459159e-14
hex,shell10,331,20,1.0992994198586254,2,0.9999999999999999,1.0,-1,1.1919236417958738,3.283559471212352e-05,-0.17253050130068204,True,ok,0.0056808827286457825,0.01214093659477446,0.4211078391695864,4.14636071370074e-15
hex,shell12,469,0,0.0,2,0.0,0.0,1,3.4851202323700723,0.015107260117101675,0.1812524912332831,True,ok,0.004781448059498778,0.010325117702284437,0.10003107064980972,1.46549443357347e-14
hex,shell12,469,0,0.0,2,0.0,0.0,-1,1.4222355051564721,5.5218492948535126e-05,-0.17363318390044577,True,ok,0.0059086868673459605,0.012331432109630421,0.48364010277835556,9.245408901544945e-16
hex,shell12,469,10,0.46175709653961017,2,8.87824858042027e-17,0.9999999999999999,1,3.3406096743287987,0.01440907044229836,0.1841548645974784,True,ok,0.004717503190519361,0.010393862027294273,0.09375122530283889,3.9553203655349747e-13
hex,shell12,469,10,0.46175709653961017,2,8.87824858042027e-17,0.9999999999999999,-1,1.3651506195996241,4.934428786348397e-05,-0.17331689602021513,True,ok,0.005840308627841417,0.01227736282748097,0.46950214074075886,2.105871420147645e-15
hex,shell12,469,15,0.6926356448094152,2,4.350792001167949e-17,5.564125844359198e-17,1,3.1581454114339707,0.013521775926892205,0.18752080427107934,True,ok,0.004637009611323452,0.010467748725277061,0.08569244739020562,1.199040916789713e-14
hex,shell12,469,15,0.6926356448094152,2,4.350792001167949e-17,5.564125844359198e-17,-1,1.293071500690852,4.22588091822507e-05,-0.1729631204697357,True,ok,0.005766539866442996,0.012216138805942918,0.45023954093369845,5.878127840437145e-16
