T,Pneg,Pneg_ci_lo,Pneg_ci_hi,Pneg_above_half,Ptarget,Ptarget_ci_lo,Ptarget_ci_hi
0.5,0.5193300000000001,0.5163199999999999,0.52237,True,0.015560000000000001,0.01481,0.01631
0.55,0.5148,0.51176,0.51783,True,0.01403,0.013310000000000002,0.01475
0.6,0.51181,0.50882,0.5148199999999999,True,0.01293,0.012240000000000003,0.01362
0.65,0.5096900000000001,0.50666,0.51275,True,0.01168,0.011009999999999999,0.012350000000000002
0.7,0.50802,0.50506,0.511,True,0.01116,0.01052,0.01182
