theta,sign,Fc_ground,Fc_meta,U_ground,U_meta,ground_lower_energy,ground_lasts_longer
0.0,-1,1.4222355051564721,0.5678970777535357,-0.6541619275241644,-0.2876015302382087,True,True
0.0,1,3.485120232370074,0.1956730084058925,-0.6541619275241644,-0.2876015302382087,True,True
0.25,-1,1.4177519030025945,0.5697697056190016,-0.6514172838098657,-0.28658719305477043,True,True
0.25,1,3.4737748093723195,0.19632600804121572,-0.6514172838098657,-0.28658719305477043,True,True
0.5,-1,1.4042712173846543,0.5751564695912329,-0.6432248773014382,-0.2835467209177753,True,True
0.5,1,3.4396560199229986,0.19820550116391034,-0.6432248773014382,-0.2835467209177753,True,True
0.75,-1,1.3817130766303922,0.5833678317098162,-0.6297087854497013,-0.27848888560888785,True,True
0.75,1,3.3825458913555084,0.20107430610566004,-0.6297087854497013,-0.27848888560888785,True,True
1.0,-1,1.3499733914836314,0.5932718457164168,-0.6110741291154201,-0.2714320098835112,True,True
1.0,1,3.302176028398973,0.20454311874082756,-0.6110741291154201,-0.2714320098835112,True,True
1.25,-1,1.3089656745103202,0.6033342717621586,-0.5876044933408643,-0.2624090407084859,True,True
1.25,1,3.1983570943224593,0.20808429711467713,-0.5876044933408643,-0.2624090407084859,True,True
1.5,-1,1.2586722984999559,0.6116972722313013,-0.5596581941027724,-0.2514737433951886,True,True
1.5,1,3.0711353385392535,0.21105864341942934,-0.5596581941027724,-0.2514737433951886,True,True
1.75,-1,1.1991999243232863,0.6163070474682653,-0.5276632942343703,-0.2387072290518576,True,True
1.75,1,2.9209542034448073,0.2127584060819446,-0.5276632942343703,-0.2387072290518576,True,True
2.0,-1,1.1308327718834277,0.6150902439682151,-0.49211127748073197,-0.2242239599182609,True,True
2.0,1,2.748797673549673,0.21246612014771457,-0.49211127748073197,-0.2242239599182609,True,True
2.25,-1,1.054077522685469,0.6061651013945832,-0.4535493155649594,-0.20817640213269384,True,True
2.25,1,2.5562953114582827,0.20952435254306542,-0.4535493155649594,-0.20817640213269384,True,True
2.5,-1,0.9696944153155026,0.5880622133652985,-0.4125711088002301,-0.19075760988578444,True,True
2.5,1,2.3457795452740076,0.20340753610545984,-0.4125711088002301,-0.19075760988578444,True,True
2.75,-1,0.8787104347419511,0.559936025619808,-0.3698063436679586,-0.17220121555589588,True,True
2.75,1,2.1203235100983733,0.19378526497223414,-0.3698063436679586,-0.17220121555589588,True,True
3.0,-1,0.7824122481159939,0.5215476929992956,-0.3259088864746171,-0.15277854603090688,True,True
3.0,1,1.8833145057627023,0.1805672447737387,-0.3259088864746171,-0.15277854603090688,True,True
