phi,theta,energy_switch,UA,UB,ground,FAplus,FAminus,FBplus,FBminus,ground_Fplus,ground_Fminus,ground_delta,global_Fplus,global_Fminus,global_delta
20,2.911278008381212,2.9212780083812118,-0.23579953000484258,-0.23363764688639438,A,1.0880138027656714,0.4142316470435195,0.4168500310937142,1.084358827128964,1.0880138027656714,0.4142316470435195,0.6737821557221519,1.0880138027656714,1.084358827128964,0.0036549756367074693
20,2.920278008381212,2.9212780083812118,-0.23371898653443648,-0.23350278984501147,A,1.0751362309343084,0.40901379027663837,0.41848493200540593,1.0873809435358575,1.0751362309343084,0.40901379027663837,0.66612244065767,1.0751362309343084,1.0873809435358575,-0.012244712601549024
20,2.9212780083812118,2.9212780083812118,-0.23348783544118418,-0.2334878354411854,B,1.0737058688008376,0.4084346013537562,0.41866717331196346,1.087716821052316,0.41866717331196346,1.087716821052316,-0.6690496477403526,1.0737058688008376,1.087716821052316,-0.014010952251478415
20,2.9222780083812117,2.9212780083812118,-0.23325668870960536,-0.23347288694915272,B,1.072275606864084,0.40785552898746685,0.4188495320554143,1.0880527143611036,0.4188495320554143,1.0880527143611036,-0.6692031823056893,1.072275606864084,1.0880527143611036,-0.01577710749701966
20,2.9312780083812116,2.9212780083812118,-0.2311765770368957,-0.2333386151617619,B,1.0594079562224175,0.40264921175302415,0.42049605919009725,1.091076392828269,0.42049605919009725,1.091076392828269,-0.6705803336381717,1.0594079562224175,1.091076392828269,-0.0316684366058515
25,2.837233122261797,2.847233122261797,-0.2439256235207445,-0.241682659580695,A,1.1347060395377828,0.42616662322751153,0.42908067735663447,1.1306924819970514,1.1347060395377828,0.42616662322751153,0.7085394163102713,1.1347060395377828,1.1306924819970514,0.004013557540731405
25,2.846233122261797,2.847233122261797,-0.24180882603510426,-0.24158450933870917,A,1.12147714697294,0.42084470187176304,0.43086924203415977,1.134127517611622,1.12147714697294,0.42084470187176304,0.7006324451011771,1.12147714697294,1.134127517611622,-0.012650370638681796
25,2.847233122261797,2.847233122261797,-0.2415736304336286,-0.24157363043363422,B,1.1200075666540066,0.4202539384774664,0.431068595058009,1.134509231134081,0.431068595058009,1.134509231134081,-0.703440636076072,1.1200075666540066,1.134509231134081,-0.014501664480074394
25,2.8482331222617967,2.847233122261797,-0.2413384359494061,-0.24156275682057898,B,1.1185380502427809,0.4196632893623007,0.4312680730664764,1.1348909513107652,0.4312680730664764,1.1348909513107652,-0.7036228782442888,1.1185380502427809,1.1348909513107652,-0.01635290106798437
25,2.8572331222617966,2.847233122261797,-0.23922174906414426,-0.24146513047404553,B,1.1053154863758896,0.41435268206497905,0.4330690111679154,1.1383266441898279,0.4330690111679154,1.1383266441898279,-0.7052576330219125,1.1053154863758896,1.1383266441898279,-0.03301115781393826
