T,n,dt,burn_cycles,measure_cycles,mean_u,mean_v,u_ci_lo,u_ci_hi,v_ci_lo,v_ci_hi,hotelling_T2,hotelling_crit95,zero_excluded,P_neg_y,P_neg_y_ci_lo,P_neg_y_ci_hi,P_target,P_target_ci_lo,P_target_ci_hi,ensemble_role
0.02,500,0.02,60,100,1.20338078310885,-2.407683055051826,1.1955012694439477,1.2112461991487717,-2.413493787886213,-2.401553795194946,615547.3845880285,6.039755055454466,True,0.9979000000000001,0.99752,0.99826,0.039299999999999995,0.03752000000000001,0.04100050000000001,single_seed_full_series
0.04,500,0.02,60,100,1.0704971481969945,-2.1464906934137127,1.0609195968981044,1.0799994888595486,-2.1550342962482536,-2.137673702261346,242446.3172047748,6.039755055454466,True,0.9746600000000001,0.9732799999999999,0.976,0.06860000000000001,0.06644,0.07088050000000001,single_seed_full_series
0.06,500,0.02,60,100,0.9149182487865202,-1.8446100180100988,0.9042485001420101,0.9258289417652993,-1.8547930562270152,-1.8343213408272134,125118.83420357178,6.039755055454466,True,0.92814,0.92598,0.93026,0.08176000000000001,0.07932,0.08426,single_seed_full_series
0.1,500,0.02,60,100,0.6638743540095207,-1.3463488341114718,0.6509308712681624,0.676905399571109,-1.358847787034792,-1.3339190189547547,44140.05992172632,6.039755055454466,True,0.8178,0.81444,0.8209199999999999,0.07342000000000001,0.07132000000000001,0.07560050000000001,single_seed_full_series
0.16,500,0.02,60,100,0.4361573167170352,-0.8847547681250039,0.42068015036948825,0.4519151134248777,-0.9001887384085536,-0.8694884428581866,12910.621061496764,6.039755055454466,True,0.6881799999999999,0.6843795,0.692,0.053320000000000006,0.05142,0.0551605,single_seed_full_series
0.24,500,0.02,60,100,0.2618881019097204,-0.5369489716737929,0.2439022356932559,0.2803059829939251,-0.5561615451983065,-0.5184860512362058,3098.8891836691537,6.039755055454466,True,0.59732,0.5934,0.6012799999999999,0.03712,0.03554000000000001,0.038799999999999994,single_seed_full_series
0.32,500,0.02,60,100,0.16469335618298142,-0.34674240427617975,0.14304469663297437,0.18692672795392537,-0.36811644248008324,-0.32550132321853514,996.4747030116155,6.039755055454466,True,0.55344,0.5493400000000002,0.55762,0.0255,0.024180000000000004,0.02682,single_seed_full_series
0.5,1000,0.02,60,100,0.0800059382999508,-0.15508626869666642,0.06040003625079321,0.09975815088449697,-0.17486467957087098,-0.13506396575321392,229.94638130545445,6.015506913325657,True,0.5193300000000001,0.51640975,0.5222402500000001,0.015560000000000001,0.0148,0.016310250000000002,pooled_two_seed
0.55,1000,0.02,60,100,0.06175381106419524,-0.12365576883687608,0.04038120863770288,0.08312138806147612,-0.14511400594641075,-0.10172738638599063,128.14791684049953,6.015506913325657,True,0.5148,0.5117297499999999,0.51782,0.01403,0.013300000000000001,0.01476,pooled_two_seed
0.6,1000,0.02,60,100,0.05111661515872075,-0.10719739895336429,0.0290345015727736,0.07345822219911446,-0.13007106099740479,-0.0845342275967193,87.9270188860621,6.015506913325657,True,0.51181,0.5088895000000001,0.51479,0.01293,0.01227,0.013640000000000001,pooled_two_seed
0.65,1000,0.02,60,100,0.04222642250412925,-0.0868979381595784,0.019120769571602775,0.06533747797581807,-0.11036459095549273,-0.06323219912523317,54.156809229001844,6.015506913325657,True,0.5096900000000001,0.5065095000000001,0.51281025,0.01168,0.01102,0.012379999999999999,pooled_two_seed
0.7,1000,0.02,60,100,0.0369976538720493,-0.07644753020899213,0.01299023438016437,0.061995573420206306,-0.10082081409889602,-0.052920258477667355,38.05477828998941,6.015506913325657,True,0.50802,0.5049297500000001,0.51095,0.01116,0.01053,0.01183,pooled_two_seed
