T,a,b,first_cycle_then_all_lt1e-10,maxdiff_cycle1,cycle10,cycle30,cycle60,cycle100,cycle160
0.6,orbit,ground,35,4.198331521313623,1.0610440076458794,0.00033185125829704454,2.9531932455029164e-13,2.2737367544323206e-13,7.186473638398638e-13
0.6,orbit,meta,33,4.025484387164894,1.0576310369076751,2.8399504969911504e-13,2.0516921495072893e-13,1.6431300764452317e-13,3.552713678800501e-13
0.6,ground,meta,35,4.6830670823754375,0.28687895953308207,0.00033185125829704454,2.9531932455029164e-13,2.2737367544323206e-13,5.552225346150408e-13
0.65,orbit,ground,28,4.599248759775483,2.1534966131408706,2.3803181647963356e-13,3.197442310920451e-13,3.1796787425264483e-13,3.9390712913700554e-13
0.65,orbit,meta,29,4.013660126080072,3.326599118332716,2.0961010704922955e-13,1.8829382497642655e-13,4.2663789168173594e-13,1.9628743075372768e-13
0.65,ground,meta,29,4.580133186874788,3.1325494986275135,2.0117241206207837e-13,2.871036741680655e-13,2.708944180085382e-13,2.871036741680655e-13
0.7,orbit,ground,36,5.646454387484563,1.2382557798785783,9.287349130815414e-05,3.0375701953744283e-13,5.897504706808832e-13,4.2676973066591017e-13
0.7,orbit,meta,38,3.1931242511146816,2.954828987156821,7.711472408455933e-05,2.2160051571518125e-13,4.1033842990145786e-13,1.3944401189291966e-13
0.7,ground,meta,38,6.33457416263971,2.0970851514346487,1.5758767223594816e-05,3.197442310920451e-13,5.897504706808832e-13,3.1175062531474396e-13
