gamma,u,v,m,n,max_cycle_res,all_same,simple_mean_res
0.5,7.541439301646946,-17.81324623439467,8.0,-18.0,0.7997355861417405,0.0,0.49513117761034964
1.0,1.0000000000022622,-10.000000000001409,1.0,-10.0,1.3265461784465235e-09,1.0,2.6649208486645916e-12
2.0,0.9999999999999739,-2.999999999999993,1.0,-3.0,1.2011932632803279e-11,1.0,2.704048404667286e-14
3.0,1.99999999999999,-2.000000000000002,2.0,-2.0,2.8489767882363506e-13,1.0,1.0235750533041807e-14
4.0,0.9999999999999998,-1.0000000000000002,1.0,-1.0,4.6151104473205536e-15,1.0,3.1401849173675503e-16
5.0,0.9999999999999998,-1.0000000000000007,1.0,-1.0,4.6151104473205536e-15,1.0,7.021666937153402e-16
6.0,0.9999999999999998,-1.0,1.0,-1.0,5.824175385795272e-15,1.0,2.220446049250313e-16
8.0,2.1957153830860056e-17,1.9229626863835627e-17,0.0,0.0,1.875145407553179e-15,1.0,2.918724299543212e-17
10.0,1.1319070680748667e-17,-4.930380657631324e-33,0.0,0.0,5.741390940881942e-16,1.0,1.1319070680748667e-17
