phi,theta,min_id,U0,u0,v0,Fp,Fm,delta,is_ground
20,2.7,0,-0.28460366762045025,8.277391964092174e-17,0.9999999999999999,1.3906885800805275,0.5385142868884933,0.8521742931920342,True
20,2.7,1,-0.23695448519268322,0.33333333333333315,0.33333333333333354,0.38105094397468464,1.0144128327461759,-0.6333618887714912,False
20,2.9,0,-0.23840708850719858,8.15914871754055e-17,0.9999999999999999,1.104160846551674,0.4207828759821836,0.6833779705694902,True
20,2.9,1,-0.23380732405681506,0.33333333333333326,0.3333333333333335,0.4148146425808991,1.0805741013504937,-0.6657594587695945,False
20,3.0,0,-0.23232843810632592,0.33333333333333276,0.3333333333333307,0.4333888082490935,1.1141693872795582,-0.6807805790304646,True
20,3.0,1,-0.21531105900040212,9.018323728676748e-17,1.0,0.9615198629824904,0.363250046479521,0.5982698165029694,False
25,2.7,0,-0.27617153018686896,2.4586415894024298e-17,1.0,1.3364400129722256,0.5081773733694516,0.828262639602774,True
25,2.7,1,-0.24323831585827715,0.33333333333333315,0.3333333333333335,0.4030239056853614,1.0786288473268764,-0.675604941641515,False
25,2.9,0,-0.24100679477530226,0.33333333333333337,0.33333333333333354,0.44176684872533134,1.154646930003054,-0.7128800812777226,True
25,2.9,1,-0.22916663290732617,1.1279893307735522e-16,1.0,1.0425845101222446,0.3892571215638431,0.6533273885584014,False
25,3.0,0,-0.23996638689840244,0.33333333333333326,0.3333333333333333,0.463031503830007,1.1925408349670066,-0.7295093311369996,True
25,3.0,1,-0.20570395015395251,1.0,8.36518387072154e-17,0.8970542137073063,0.3316904003710404,0.565363813336266,False
