phi,edge_weight,edge_sites,ground_switch_deg
20,0.5,48,3.1700953181060294
20,0.75,48,3.026591263942191
20,1.0,48,2.9212780083812118
20,1.25,48,2.841009422896284
20,1.5,48,2.777913879130666
25,0.5,48,3.083165346175891
25,0.75,48,2.9472020957442564
25,1.0,48,2.847233122261797
25,1.25,48,2.7709090323048926
25,1.5,48,2.7108289738593734
