axis_deg,Fplus,Fminus,Delta,rho,res_plus,res_minus,hard_min
0.0,1.467411556526177,1.4669323774508503,0.0004791790753266856,0.00016330024227161267,3.584643432780199e-16,1.8544193958192068e-15,21.595993384812587
5.0,1.3974045927896315,1.558241769538559,-0.1608371767489276,-0.05441692172612784,1.419135279966548e-15,5.551115123125783e-16,21.338638738748138
10.0,1.3444745546676713,1.677735270353314,-0.33326071568564264,-0.11027054208035625,1.432843787967409e-15,3.3306690738754696e-16,20.966887181618734
15.0,1.3057226065886522,1.8365080551896984,-0.5307854486010462,-0.16891995073991392,2.5989654674417885e-15,5.444622457435257e-15,20.421141148908834
20.0,1.2792286509606832,2.054695816591432,-0.7754671656307488,-0.23259890053841686,3.794299872214038e-15,1.759519614679856e-14,19.568349355653773
25.0,1.2637717104090824,2.3773555110902507,-1.1135838006811682,-0.30583490576926886,7.021666937153402e-16,8.95090418262362e-15,18.064041457101943
30.0,1.2586722984999552,3.0711353385392566,-1.8124630400393014,-0.4186012848549298,3.0847422370805075e-15,0.0,13.539221126378127
35.0,1.2637113850834294,2.38001788474679,-1.1163064996633607,-0.30636373259294736,1.2947314098277875e-15,3.1401849173675503e-16,18.042706635271085
40.0,1.279105282630304,2.0563318268707445,-0.7772265442404405,-0.23302089612977492,2.9057317281871776e-15,1.1102230246251565e-15,19.554466796101835
45.0,1.3055304279100097,1.8376461360989023,-0.5321157081888925,-0.16929233765672216,3.5335801979651357e-15,2.198129442157285e-15,20.41085606609237
50.0,1.3442039992055899,1.6785703169514974,-0.3343663177459075,-0.11061570688843024,2.482534153247273e-16,1.2560739669470201e-15,20.958880899679396
55.0,1.397040916500909,1.5588710080858557,-0.16183009158494666,-0.05474794097850883,0.0,0.0,21.332279421797878
60.0,1.466932377450849,1.4674115565261763,-0.0004791790753273517,-0.0001633002422718398,3.774758283725532e-15,3.1401849173675503e-16,21.5959933848126
