landscape,min_id,u0,v0,U0,Fc_plus,Fc_minus,delta_F,dx_per_cycle,dy_per_cycle,u_per_cycle,v_per_cycle,m_round,n_round,u_err,v_err
2H_centered,0,0.33333333393044284,0.833333331498471,-0.5596581941027723,3.071135338539265,1.2586722984999554,1.8124630400393096,,,,,,,,
2H_centered,1,0.6666666672637783,0.16666666483179537,-0.25147374339518835,0.21105864341942931,0.6116972722313025,-0.40063862881187323,,,,,,,,
2H_centered,GLOBAL,,,-0.5596581941027723,3.071135338539265,1.2586722984999554,1.8124630400393096,0.5000000000000016,-0.8660254037844529,1.0000000000000098,-1.0000000000000167,1.0,-1.0,9.769962616701378e-15,1.6653345369377348e-14
2H_matched_symmetrized,0,0.33333333358486145,0.833333332560411,-0.4055659687489802,1.7676995593190161,0.6434701503784886,1.1242294089405274,,,,,,,,
2H_matched_symmetrized,1,0.6666666664151388,0.1666666674395889,-0.40556596874898,0.6434701503784889,1.7676995586616056,-1.1242294082831168,,,,,,,,
2H_matched_symmetrized,GLOBAL,,,-0.4055659687489802,1.7676995593190161,1.7676995586616056,6.574105704260091e-10,0.0,-6.591949208711867e-18,3.805863650134137e-18,-7.611727300268274e-18,0.0,0.0,3.805863650134137e-18,7.611727300268274e-18
2H_exact_inverted,0,0.6666666660695575,0.16666666850152845,-0.5596581941027724,1.2586722984999557,3.0711353385392632,-1.8124630400393076,,,,,,,,
2H_exact_inverted,1,0.3333333327362249,0.8333333351681933,-0.25147374339518835,0.6116972722313063,0.21105864341942904,0.4006386288118773,,,,,,,,
2H_exact_inverted,GLOBAL,,,-0.5596581941027724,1.2586722984999557,3.0711353385392632,-1.8124630400393076,-0.5000000000000002,0.8660254037844386,-1.0000000000000002,1.0,-1.0,1.0,2.220446049250313e-16,0.0
