T,seed,comparison,delta_u,delta_v,delta_norm,se_du,se_dv,T2,crit,drift_detected
0.5,2026091900,b60_20_to_b100_20,0.07233729768274565,-0.040125257860677915,0.08272074077538265,0.04748130438006112,0.047472562526601945,2.343577933890588,6.039755055454466,False
0.5,2026091900,b100_20_to_b140_20,0.004193318319030379,-0.03953291731045751,0.039754691164693844,0.04628865774200343,0.04571042285100179,0.9096521247475622,6.039755055454466,False
0.5,2026101900,b60_20_to_b100_20,0.033920315571842136,-0.028875078437160213,0.04454613297745957,0.04770574314501039,0.0487608503229732,0.5703520690008348,6.039755055454466,False
0.5,2026101900,b100_20_to_b140_20,-0.007101116692456563,0.02599618022327953,0.026948603757544008,0.04739597868630546,0.04666292472794368,0.33729836913783784,6.039755055454466,False
0.55,2026091900,b60_20_to_b100_20,0.05066652840411198,-0.011562453125662859,0.051969100654214104,0.04906991437697787,0.050020576915027835,1.1611105971751488,6.039755055454466,False
0.55,2026091900,b100_20_to_b140_20,0.006491371060496484,-0.04858646255035149,0.04901818276315187,0.04914656501717404,0.048315122692011554,1.2378528849767736,6.039755055454466,False
0.55,2026101900,b60_20_to_b100_20,0.022964949291700478,-0.014102261034900681,0.026949260885353654,0.05031645233425104,0.05119510822899925,0.21038347607771515,6.039755055454466,False
0.55,2026101900,b100_20_to_b140_20,-0.004256677618632022,0.020526735944866297,0.02096344897432741,0.050637069771064525,0.048948283759119825,0.2040608880761001,6.039755055454466,False
0.6,2026091900,b60_20_to_b100_20,0.08396471283499653,-0.02268935239655331,0.08697631696984191,0.05276123216582909,0.052835382562543255,2.6498203591270824,6.039755055454466,False
0.6,2026091900,b100_20_to_b140_20,0.006482449816327252,-0.028408586142711918,0.029138804406651363,0.051192621009732785,0.05076733358396935,0.35041873322276124,6.039755055454466,False
0.6,2026101900,b60_20_to_b100_20,0.03238801785878601,-0.027576765992776316,0.04253776820005236,0.05272792390361791,0.053181928223489605,0.43189606500085603,6.039755055454466,False
0.6,2026101900,b100_20_to_b140_20,-0.02181737380604343,0.03229066620125791,0.03897030822964696,0.05172710641587336,0.051756904754545544,0.40288414773811726,6.039755055454466,False
0.65,2026091900,b60_20_to_b100_20,0.049709778701021654,0.0010400882065327796,0.04972065850310024,0.05458466406588485,0.05553229430735236,1.105987493293751,6.039755055454466,False
0.65,2026091900,b100_20_to_b140_20,0.04606516277384112,-0.05360470167000017,0.07067859126008523,0.05281909735073811,0.052945558354353876,1.2157973804189972,6.039755055454466,False
0.65,2026101900,b60_20_to_b100_20,0.03484249600555017,-0.05153527442479164,0.062208392021779205,0.055542854639839566,0.05464957280602995,0.9117338105440811,6.039755055454466,False
0.65,2026101900,b100_20_to_b140_20,-0.02659932443451999,0.0484498869852458,0.05527129100406415,0.05501620976745409,0.054535428909528706,0.7894436154326145,6.039755055454466,False
0.7,2026091900,b60_20_to_b100_20,0.08641873490704576,-0.016779706844571963,0.0880327002012549,0.05648254911526333,0.05754825039506748,2.592972011475497,6.039755055454466,False
0.7,2026091900,b100_20_to_b140_20,0.020775776595370915,-0.05880302665762209,0.062365285513960214,0.0561506297687304,0.05622644991249845,1.1314767580386018,6.039755055454466,False
0.7,2026101900,b60_20_to_b100_20,0.03693825161083606,-0.03903654359464497,0.053742777820671404,0.056355712425714355,0.05692501837682607,0.5933260662971677,6.039755055454466,False
0.7,2026101900,b100_20_to_b140_20,-0.05408811728700769,0.04583754816238182,0.0708985560726858,0.05768735893942844,0.056593185335093714,1.0316060748744202,6.039755055454466,False
