theta,min_id,u0,v0,U0,sign,Fc,x,y,eig_soft,eig_hard
0.0,0,0.0,0.0,-0.6541619275241644,1,3.485120232370062,0.015107260117105519,0.18125249123328266,-7.799316747991725e-15,16.820108412143377
0.0,0,0.0,0.0,-0.6541619275241644,-1,1.4222355051564717,5.521849294867241e-05,-0.1736331839004458,-3.3085293267001367e-15,26.412876826421346
0.0,1,0.33333333333333226,0.3333333333333338,-0.28760153023820884,1,0.19567300840589408,0.5000221562360814,0.3544964448829645,-1.709117373519778e-14,12.31760658478673
0.0,1,0.33333333333333226,0.3333333333333338,-0.28760153023820884,-1,0.5678970777535389,0.5071798515503895,0.2254465493926555,5.551115123125783e-16,11.816410514797688
1.5,0,1.0,1.0,-0.5596581941027724,1,3.0711353385392584,1.5130901525958171,1.0550563870640233,-5.870304242705515e-15,13.539221126378106
1.5,0,1.0,1.0,-0.5596581941027724,-1,1.2586722984999543,1.5000389770512186,0.6932173028284535,-2.1079912023157536e-15,22.131549771934594
1.5,1,0.33333333333333315,0.3333333333333334,-0.2514737433951883,1,0.2110586434194291,0.5000173982631929,0.36208247263435145,6.201096866629684e-15,11.493290105502222
1.5,1,0.33333333333333315,0.3333333333333334,-0.2514737433951883,-1,0.6116972722313101,0.5070659577810468,0.216515520839997,-5.5164206536062466e-15,10.9324791010045
3.0,0,5.476256194223948e-18,3.6901603399928934e-17,-0.3259088864746171,1,,,,,
3.0,0,5.476256194223948e-18,3.6901603399928934e-17,-0.3259088864746171,-1,,,,,
3.0,1,0.3333333333333335,0.3333333333333331,-0.1527785460309068,1,0.1805672447737384,0.4999995952711282,0.37508611376183604,8.007540840542121e-16,7.611582139499012
3.0,1,0.3333333333333335,0.3333333333333331,-0.1527785460309068,-1,0.5215476929992656,0.4978024726735482,0.19828398985906753,-1.7531549129090607e-15,7.0371275380031895
