steps_per_cycle,orig_m,orig_n,inv_m,inv_n,reversal_norm,sym_balanced_norm,orig_lock_err,inv_lock_err
1000,1.0000000000000007,-1.0000000000000013,-1.0,1.0,1.4895204919483639e-15,5.822747781702122e-17,1.4895204919483639e-15,0.0
2000,0.999999999999995,-0.9999999999999915,-0.9999999999999998,0.9999999999999997,9.50197851991224e-15,1.3020386184206017e-16,9.901546312420039e-15,4.002966042486721e-16
4000,1.0000000000000064,-1.0000000000000102,-1.0000000000000002,1.0000000000000004,1.1580429779916289e-14,7.408723522685636e-17,1.2074409138593832e-14,4.965068306494546e-16
8000,0.9999999999999986,-0.9999999999999976,-1.0000000000000004,1.0000000000000004,3.4488466675883937e-15,5.374844106186573e-18,2.837048893407221e-15,6.280369834735101e-16
