T,mean_u,mean_v,Pneg,Ptarget,u_lo,v_lo,Pneg_lo,Ptarget_lo,u_hi,v_hi,Pneg_hi,Ptarget_hi
0.02,1.2193931256209958,-2.4280458852815356,0.9984,0.04259999999999999,1.202450169319734,-2.441009176929288,0.9975999999999996,0.038700000000000206,1.2370660009500642,-2.4147092568997244,0.9990999999999999,0.04650000000000028
0.04,1.0724507928452347,-2.1551714536890123,0.9745,0.06780000000000001,1.051333791098706,-2.174765375055941,0.9715999999999957,0.0628000000000004,1.0932112719384386,-2.1352901139197376,0.9774999999999967,0.0727025000000003
0.06,0.9257272658349116,-1.856100809524456,0.9301000000000001,0.08070000000000001,0.9018459498334317,-1.8798492447710202,0.925099999999992,0.07550000000000014,0.9491058003284024,-1.8319175487660997,0.9349999999999935,0.0858999999999998
0.1,0.6678669720675767,-1.3536387214044334,0.8158000000000002,0.07400000000000001,0.6386999579073214,-1.3828781733313265,0.8079999999999947,0.0688000000000003,0.6963872490514724,-1.3236525554599774,0.8233999999999948,0.07920000000000008
0.16,0.4408469895330148,-0.8754276955792593,0.6851,0.053200000000000004,0.40596677892398964,-0.9111788824224796,0.6758000000000018,0.04880000000000033,0.4751620954156895,-0.8405814946607806,0.694300000000001,0.057700000000000404
0.24,0.2919170043651714,-0.5415098491912941,0.5989,0.0369,0.2505714075866921,-0.58416203546159,0.5893000000000012,0.033400000000000124,0.3343506107385676,-0.4994299703984113,0.6085025000000014,0.04060000000000023
0.32,0.2150746640656875,-0.34675448451651847,0.5552,0.029000000000000005,0.16455062417579533,-0.39700009312631207,0.5453000000000006,0.025700000000000056,0.2656212634451219,-0.2965917217165243,0.5650000000000008,0.03230000000000015
0.5,0.1123919648528508,-0.14424676946801301,0.5176,0.015,0.048405309648816605,-0.21087329187363313,0.5078999999999997,0.012699999999999973,0.17557657497404594,-0.07829695028889294,0.5272,0.017399999999999978
0.55,0.09614141311470326,-0.1100215774951366,0.5099,0.012600000000000002,0.026664415681712034,-0.17596728352874866,0.49999999999999983,0.01049999999999998,0.1636333843680372,-0.04135722390162905,0.5191,0.014899999999999965
0.6,0.09038924191563542,-0.08589494120259923,0.5059,0.013300000000000001,0.018739618875342867,-0.15610106756881117,0.4964999999999995,0.011199999999999977,0.16028558328703094,-0.014518289165247347,0.5152999999999999,0.015599999999999963
0.65,0.09501423760142748,-0.06515894416735771,0.5067,0.011699999999999999,0.019524638324151466,-0.13895308532826522,0.4971974999999994,0.009699999999999981,0.1717118530475872,0.008891383050249241,0.5161999999999995,0.013799999999999969
0.7,0.06951226813736108,-0.03986141787293427,0.5012,0.0119,-0.009646484241651912,-0.11766006796935305,0.4914999999999999,0.009699999999999985,0.150534328442193,0.037879905415447654,0.5111000000000004,0.014099999999999972
