theta_deg,U_ground,U_meta,ground_Fc_plus,ground_Fc_minus,meta_Fc_plus,meta_Fc_minus,ground_lower_energy,ground_longer_plus,ground_longer_minus,global_envelope_plus,global_envelope_minus,global_equals_ground_plus,global_equals_ground_minus
0.0,-0.6541619275241644,-0.28760153023820884,3.4851202323700647,1.4222355051564715,0.19567300840588714,0.5678970777535396,True,True,True,3.4851202323700647,1.4222355051564715,True,True
0.25,-0.6514172838098657,-0.2865871930547701,3.473774809372311,1.4177519030025931,0.1963260080412158,0.5697697056190141,True,True,True,3.473774809372311,1.4177519030025931,True,True
0.5,-0.6432248773014383,-0.2835467209177751,3.4396560199229986,1.4042712173846532,0.19820550116391042,0.5751564695912389,True,True,True,3.4396560199229986,1.4042712173846532,True,True
0.75,-0.6297087854497013,-0.27848888560888785,3.3825458913555146,1.381713076630392,0.20107430610566043,0.5833678317098187,True,True,True,3.3825458913555146,1.381713076630392,True,True
1.0,-0.6110741291154203,-0.2714320098835111,3.3021760283989754,1.3499733914836303,0.2045431187408259,0.5932718457164184,True,True,True,3.3021760283989754,1.3499733914836303,True,True
1.25,-0.5876044933408644,-0.2624090407084859,3.198357094322453,1.3089656745103193,0.20808429711467705,0.6033342717621673,True,True,True,3.198357094322453,1.3089656745103193,True,True
1.5,-0.5596581941027724,-0.2514737433951883,3.07113533853926,1.2586722984999545,0.21105864341942915,0.611697272231306,True,True,True,3.07113533853926,1.2586722984999545,True,True
1.75,-0.5276632942343704,-0.2387072290518576,2.920954203444808,1.1991999243232867,0.2127584060819446,0.616307047468274,True,True,True,2.920954203444808,1.1991999243232867,True,True
2.0,-0.492111277480732,-0.22422395991826088,2.7487976735496735,1.1308327718834268,0.21246612014771393,0.6150902439682162,True,True,True,2.7487976735496735,1.1308327718834268,True,True
2.25,-0.4535493155649594,-0.20817640213269373,2.5562953114582467,1.054077522685468,0.2095243525430651,0.6061651013945965,True,True,True,2.5562953114582467,1.054077522685468,True,True
2.5,-0.4125711088002301,-0.19075760988578466,2.345779545274009,0.9696944153155024,0.20340753610545972,0.5880622133653017,True,True,True,2.345779545274009,0.9696944153155024,True,True
2.75,-0.36980634366795856,-0.17220121555589588,2.120323510098373,0.8787104347419477,0.19378526497223345,0.5599360256198133,True,True,True,2.120323510098373,0.8787104347419477,True,True
3.0,-0.3259088864746171,-0.1527785460309068,1.8833145057626905,0.7824122481159915,0.1805672447737382,0.5215476929992587,True,True,True,1.8833145057626905,0.7824122481159915,True,True
