deltaF,force,n_stationary,n_stable,stable_min_soft
-0.0001,1.9099735314967028,4,1,0.0006832443540805977
-1e-05,1.9100635314967027,4,1,6.832785155953813e-05
1e-05,1.9100835314967028,2,0,
0.0001,1.9101735314967028,2,0,
