theta_deg,stationary_index,U0,x,y,eig1,eig2,stable_minimum
0.0,0,-0.6541619275241644,0.0,0.0,16.470540456959952,16.470540456959952,True
0.0,1,-0.28760153023820884,0.49999999999999917,0.2886751345948133,6.080525985319002,6.080525985319186,True
0.0,2,-0.26963534979038983,0.3798937377645581,0.21939646745779628,-4.950185084622282,18.588289521246057,False
0.0,3,-0.2696353497903897,0.6200502167987035,0.21929939391383285,-4.95018508462229,18.58828952124606,False
0.0,4,-0.2696353497903897,0.5000560454367384,0.4273295424128095,-4.95018508462229,18.588289521246065,False
0.0,5,0.9797298128310385,1.0,0.5773502691896258,-25.548769682911185,-25.548769682911185,False
0.25,0,-0.6514172838098657,0.5,0.8660254037844386,16.408441403280644,16.408441403280648,True
0.25,1,-0.2865871930547701,0.5000000000000007,0.2886751345948125,6.076933232096475,6.076933232096616,True
0.25,2,-0.26849847125552434,0.5000557357023432,0.42781358152941656,-4.950291218014482,18.54981798093279,False
0.25,3,-0.2684984712555241,0.37947470246034853,0.21915417966163803,-4.950291218014492,18.549817980932787,False
0.25,4,-0.26849847125552395,0.6204695618373084,0.21905764259338403,-4.950291218014499,18.549817980932787,False
0.25,5,0.9754728618520949,1.0,0.5773502691896257,-25.443759734368694,-25.443759734368687,False
0.5,0,-0.6432248773014383,1.0,2.2089188645242577e-18,16.222680916620728,16.22268091662073,True
0.5,1,-0.2835467209177751,0.4999999999999999,0.2886751345948129,6.064760945517599,6.064760945517638,True
0.5,2,-0.2650986556435883,0.621705424010509,0.21834521448689995,-4.949635072230701,18.430299130010624,False
0.5,3,-0.2650986556435883,0.5000547854543281,0.42924008362022675,-4.9496350722307065,18.43029913001063,False
0.5,4,-0.2650986556435882,0.3782397905351629,0.218440105677312,-4.949635072230707,18.430299130010628,False
0.5,5,0.9627722074360158,1.0,0.5773502691896258,-25.12993603148277,-25.12993603148277,False
0.75,0,-0.6297087854497013,0.5,0.8660254037844386,15.914894080445634,15.914894080445634,True
0.75,1,-0.27848888560888785,0.4999999999999999,0.2886751345948129,6.039976601547506,6.039976601547542,True
0.75,2,-0.25947019477395844,0.37625393257206874,0.21729166547835585,-4.945304346746851,18.218320196698727,False
0.75,3,-0.2594701947739584,0.5000531360488519,0.43153410716405205,-4.945304346746857,18.218320196698734,False
0.75,4,-0.2594701947739583,0.6236929313790794,0.21719963114203086,-4.9453043467468625,18.21832019669874,False
0.75,5,0.9418374280580253,1.0,0.577350269189626,-24.61095943185881,-24.610959431858802,False
1.0,0,-0.6110741291154203,1.0,4.6978821291336993e-17,15.487886080197676,15.487886080197685,True
1.0,1,-0.2714320098835111,0.5000000000000004,0.28867513459481287,5.996342807889124,5.996342807889197,True
1.0,2,-0.2516757953608847,0.3736197631531393,0.2157680187124372,-4.932500393331275,17.897679593918603,False
1.0,3,-0.25167579536088464,0.6263295328942233,0.21568019689032522,-4.932500393331266,17.897679593918582,False
1.0,4,-0.25167579536088436,0.5000507039526372,0.43457718818167634,-4.932500393331291,17.8976795939186,False
1.0,5,0.9130143862148264,1.0,0.5773502691896257,-23.893063536018992,-23.893063536018975,False
1.25,0,-0.5876044933408644,0.5,0.8660254037844386,14.94574040332825,14.945740403328255,True
1.25,1,-0.2624090407084859,0.4999999999999999,0.28867513459481303,5.926091483169086,5.926091483169125,True
1.25,2,-0.24181309779709226,0.500047399403069,0.43821707120135645,-4.904683217203151,17.451003802685918,False
1.25,3,-0.2418130977970922,0.37046918426607656,0.21394521537872313,-4.904683217203159,17.451003802685925,False
1.25,4,-0.24181309779709217,0.6294834163308544,0.213863117204359,-4.904683217203163,17.451003802685925,False
1.25,5,0.8767799299075302,1.0,0.5773502691896258,-22.98522179340291,-22.985221793402896,False
1.5,0,-0.5596581941027724,1.5,0.8660254037844386,14.293947767951721,14.29394776795173,True
1.5,1,-0.2514737433951883,0.4999999999999999,0.2886751345948129,5.8207712072298765,5.820771207229908,True
1.5,2,-0.23002062422532218,0.5000431474667921,0.4422807879304463,-4.8538930540983625,16.863675048014326,False
1.5,3,-0.23002062422532213,0.36695202831303964,0.2119096747293472,-4.853893054098357,16.86367504801431,False
1.5,4,-0.23002062422532205,0.6330048242201682,0.21183494112464538,-4.853893054098357,16.86367504801431,False
1.5,5,0.8337342180989429,1.0,0.5773502691896258,-21.899323519934534,-21.899323519934526,False
1.75,0,-0.5276632942343704,0.9999999999999999,2.4651104027724527e-17,13.539535883799122,13.539535883799147,True
1.75,1,-0.2387072290518576,0.5000000000000001,0.2886751345948129,5.672183625321142,5.672183625321157,True
1.75,2,-0.21648099053808056,0.6367389155224977,0.2096851132507088,-4.771328649628384,16.12720007452731,False
1.75,3,-0.21648099053808034,0.5000379073682203,0.4465895197952825,-4.771328649628399,16.127200074527313,False
1.75,4,-0.21648099053808031,0.3632231771092818,0.20975077073844745,-4.771328649628403,16.12720007452732,False
1.75,5,0.7845904912352688,1.0,0.5773502691896258,-20.650310515980724,-20.65031051598072,False
2.0,0,-0.492111277480732,0.9999999999999999,6.776469334155288e-17,12.691177971350474,12.691177971350497,True
2.0,1,-0.22422395991826088,0.5000000000000002,0.28867513459481264,5.47331686185116,5.473316861851201,True
2.0,2,-0.2014198582691732,0.6405381414723679,0.2074988123280958,-4.648205384906179,15.24132387408184,False
2.0,3,-0.201419858269173,0.35943017199504546,0.2075536950124498,-4.648205384906218,15.241323874081875,False
2.0,4,-0.20141985826917297,0.5000316865325856,0.4509728964438938,-4.6482053849062055,15.241323874081854,False
2.0,5,0.730162155174609,1.0,0.5773502691896258,-19.256224501455442,-19.25622450145543,False
2.25,0,-0.4535493155649594,1.5,0.8660254037844386,11.759257948016627,11.759257948016637,True
2.25,1,-0.20817640213269373,0.5000000000000002,0.28867513459481225,5.219185486814245,5.219185486814333,True
2.25,2,-0.18510021281937616,0.6442720936626996,0.20535125755563233,-4.476817426547231,14.214584816979563,False
2.25,3,-0.18510021281937608,0.5000245474263916,0.45528037128346893,-4.4768174265472345,14.214584816979567,False
2.25,4,-0.18510021281937597,0.35570335891090876,0.20539377494533734,-4.476817426547248,14.214584816979574,False
2.25,5,0.6713471476250485,1.0,0.5773502691896258,-17.738121092080473,-17.738121092080462,False
2.5,0,-0.4125711088002301,1.5,0.8660254037844386,10.75587235168906,10.755872351689067,True
2.5,1,-0.19075760988578466,0.5,0.2886751345948129,4.907497330595715,4.907497330595723,True
2.5,2,-0.16781272811474374,0.6478335286382179,0.2033042306156507,-4.251635371952535,13.063456926950131,False
2.5,3,-0.1678127281147437,0.5000166072708878,0.4593881779161849,-4.251635371952536,13.063456926950135,False
2.5,4,-0.16781272811474357,0.3521498640908946,0.20333299525260298,-4.251635371952541,13.063456926950133,False
2.5,5,0.6091097032794621,1.0,0.5773502691896256,-16.119817930173728,-16.119817930173717,False
2.75,0,-0.36980634366795856,0.5,0.8660254037844385,9.694753227150944,9.694753227150958,True
2.75,1,-0.17220121555589588,0.5,0.2886751345948131,4.539086016503549,4.539086016503571,True
2.75,2,-0.14986380042161018,0.5000080321859544,0.4632016589757491,-3.9702342219173037,11.810543916300679,False
2.75,3,-0.14986380042161002,0.34885158015892814,0.20141882848142942,-3.9702342219172992,11.810543916300666,False
2.75,4,-0.14986380042161002,0.6511403876551175,0.20140491632726062,-3.9702342219172975,11.81054391630066,False
2.75,5,0.5444598128916792,1.0,0.5773502691896258,-14.42746143239493,-14.427461432394919,False
3.0,0,-0.3259088864746171,2.3927057894188415e-17,3.195772598471667e-17,8.59110198284654,8.59110198284655,True
3.0,1,-0.1527785460309068,0.5,0.28867513459481264,4.118072309970621,4.118072309970642,True
3.0,2,-0.13156309531823646,0.3458664002507772,0.1996849367550826,-3.6338805865682575,10.482385217293018,False
3.0,3,-0.13156309531823646,0.6541345718916212,0.19968662055510805,-3.6338805865682655,10.482385217293023,False
3.0,4,-0.13156309531823637,0.499999027857601,0.4666538464742527,-3.633880586568395,10.482385217293139,False
3.0,5,0.4784308628266004,1.0,0.5773502691896258,-12.688916362958851,-12.688916362958851,False
