theta_deg,branch,U0,x0,y0,direction,Fc,fold_x,fold_y,fold_residual,lambda_soft,lambda_hard,soft_cubic,force_coupling_abs_vy,continued_points,seed_force
0.0,ground,-0.6541619275241644,0.0,0.0,+y,3.4851202323700647,0.01510726011710363,0.18125249123328283,5.2112588274101447e-14,3.0808688933348094e-15,16.820108412143334,19.974843405135594,0.08486990716934323,349,3.47999999999997
0.0,ground,-0.6541619275241644,0.0,0.0,-y,1.4222355051564715,5.521849294869253e-05,-0.17363318390044577,3.6021050476950574e-14,1.354491232987299e-15,26.412876826421346,-80.71117588903081,0.9999999285485408,143,1.420000000000001
0.0,metastable,-0.28760153023820884,0.49999999999999917,0.2886751345948133,+y,0.19567300840588714,0.5000221562360814,0.3544964448829645,1.0831806703673445e-11,-1.709117373519778e-14,12.31760658478673,84.16686932855318,0.9999998854851624,20,0.19000000000000003
0.0,metastable,-0.28760153023820884,0.49999999999999917,0.2886751345948133,-y,0.5678970777535396,0.5071798515503887,0.2254465493926555,1.047818393560674e-14,8.81239525796218e-16,11.81641051479768,14.485827778554603,0.05797187850052977,57,0.5600000000000003
0.25,ground,-0.6514172838098657,0.5,0.8660254037844386,+y,3.473774809372311,0.5150523936657737,1.0475141649072452,1.2888844986910334e-14,-7.494005416219807e-16,16.719914278881696,19.89282973504242,0.08469166994436537,348,3.46999999999997
0.25,ground,-0.6514172838098657,0.5,0.8660254037844386,-y,1.4177519030025931,0.5000547477465935,0.6924184324454482,3.7475080423942807e-13,-1.215882507388721e-14,26.285151823565595,-80.61811956277997,0.9999999296699279,142,1.410000000000001
0.25,metastable,-0.2865871930547701,0.5000000000000007,0.2886751345948125,+y,0.1963260080412158,0.5000220472549595,0.35473741172183837,1.544996826154229e-14,-1.2551935605806773e-15,12.301851177297506,83.86873862983298,0.9999998874405682,20,0.19000000000000003
0.25,metastable,-0.2865871930547701,0.5000000000000007,0.2886751345948125,-y,0.5697697056190141,0.5071840372883929,0.2251765450271183,2.623967637866699e-14,2.220446049250313e-15,11.79860391691875,14.397845420780257,0.05782403072945862,57,0.5600000000000003
0.5,ground,-0.6432248773014383,1.0,2.2089188645242577e-18,+y,3.4396560199229986,1.0148874899462403,0.1821904484991955,1.2108635248742695e-13,7.396860901565105e-15,16.42261053555547,19.64419379702916,0.08415094201395645,344,3.429999999999971
0.5,ground,-0.6432248773014383,1.0,2.2089188645242577e-18,-y,1.4042712173846532,1.0000533421767828,-0.17352963866787366,5.003192298096863e-15,-1.6069146745656057e-16,25.905168675975332,-80.3236097563949,0.999999932976001,141,1.400000000000001
0.5,metastable,-0.2835467209177751,0.4999999999999999,0.2886751345948129,+y,0.19820550116391042,0.5000217107381864,0.3554492936766141,4.28665381084801e-14,-3.498038549088183e-15,12.251694048977242,82.98413884519366,0.9999998931790247,20,0.19000000000000003
