theta_deg,U_ground,zero_eig_ground,Fc_ground_plus,hard_ground_plus,soft_ground_plus,Fc_ground_minus,hard_ground_minus,soft_ground_minus,U_meta,zero_eig_meta,Fc_meta_plus,hard_meta_plus,soft_meta_plus,Fc_meta_minus,hard_meta_minus,soft_meta_minus,DeltaU0,DeltaF_plus,DeltaF_minus
0.0,-0.6541619275241644,16.470540456959952,3.485120232370068,16.820108412143306,1.4016565685892601e-15,1.4222355051564721,26.412876826421353,-2.340524404468398e-15,-0.2876015302382088,6.080525985319081,0.1956730084058918,12.317606584786681,3.9497146330468025e-18,0.5678970777535396,11.81641051479768,8.81239525796218e-16,0.3665603972859556,3.289447223964176,0.8543384274029325
0.01,-0.6541575305577131,16.470441027486714,3.485102091214107,16.81994766219531,3.191891195797325e-16,1.4222283355379022,26.41267203840109,4.3227182968644424e-16,-0.2875999069815479,6.080520425183967,0.19567406380807562,12.317581769001084,-3.3515094725097144e-15,0.5679001047786866,11.816382397485931,6.522560269672795e-16,0.36655762357616517,3.2894280274060312,0.8543282307592156
0.02,-0.654144339764871,16.470142740429957,3.485047667522091,16.819465420813778,-7.494005416219807e-16,1.4222068266016787,26.412057682586372,4.4004801565871235e-16,-0.28759503721756446,6.080503741145081,0.1956772298106479,12.317507314050435,-4.0368023255187534e-16,0.567909185261106,11.816298038335425,1.2559397966072083e-15,0.3665493025473065,3.2893704377114434,0.8542976413405727
0.03,-0.6541223554651766,16.469645599878625,3.4849569606217283,16.818661713385577,1.0269562977782698e-15,1.422170978106294,26.411033783714725,-6.51042228753864e-17,-0.28758692096425875,6.08047592230234,0.1956825058016735,12.317383197155092,4.193194253735051e-16,0.5679243174222985,11.816157415701323,-2.220446049250313e-15,0.36653543450091786,3.2892744548200548,0.8542466606839954
0.04,-0.6540915781911837,16.468949612647975,3.484829969392967,16.817536582219805,1.6237011735142914e-15,1.422120789649366,26.409600383012872,-1.5448385944766534e-15,-0.2875755582516491,6.080436950491099,0.19568989076127358,12.317209380355187,-2.8566829891191192e-15,0.567945498297395,11.815960493516279,-7.45931094670027e-15,0.3665160199395346,3.2891400786316938,0.8541752913519709
0.05,-0.6540520086884556,16.46805478828012,3.484666692268588,16.81609008654466,1.5265566588595902e-16,1.4220562606678349,26.407757538193167,1.1303205753646593e-15,-0.2875609491217944,6.080386800285224,0.1956993832616441,12.316985810520022,1.875825188945744e-15,0.5679727237361097,11.81570722129793,4.9682480351975755e-15,0.36649105956666117,3.288967309006944,0.8540835369317251
0.06,-0.654003647915549,16.46696113904478,3.4844671272350953,16.814322302502784,-5.412337245047638e-16,1.421977390438233,26.40550532344853,-4.545754777370709e-16,-0.28754309362882957,6.080325439001514,0.19571098146708266,12.316712419361233,6.602573966485751e-15,0.5680059884023787,11.8153975341624,-1.7208456881689926e-15,0.3664605542867194,3.2887561457680126,0.8539714020358542
0.07,-0.6539464970439963,16.465668679940208,3.4842312718338606,16.812233323145072,-2.7755575615628914e-16,1.4218841780770362,26.40284382944585,1.9499160078750247e-15,-0.28752199183900795,6.080252826705341,0.1957246831340203,12.316389123449623,-1.2032272422336787e-15,0.5680452857746158,11.815031352840432,6.106226635438361e-16,0.36642450520498837,3.2885065886998404,0.8538388923024204
0.08,-0.653880557458283,16.464177428694363,3.48395912316248,16.809823258423428,-9.853229343548264e-16,1.4217766225410964,26.39977316331801,-1.3436407409329713e-15,-0.2874976438307564,6.080168916217591,0.19574048561106933,12.316015824235691,3.3123748562806712e-15,0.5680906081456333,11.814608583697662,4.371503159461554e-16,0.3663829136275266,3.2882186375514104,0.8536860143954631
0.09,-0.6538058307558234,16.462487405766332,3.48365067787638,16.807092235182445,1.1657341758564144e-15,1.4216547226281437,26.396293448654546,1.7171687181449617e-16,-0.2874700496947378,6.080073653122777,0.19575838583906177,12.31559240807412,-9.290092194060452e-16,0.568141946622982,11.81412911875804,-1.3877787807814457e-17,0.36633578106108566,3.287892292037318,0.8535127760051617
0.1,-0.6537223187469265,16.46059863434784,3.4833059321907163,16.80404039714901,4.163336342344337e-16,1.4215184769773699,26.392404825490658,1.5212123044788892e-15,-0.2874392095339229,6.07996697577847,0.19577838035112002,12.315118746251713,4.498366248587146e-15,0.5681992911290433,11.813592835730997,-9.020562075079397e-17,0.36628310921300367,3.287527551839596,0.8533191858483266
0.11,-0.6536300234547668,16.458511140365154,3.4829248818824685,16.800667904921426,-7.632783294297951e-16,1.4213678840700998,26.38810745029494,-7.260016799705542e-16,-0.287405123463675,6.079848815325938,0.1958004652727156,12.314594695019261,2.7391292156003257e-15,0.5682626304012274,11.81299959804257,-4.871103520542874e-15,0.3662248999910918,3.287124416609753,0.8531052536688725
0.12,-0.6535289471153424,16.456224952481033,3.48250752229288,16.796974935956168,-4.996003610813204e-16,1.4212029422305192,26.383401495955674,-7.358259916092832e-17,-0.2873677916118418,6.079719095702114,0.19582463632174316,12.314020095627058,-3.1570357900178106e-16,0.5683319519921328,11.812349254869739,5.974387651264124e-15,0.3661611555035006,3.286682885971137,0.8528709902383864
0.13,-0.6534190921774335,16.45374010209694,3.4820538483299606,16.79296168455469,-8.187894806610529e-16,1.4210236496264963,26.378287151765495,1.063004749463992e-15,-0.28732721411885603,6.079577733652687,0.1958508888086073,12.313394774364063,-1.8188753522535746e-15,0.568407242269827,11.811641641178612,-2.491062911502695e-15,0.3660918780585775,3.2862029595213533,0.8526164073566693
0.14,-0.6533004613025571,16.451056623355505,3.481563854471421,16.788628361847763,3.4416913763379853e-15,1.4208300042704785,26.372764623404862,9.980080997729068e-16,-0.2872833911378483,6.079424638746522,0.19587921763631344,12.312718542600905,-2.4361590828946185e-15,0.5684884864181338,11.810876577765914,7.056855100273651e-15,0.36601707016470886,3.2856846368351076,0.8523415178523447
0.15,-0.6531730573649137,16.448174553143144,3.4810375347678266,16.783975195778382,-3.594347042223944e-15,1.4206220040204576,26.366834132923945,1.2001461598880412e-15,-0.28723632283476846,6.0792597133913535,0.19590961730056503,12.311991196836473,3.9932817726888274e-15,0.5685756684368292,11.810053871304593,-1.547373340571312e-15,0.36593673453014525,3.2851279174672614,0.8520463355836284
0.16,-0.6530368834513387,16.445093931092977,3.4804748828458045,16.7790024310852,-4.8155923693116165e-15,1.420399646581023,26.360495918723153,1.9608744966301273e-15,-0.28718600938851563,6.079082852850582,0.19594208188987788,12.311212518748212,5.884121044141127e-15,0.56866877114211,11.809173314392286,-2.3245294578089215e-15,0.3658508740628231,3.2845328009559265,0.8517308754389129
0.17,-0.6528919428612368,16.441814799587775,3.4798758919118247,16.773710329281577,-3.3306690738754696e-16,1.4201629295044842,26.35375023553213,1.5222749073112198e-16,-0.2871324509910783,6.078893945261429,0.19597660508570372,12.310382275246141,2.520412179608583e-15,0.568767776166738,11.808234685604152,-1.0269562977782698e-15,0.36575949187015844,3.283899286826121,0.8513951533377462
0.18,-0.6527382391065243,16.438337203763304,3.479240554755925,16.76809916863609,4.3021142204224816e-15,1.41991185019207,26.346597354387487,1.1427694185904558e-15,-0.28707564784768574,6.078692871654301,0.19601318016255131,12.309500218530468,4.1410280356125005e-15,0.5688726639605874,11.807237749548555,-3.122502256758253e-16,0.36566259125883854,3.2832273745933738,0.8510391862314826
0.19,-0.6525757759115612,16.43466119151179,3.4785688637558296,16.76216924415038,1.1518563880486e-15,1.4196464058952094,26.339037562608986,-9.461993295540976e-16,-0.2870156001769663,6.078479505973352,0.1960517999881333,12.308566086152927,-4.070340595065287e-15,0.5689834137908937,11.806182256926887,-1.2975731600306517e-15,0.3655601757345949,3.2825170637676964,0.8506629921043157
0.2,-0.6524045572130793,16.430786813485543,3.4778608108813116,16.755920867535426,-2.095545958979983e-15,1.4193665937168822,26.33107116377429,3.189379743108716e-16,-0.28695230821111484,6.07825371509833,0.19609245702352077,12.307579601081645,3.609251010447357e-15,0.5691000037428523,11.80506794459625,-3.2890357104520263e-15,0.3654522490019645,3.2817683538577906,0.8502665899740299
0.21,-0.6522245871601094,16.426714123100947,3.4771163876987203,16.749354367187685,-1.2073675392798577e-15,1.4190724106130492,26.32269847769249,-1.3151931393994357e-15,-0.2868857721960746,6.078015358867543,0.19613514332329748,12.306540471769804,-2.529104008196833e-15,0.5692224107199062,11.80389453563659,-1.6028844918025698e-15,0.36533881496403486,3.2809812443754227,0.849849999893143
0.22,-0.6520358701139013,16.422443176542416,3.476335585375828,16.742470088162584,1.7763568394002505e-15,1.4187638533941576,26.313919840376023,-3.8940730387416675e-16,-0.2868159923917226,6.077764290102189,0.19617985053574086,12.305448392227738,-4.592502949246147e-15,0.5693506104443576,11.802661739420394,-4.3021142204224816e-16,0.3652198777221787,3.280155734840087,0.8494132429497999
0.23,-0.651838410647841,16.417974032766782,3.475518394686913,16.735268392147177,4.760081218080359e-15,1.4184409187267202,26.30473560401121,7.312257556727451e-16,-0.286742969072065,6.077500354631732,0.1962265699030059,12.30430304209874,8.436765792008052e-16,0.5694845774578938,11.801369251686477,-2.0816681711721685e-15,0.365095441575776,3.279291824783907,0.8489563412688264
0.24,-0.6516322135473649,16.413306753507776,3.474664806017976,16.727749657432213,6.800116025829084e-16,1.418103603134972,26.295146136927602,-3.092773517891995e-15,-0.28666670252544835,6.077223391320729,0.1962752922613252,12.3031040867384,1.421159925716264e-15,0.5696242851220706,11.800016754617193,1.942890293094024e-16,0.36496551102191654,3.2783895137566508,0.8484793180129014
0.25,-0.6514172838098657,16.40844140328064,3.4737748093723213,16.71991427888161,3.83026943495679e-15,1.417751903002594,26.285151823565588,-3.7266315657284374e-16,-0.28658719305477043,6.0769332320965415,0.1963260080412164,12.301851177297522,-2.8315180637726676e-15,0.569769705619014,11.798603916918749,-1.1449174941446927e-15,0.3648300907550953,3.2774488013311047,0.84798219738358
0.26,-0.6511936266446019,16.403378049387157,3.4728483943763733,16.711762667901162,-6.661338147750939e-16,1.41738581457453,26.27475306444302,1.7501902975936706e-15,-0.2865044409777073,6.0766297019785664,0.19637870726771622,12.300543950808585,-2.382314892503557e-15,0.5699208099519659,11.79713039390562,1.3114509478384662e-15,0.3646891856668946,3.276469687108657,0.847465004622564
0.27,-0.6509612474725931,16.398116761920612,3.4718855502855743,16.703295252406367,6.245004513516506e-16,1.41700533395885,26.263950276120063,-1.816216939348617e-15,-0.28641844662694793,6.076312619108439,0.1964333795606079,12.299182030275741,1.396695073100718e-15,0.570077567946096,11.795595827587555,-5.204170427930421e-16,0.36454280084564517,3.275452170724966,0.846927766012754
0.28,-0.6507201519265213,16.392657613771156,3.470886265990699,16.694512476788248,-3.899658373995862e-15,1.4166104571287101,26.252743891162957,-1.4024625204385726e-15,-0.28632921035043574,6.075981794781568,0.19649001413468703,12.297765024768324,4.67399556558501e-16,0.570239948249108,11.793999846760801,2.2898349882893854e-16,0.3643909415760856,3.274396251856012,0.8463705088796022
0.29,-0.6504703458506212,16.387000680631274,3.469850530024337,16.68541480187779,1.3183898417423734e-15,1.4162011799243786,26.24113435810632,-1.2303445785235515e-15,-0.2862367325116221,6.075637033479781,0.19654859980002135,12.296292529517782,-7.021424559122951e-16,0.5704079183320095,11.792342067102446,-4.718447854656915e-16,0.3642336133389991,3.273301930224316,0.845793261592369
0.3,-0.6502118353005677,16.381146041001493,3.4687783305675834,16.676002704909614,-2.831068712794149e-15,1.4157774980553335,26.22912214141407,-8.670695116216008e-16,-0.286141013489729,6.075278132905209,0.19660912496223884,12.294764126018197,-1.4911083300169978e-15,0.5705814444900156,11.790622091267807,-2.7478019859472624e-15,0.3640708218108387,3.2721692056053446,0.8451960535653179
0.31,-0.6499446265433639,16.375093776196216,3.4676696554569095,16.666276679484433,5.412337245047638e-16,1.4153394071024317,26.21670772143902,-1.1301105111937403e-15,-0.28604205368001645,6.074904884015287,0.19667157762282694,12.293179382130216,7.252118217472396e-16,0.5707604918433494,11.788839508991632,-1.2906342661267445e-15,0.3639025728633475,3.270998077834083,0.8445789152590822
0.32,-0.6496687260572154,16.36884397034983,3.466524492191458,16.656237235528685,-1.8041124150158794e-16,1.4148869025201523,26.203891594381034,-5.425927888686333e-16,-0.28593985349406326,6.074517071058949,0.1967359453794518,12.291537852188249,-8.504549603612077e-16,0.570945024338108,11.786993897192596,-1.3183898417423734e-15,0.3637288725631521,3.269788546812006,0.8439418781820442
0.33,-0.6493841405314115,16.362396710422935,3.4653428279403267,16.645884899254934,-1.3877787807814457e-15,1.414419979638914,26.190674272244042,3.955245758192373e-16,-0.28583441336005677,6.074114471614039,0.196802215426292,12.289839077111328,-6.225590518365437e-16,0.5711350047473273,11.785084820080732,-4.579669976578771e-16,0.3635497271713547,3.268540612514035,0.8432849748915868
0.34,-0.6490908768661948,16.355752086208835,3.464124649550245,16.63522021311939,-1.5265566588595902e-16,1.4139386336674598,26.17705628279156,7.422138905810016e-16,-0.28572573372308707,6.0736968566258,0.19687037455438847,12.288082584517198,2.946612900645582e-15,0.5713303946718504,11.783111829268794,3.0531133177191805e-16,0.36336514314310775,3.2672542749958566,0.8426082389956093
0.35000000000000003,-0.6487889421726284,16.34891019034013,3.4628699435533843,16.62424373577879,1.5404344466674047e-15,1.413442859695319,26.163038169500897,-4.388088064568793e-16,-0.2856138150454555,6.073263990446591,0.19694040915202335,12.286267888839753,3.393527812407685e-15,0.5715311545415769,11.78107446388607,8.326672684688674e-16,0.36317512712717287,3.265929534401361,0.8419117051537421
0.36,-0.6484783437724603,16.34187111829559,3.4615786961754567,16.612956042045624,-1.6237011735142914e-15,1.412932652695327,26.148620491516088,1.1082930600548376e-15,-0.2854986578069863,6.072815630876648,0.19701230520510316,12.284394491449799,-1.296759584884814e-15,0.571737243616375,11.778972250696457,-1.7277845820728999e-15,0.362979685965474,3.2645663909703533,0.841195409078952
0.37,-0.648159089197983,16.334634968407173,3.4602508933439924,16.601357722842288,1.124100812432971e-15,1.412408007526236,26.133803823599628,2.434118580524683e-16,-0.28538026250535437,6.072351529206206,0.19708604829757453,12.282461880779266,1.8010927425589178e-15,0.571948619987452,11.77680470421883,5.204170427930421e-16,0.3627788266926287,3.263164845046418,0.840459387538784
0.38,-0.6478311861918863,16.327201841867147,3.458886520696872,16.589449385153422,-4.579669976578771e-16,1.4118689189353708,26.118588756082573,-1.48828643975322e-15,-0.28525862965641147,6.071871430258414,0.19716162361185513,12.280469532448473,-3.935031316906149e-16,0.5721652405783895,11.774571326851321,1.7763568394002505e-15,0.3625725565354748,3.261724897085017,0.8397036783569813
0.39,-0.6474946427071123,16.319571842735588,3.4574855635909874,16.57723165197794,-4.163336342344337e-16,1.4113153815613764,26.102975894813767,1.2147151265808152e-15,-0.2851337597945304,6.071375072433688,0.19723901592928672,12.27841690939679,4.335622843815862e-17,0.5723870611466568,11.772271608998182,1.2628786905111156e-15,0.36236088291258195,3.2602465476617004,0.8389283204147195
0.4,-0.6471494669066972,16.31174507794781,3.4560480071112716,16.56470516227818,-4.163336342344337e-17,1.4107473899370147,26.086965861107434,1.2915486381933055e-15,-0.28500565347295265,6.0708621877550275,0.19731820963060875,12.27630346201648,9.344090544447913e-16,0.5726140362848267,11.769905029200318,-2.9559688030644793e-15,0.3621438134337445,3.2587297974806626,0.838133353652188
0.41000000000000003,-0.6467956671636178,16.303721657322225,3.454573836079797,16.551870570929268,-2.3592239273284576e-16,1.4101649384920472,26.07055929168977,1.335692183755937e-15,-0.28487431126414575,6.070332501914483,0.1973991886964616,12.274128628289755,1.6091762525347747e-16,0.5728461194220554,11.767471054268713,3.0531133177191805e-16,0.36192135589947205,3.2571746473833354,0.8373188190699917
0.42,-0.6464332520606273,16.295501693568184,3.4530630350651763,16.538728548666015,2.498001805406602e-16,1.4095680215561746,26.05375683864405,1.8081243865705494e-15,-0.2847397337601679,6.069785734320708,0.1974819367079065,12.271891833928905,9.944226093071794e-16,0.573083262825599,11.764969139420895,3.122502256758253e-16,0.36169351830045937,3.2555810983572697,0.8364847587305756
0.43,-0.6460622303900911,16.28708530229409,3.4515155883921214,16.525279782029127,5.134781488891349e-16,1.4089566333620402,26.036559169354625,2.4002038048330943e-15,-0.28460192157304226,6.069221598147639,0.19756643684696992,12.269592492519678,1.2986637149502416e-15,0.57332541760234,11.762398728420637,1.0477729794899915e-15,0.3614603088170489,3.2539491515451515,0.8356312157597002
0.44,-0.6456826111538146,16.278472602015682,3.4499314801512577,16.5115249733098,1.8457457784393227e-15,1.4083307680483184,26.018966966449632,-1.053640376715622e-15,-0.28446087533513986,6.0686398003842505,0.19765267189721744,12.267230005667692,-4.1490723075125746e-16,0.5735725337004757,11.759759253720617,-1.27675647831893e-15,0.3612217358186748,3.25227880825404,0.8347582343478427
0.45,-0.6452944035628708,16.26966371416447,3.4483106942091166,16.497464840492853,5.551115123125783e-17,1.4076904196628446,26.00098092774241,-9.351129388239596e-16,-0.28431659569956724,6.068040041885362,0.19774062424435873,12.264803763147928,-9.362721034122772e-17,0.5738245599111962,11.757050136608132,1.3183898417423734e-16,0.3609778078633036,3.2505700699647577,0.8338658597516484
0.46,-0.6448976170374189,16.26065876309631,3.4466532142183173,16.483100117198987,0.0,1.407035582165827,25.982601766171815,1.0381447559785519e-16,-0.2841690833405663,6.067422017423611,0.19783027587685903,12.26231314305717,2.475114975171791e-15,0.5740814438706067,11.754270787353505,-7.632783294297951e-17,0.3607285336968526,3.2488229383414584,0.8329541382952202
0.47000000000000003,-0.6444922612065246,16.25145787610023,3.4449590236280105,16.468431552625113,-5.273559366969494e-16,1.4063662494331233,25.963830209741154,-1.1356509537017306e-15,-0.2840183389539188,6.066785415742296,0.1979216083866046,12.259757511969632,-8.206491414967498e-16,0.5743431320613465,11.751420605362245,-1.186550857568136e-15,0.36047392225260577,3.247037415241406,0.8320231173717768
0.48,-0.6440783459079692,16.24206118340732,3.4432281056944127,16.453459911484103,-1.8041124150158794e-16,1.40568241525957,25.944667001456054,-8.98505021876576e-16,-0.28386436325736203,6.066129919609566,0.19801460296957726,12.257136225095323,2.0051751668044744e-15,0.5746095698148402,11.748498979329081,-1.7139067942650854e-15,0.36021398265060717,3.2452135027248357,0.8310728454447297
0.49,-0.6436558811880613,16.23246881819989,3.441460443491728,16.438185973941955,1.3461454173580023e-15,1.40498407336239,25.925112899261144,-3.12439114023063e-16,-0.2837071569910086,6.065455205873377,0.19810924042656577,12.254448626441583,-1.5756960047451276e-15,0.5748807013131694,11.745505287395655,3.469446951953614e-17,0.35994872419705265,3.243351203065162,0.8301033720492206
0.5,-0.6432248773014383,16.222680916620725,3.4396560199230093,16.422610535555393,6.522560269672795e-16,1.4042712173846543,25.90516867597534,-7.965074319505813e-16,-0.2835467209177754,6.064760945517623,0.1982055011639109,12.251694048977253,-1.0601616833765329e-15,0.5751564695912406,11.742438897310798,-7.008282842946301e-16,0.3596781563836629,3.2414505187590983,0.8291147477934138
0.51,-0.6427853447108662,16.21269761778248,3.4378148177314283,16.40673440720656,2.914335439641036e-16,1.4035438408988048,25.884835119226246,-1.4142028206039908e-15,-0.2833830558238219,6.064046803719291,0.1983033651942725,12.248871814799841,-1.5384672126474066e-15,0.5754368165390609,11.739299166593586,5.898059818321144e-16,0.35940228888704434,3.2395114525371556,0.8281070243597439
0.52,-0.6423372940870378,16.20251906377729,3.435936819511709,16.390558415036622,-1.942890293094024e-16,1.4028019374102487,25.864113031383184,3.57232503262828e-15,-0.2832161625189933,6.063312439906682,0.1984028121374368,12.245981235305566,-7.768893018592245e-16,0.5757216829039997,11.73608544269926,9.992007221626409e-16,0.3591211315680445,3.2375340073742724,0.827080254506249
0.53,-0.6418807363083596,16.19214539968654,3.4340220077215156,16.37408340037981,-4.0245584642661925e-16,1.4020455003610042,25.84300322948917,2.301271627143213e-15,-0.2830460418372725,6.062557507818462,0.1985038212211508,12.243021611362018,-2.6079636226191555e-16,0.576011008293274,11.732797063187858,-2.3592239273284576e-16,0.3588346944710871,3.235518186500365,0.8260344920677302
0.54,-0.6414156824607421,16.181576773590706,3.4320703646934465,16.357310219692906,-5.412337245047638e-16,1.401274523133414,25.82150654519172,-2.267037096514036e-16,-0.2828726946372401,6.061781655563904,0.19860637128199693,12.239992233483646,1.8891460525907386e-16,0.5763047311763524,11.729433355895747,1.5890067039947553e-15,0.358542987823502,3.2334639934114495,0.8249697919570617
0.55,-0.6409421438373789,16.170813336579442,3.430081872646824,16.340239744486325,-4.996003610813204e-16,1.4004889990539109,25.799623824672494,1.1529270376939293e-15,-0.2826961218025385,6.060984525684037,0.1987104407662907,12.236892382009923,1.1249558921932242e-15,0.5766027888876637,11.725993639109479,-6.730727086790012e-16,0.3582460220348404,3.2313714318805333,0.8238862101662472
