migration_action,repo_target,source_path,sha256,size_bytes,status,size_risk,reason,final_decision
ARCHIVE,archive/legacy/janus_acs_nano_venue/Janus_MoSSe_ACSNano_Structured_Manuscript_v6.docx,janus_acs_nano_venue/Janus_MoSSe_ACSNano_Structured_Manuscript_v6.docx,bb7cee70bf53fc4ab67626472c7d7c3f516566d623317692d98f44dfc9f35cb7,3855174,LEGACY,OK,"Superseded draft/config/output retained for provenance, not current authority.",APPROVED
ARCHIVE,archive/legacy/janus_dependency_audit/size_scaling_old_vs_exact.csv,janus_dependency_audit/size_scaling_old_vs_exact.csv,219fd7ecdfb6cf212385ebf9611b3540d69f35f38cca76c949ab0a7255639081,1910,LEGACY,OK,"Superseded draft/config/output retained for provenance, not current authority.",APPROVED
ARCHIVE,archive/legacy/janus_dependency_audit/thermal_midpoint_old_vs_exact.csv,janus_dependency_audit/thermal_midpoint_old_vs_exact.csv,ed513b6ae7098c0942043ef7a755385d4377898ea29be590c16e7f2bba11f4f1,520,LEGACY,OK,"Superseded draft/config/output retained for provenance, not current authority.",APPROVED
ARCHIVE,archive/legacy/janus_n10_rewrite/Janus_MoSSe_ClaimFrozen_Manuscript_v1.docx,janus_n10_rewrite/Janus_MoSSe_ClaimFrozen_Manuscript_v1.docx,e5cec3040d8910e140a8479fc8ee2f06fd72164507e68b7a98b6f2f90e1ab9a3,3683205,LEGACY,OK,"Superseded draft/config/output retained for provenance, not current authority.",APPROVED
ARCHIVE,archive/legacy/janus_n10_rewrite/Janus_MoSSe_ClaimFrozen_SI_v1.docx,janus_n10_rewrite/Janus_MoSSe_ClaimFrozen_SI_v1.docx,26e97bb0b6645e64d0e443701bf29c00115736430e37a38748fc34f886fb0dd7,50105,LEGACY,OK,"Superseded draft/config/output retained for provenance, not current authority.",APPROVED
ARCHIVE,archive/legacy/janus_n11_citation_novelty/Janus_MoSSe_CitationAudited_Manuscript_v2.docx,janus_n11_citation_novelty/Janus_MoSSe_CitationAudited_Manuscript_v2.docx,a6251cf4e7b2b921303d85ff5643769e34f898ad6b45400c64feba7477b1f12f,3684054,LEGACY,OK,"Superseded draft/config/output retained for provenance, not current authority.",APPROVED
ARCHIVE,archive/legacy/janus_n11_citation_novelty/Janus_MoSSe_CitationAudited_Manuscript_v2.txt,janus_n11_citation_novelty/Janus_MoSSe_CitationAudited_Manuscript_v2.txt,fd8cf6387b3732554503b3ee2adc7d3173c0108695f1cb5ad7eccb94d3235423,55742,LEGACY,OK,"Superseded draft/config/output retained for provenance, not current authority.",APPROVED
ARCHIVE,archive/legacy/janus_n11_citation_novelty/Janus_MoSSe_CitationAudited_SI_v2.docx,janus_n11_citation_novelty/Janus_MoSSe_CitationAudited_SI_v2.docx,3747c7dd81ddac225d1e61976353a452b3b971ab1957c396f9cfe34053948456,50304,LEGACY,OK,"Superseded draft/config/output retained for provenance, not current authority.",APPROVED
ARCHIVE,archive/legacy/janus_n11_citation_novelty/Janus_MoSSe_CitationAudited_SI_v2.txt,janus_n11_citation_novelty/Janus_MoSSe_CitationAudited_SI_v2.txt,5a0d25057ab2ad7ff183aa9984ec1f47b796efe54a982bb38303571cd094781e,23033,LEGACY,OK,"Superseded draft/config/output retained for provenance, not current authority.",APPROVED
ARCHIVE,archive/legacy/janus_n13_claim_figure_revision/Janus_MoSSe_ThermalStationary_Manuscript_v3.docx,janus_n13_claim_figure_revision/Janus_MoSSe_ThermalStationary_Manuscript_v3.docx,c772f18769c0da998aa51de36fa47d8492f4161761a7fc708acc30edf5f2e75e,3853368,LEGACY,OK,"Superseded draft/config/output retained for provenance, not current authority.",APPROVED
ARCHIVE,archive/legacy/janus_n13_claim_figure_revision/Janus_MoSSe_ThermalStationary_Manuscript_v3.txt,janus_n13_claim_figure_revision/Janus_MoSSe_ThermalStationary_Manuscript_v3.txt,529b26a9062794be4cddcd60677bcf70fde37ab22ee64189019fdcbfeb3cd6ff,56958,LEGACY,OK,"Superseded draft/config/output retained for provenance, not current authority.",APPROVED
ARCHIVE,archive/legacy/janus_n13_claim_figure_revision/Janus_MoSSe_ThermalStationary_SI_v3.docx,janus_n13_claim_figure_revision/Janus_MoSSe_ThermalStationary_SI_v3.docx,87a2d23e4d275be3c6dfa6835bf038f58aa1a73ddc7656b3f3a669f0b9108e6b,50314,LEGACY,OK,"Superseded draft/config/output retained for provenance, not current authority.",APPROVED
ARCHIVE,archive/legacy/janus_n13_claim_figure_revision/Janus_MoSSe_ThermalStationary_SI_v3.txt,janus_n13_claim_figure_revision/Janus_MoSSe_ThermalStationary_SI_v3.txt,1eba1396b262e2d086daa14009b7b5343fa5dc2cd7255b6557df620604b0a12a,23070,LEGACY,OK,"Superseded draft/config/output retained for provenance, not current authority.",APPROVED
ARCHIVE,archive/legacy/janus_n15_targeted_revision/Janus_MoSSe_RedTeamScoped_Manuscript_v4.docx,janus_n15_targeted_revision/Janus_MoSSe_RedTeamScoped_Manuscript_v4.docx,2dc340174c4373977c21ff074b06246b7e3ed503519d9c04c77a09c6c61b2e7d,3854414,LEGACY,OK,"Superseded draft/config/output retained for provenance, not current authority.",APPROVED
ARCHIVE,archive/legacy/janus_n15_targeted_revision/Janus_MoSSe_RedTeamScoped_Manuscript_v4.txt,janus_n15_targeted_revision/Janus_MoSSe_RedTeamScoped_Manuscript_v4.txt,161ab285fe1d4694d5fd7775c6aeaea5c584d8b9771c89b1e2a14f89e0c793ee,55678,LEGACY,OK,"Superseded draft/config/output retained for provenance, not current authority.",APPROVED
ARCHIVE,archive/legacy/janus_n15_targeted_revision/Janus_MoSSe_RedTeamScoped_SI_v4.txt,janus_n15_targeted_revision/Janus_MoSSe_RedTeamScoped_SI_v4.txt,a37f499080ae21bc7ad67a7ba48d0bccbaa61bf70d6b2feedcf1014e5bc6d23a,17376,LEGACY,OK,"Superseded draft/config/output retained for provenance, not current authority.",APPROVED
ARCHIVE,archive/legacy/janus_n17_upstream_strengthening/Janus_MoSSe_UpstreamStrengthened_Manuscript_v5.docx,janus_n17_upstream_strengthening/Janus_MoSSe_UpstreamStrengthened_Manuscript_v5.docx,b2eda969a904d7bdd5de6a38a8e0b15ac353ec29d14a7bcaadfd35f43e1fcfa4,3855279,LEGACY,OK,"Superseded draft/config/output retained for provenance, not current authority.",APPROVED
ARCHIVE,archive/legacy/janus_n17_upstream_strengthening/Janus_MoSSe_UpstreamStrengthened_SI_v5.docx,janus_n17_upstream_strengthening/Janus_MoSSe_UpstreamStrengthened_SI_v5.docx,c53f80385e83bd6a3b14e1af5761dad35c7859d826658632d5588c6eaf460ce6,51680,LEGACY,OK,"Superseded draft/config/output retained for provenance, not current authority.",APPROVED
ARCHIVE,archive/legacy/janus_n8_gate/workflow/Janus_MoSSe_WorkflowValidated_Draft.docx,janus_n8_gate/workflow/Janus_MoSSe_WorkflowValidated_Draft.docx,345bfde3681f8a59300ffa5834f13037f1a12eecd9d53aaee74bd5184624a361,3460990,LEGACY,OK,"Superseded draft/config/output retained for provenance, not current authority.",APPROVED
ARCHIVE,archive/legacy/janus_n8_gate/workflow/Janus_MoSSe_WorkflowValidated_SI_Draft.docx,janus_n8_gate/workflow/Janus_MoSSe_WorkflowValidated_SI_Draft.docx,b1a0a2d7501a1e5295d6f185e7226200ef29e22896d2027bdcd9a0754b8ad45c,47853,LEGACY,OK,"Superseded draft/config/output retained for provenance, not current authority.",APPROVED
ARCHIVE,figures/publication/Janus_MoSSe_PublicationFigure_Manuscript_v6.docx,janus_n18_publication_figures/Janus_MoSSe_PublicationFigure_Manuscript_v6.docx,c8814c775ee82dc3bbe1ba5cac194360ae93c798bb82a6ba36324da46cb629ee,4353851,LEGACY,OK,"Superseded draft/config/output retained for provenance, not current authority.",APPROVED
