eta,Fp,Fm,Delta,rp,rm
0.024999999999999134,1.515101322988857,0.17358387931431082,1.3415174436745463,2.4822143818310678e-15,7.856918063038772e-05
0.049999999999999156,1.4768011196532158,0.12297980287000375,1.353821316783212,2.8605931573091608e-15,5.504074374816829e-15
0.07499999999999918,1.4386968831173919,0.1041338285788873,1.3345630545385045,1.6394349830280497e-15,1.7798162035147608e-15
0.0999999999999992,1.4007944457217174,0.10416598674895595,1.2966284589727615,4.8282638668885505e-15,5.519740734894522e-15
0.12499999999999922,1.3630997542417527,0.1107314966450918,1.2523682575966608,2.5839791654477413e-15,1.7515214130410933e-14
0.14999999999999925,1.3256188043899264,0.1203203852565297,1.2052984191333966,8.424116562487721e-16,8.785994101834187e-15
0.17499999999999927,1.2883576075377192,0.13153985765402945,1.1568177498836898,5.0731720177051e-15,1.313468519565836e-14
0.1999999999999993,1.2513221643680925,0.14371482000310518,1.1076073443649874,3.600028913351737e-15,2.367674011025989e-14
0.2249999999999993,1.2145184397016782,0.15645135462789247,1.0580670850737857,1.606904948541926e-15,6.022166546355666e-15
0.24999999999999933,1.1779523368735578,0.1673134312209813,1.0106389056525766,2.489716500189261e-15,5.487596199102595e-05
0.27499999999999936,1.1416296711993887,0.1797760464074757,0.961853624791913,1.7745310384413575e-15,1.4263280082360206e-14
0.2999999999999994,1.1055561424798594,0.19325168814375118,0.9123044543361083,1.9154515971226027e-15,2.3704255858908784e-14
0.3249999999999994,0.1957667439414168,1.0939004416464677,-0.8981336977050509,4.037880995308992e-05,1.649563762996262e-14
0.3499999999999994,0.33443096439264663,1.0792186829406383,-0.7447877185479916,1.770149918149667e-14,1.6044686635813072e-14
0.37499999999999944,0.46638001009816865,1.0663650999141732,-0.5999850898160045,4.00454136179935e-15,1.2547193021982529e-14
0.39999999999999947,0.5941633396759565,1.0553258661709881,-0.46116252649503164,3.379666695535802e-14,5.545391217745098e-14
0.4249999999999995,0.718003276763987,1.0460841279834763,-0.32808085121948927,1.2805503767789488e-14,9.212785594956271e-16
0.4499999999999995,0.838332492061117,1.0386201364006795,-0.20028764433956248,6.955638246883582e-14,1.2835893910503444e-14
0.47499999999999953,0.9555591447156426,1.032911392361066,-0.07735224764542337,3.42460635148493e-14,2.7485205845074373e-14
0.49999999999999956,1.0700450636419025,1.0289328029719256,0.041112260669976974,3.5702797677052024e-14,2.1494556257600697e-14
0.5249999999999996,1.1821056770674627,1.0266568471992303,0.15544882986823239,2.062880676351689e-14,1.5072262801327207e-14
0.5499999999999996,1.2920145266970318,1.0260537492991466,0.26596077739788515,2.7111946633825627e-14,3.2539576344620637e-15
0.5749999999999996,1.400008615720657,1.0270916584110135,0.3729169573096436,7.263481034372118e-14,3.7534526573116514e-14
0.5999999999999996,1.5062935135360531,1.0297368328164056,0.4765566807196475,7.83563043164746e-15,4.34406880554355e-14
0.6249999999999997,1.6110479015978971,1.0339538274469158,0.5770940741509814,3.5381036189332896e-14,2.1569505997551316e-14
0.6499999999999997,1.7144275033931549,1.0397056832922296,0.6747218201009253,1.2258329492045604e-14,6.090544812393856e-14
0.6749999999999997,1.816568434384906,1.0469541174196806,0.7696143169652254,5.012447117976429e-15,1.7981386179206686e-14
0.6999999999999997,1.9175900382892719,1.0556597123675384,0.8619303259217335,5.996244531069783e-14,3.723598081560611e-14
0.7249999999999998,2.0175972816345262,1.0657821037189452,0.951815177915581,9.919712137811487e-14,2.574549033202582e-14
0.7499999999999998,2.116682774222115,1.0772801647046064,1.0394026095175084,1.213206769097145e-13,1.6162282127838472e-14
0.7749999999999998,2.2149284752863165,1.0901121867233292,1.1248162885629873,1.3714817453421137e-13,7.184300549413029e-14
0.7999999999999998,2.312407136627022,1.1042360547140098,1.2081710819130123,1.0858809263591225e-13,8.037742111887216e-14
0.8249999999999998,2.409183525948993,1.1196094163640382,1.2895741095849547,1.7191344107514613e-13,4.952732438792473e-14
0.8499999999999999,2.50531546652114,1.136189844200081,1.3691256223210588,1.5614201142248497e-14,5.4753394024205365e-14
0.8749999999999999,2.600854723169583,1.153934989680197,1.446919733489386,1.9545553942272388e-14,6.503058316748633e-14
0.8999999999999999,2.6958477594903236,1.1728027284921332,1.5230450309981904,2.2328879383133155e-13,4.1723961192152006e-14
0.9249999999999999,2.790336386901325,1.1927512963619515,1.5975850905393736,5.922070465610984e-14,2.8417717466636404e-14
0.95,2.884358322628209,1.213739414788753,1.6706189078394558,2.1857076461331705e-13,8.132819684933343e-15
0.975,2.9779476708122403,1.235726406243479,1.7422212645687614,9.901504153755956e-14,6.6136750354828814e-15
1.0,3.071135338539261,1.2586722984999552,1.8124630400393058,6.124782692414073e-14,1.8773098977509903e-14
