i,u,v,Fp05,Fm05,D05,Fp0glob,Fm0glob,D0glob
0,0.6666666665854454,0.6666666661431481,2.4285041887713,0.9332838454922954,1.4952203432790048,1.7676994204849632,1.7676994208021564,-3.171931606260614e-10
1,0.6666666662093604,0.16666666756617626,2.4285042106140553,0.9332838425294917,1.4952203680845635,1.7677019386005999,1.767701967630093,-2.9029493031629272e-08
2,0.1666666660703234,0.166666666801353,2.4285041770421376,0.9332838441237008,1.4952203329184368,1.7676984735369308,1.7676984747291749,-1.1922440812384139e-09
3,0.16666666606437158,0.6666666665766801,2.4285041694129155,0.9332838445918262,1.4952203248210894,1.7676979349252473,1.7676979349252133,3.397282455352979e-14
