label,gauge,min_id,U,Fp,Fm,Delta
Amin_center,25,0,-0.4055659687489803,0.643470156019354,1.7677014451787416,-1.1242312891593875
Amin_center,25,1,-0.4055659687489802,1.7677014491940688,0.6434701560193536,1.1242312931747152
min_slope_tested,6,0,-0.39498684220790453,0.8560959613399047,0.5038075850004393,0.3522883763394654
min_slope_tested,6,1,-0.39498684220790437,0.5038075850004379,0.856095961339906,-0.3522883763394681
max_slope_tested,7,0,-0.39498684220790475,1.8591644925132407,0.24236004383139545,1.6168044486818451
max_slope_tested,7,1,-0.39498684220790464,0.24236004383139614,1.8591644925132411,-1.616804448681845
