label,gauge_index,u,v,eta,Fp,Fm,Delta,rho,fold_res
Amin_center,25,0.6666666667,0.1666666667,0.0,,,0.0,0.0,
Amin_center,25,0.6666666667,0.1666666667,0.025,1.7995863617928425,0.6569536285391604,1.142632733253682,0.4651390727407839,4.1822891201681374e-14
Amin_center,25,0.6666666667,0.1666666667,0.05,1.8320532130910314,0.6705511362242865,1.161502076866745,0.4641173412747076,7.259912609116717e-14
Amin_center,25,0.6666666667,0.1666666667,0.075,1.8647132452674784,0.6842613574431934,1.180451887824285,0.4631085325718623,3.583831430767205e-14
Amin_center,25,0.6666666667,0.1666666667,0.1,1.8975093915377266,0.6980829645530586,1.199426426984668,0.4621012325645468,4.249538332907007e-14
Amin_center,25,0.6666666667,0.1666666667,0.125,1.9304135326414298,0.7120146248002662,1.2183989078411637,0.46109064665007726,8.438652780722156e-14
Amin_center,25,0.6666666667,0.1666666667,0.15,1.9634069499163345,0.726055001207006,1.2373519487093285,0.46007416025815445,1.2454987705039074e-13
Amin_center,25,0.6666666667,0.1666666667,0.175,1.996475086067957,0.7402027534428072,1.2562723326251497,0.45905013534575684,4.4738626046909275e-14
Amin_center,25,0.6666666667,0.1666666667,0.2,2.02960556833112,0.7544565386799187,1.2751490296512014,0.4580174509900563,7.840373116949982e-14
Amin_center,25,0.6666666667,0.1666666667,0.225,2.0627873080398422,0.7688150124314963,1.293972295608346,0.4569752914289729,8.127743679024033e-14
Amin_center,25,0.6666666667,0.1666666667,0.25,2.096010037339813,0.7832768293716558,1.3127332079681575,0.4559230353686413,1.43830297800164e-13
Amin_center,25,0.6666666667,0.1666666667,0.275,2.129264049579271,0.7978406441365005,1.3314234054427705,0.4548601928387515,1.365958356688511e-13
Amin_center,25,0.6666666667,0.1666666667,0.3,2.162540044458464,0.8125051121053147,1.3500349323531493,0.4537863666958453,7.847873466087696e-14
Amin_center,25,0.6666666667,0.1666666667,0.325,2.1958290312491093,0.8272688901611926,1.3685601410879167,0.45270122790116946,1.1611935137672037e-13
Amin_center,25,0.6666666667,0.1666666667,0.35,2.229122266150958,0.8421306374304365,1.3869916287205215,0.45160449896625177,7.258554317287746e-14
Amin_center,25,0.6666666667,0.1666666667,0.375,2.2624112106869187,0.8570890160001332,1.4053221946867855,0.4504959424796245,1.4017393973721849e-13
Amin_center,25,0.6666666667,0.1666666667,0.4,2.2956875035750564,0.872142691613395,1.4235448119616614,0.44937535292259434,5.1804633617294415e-14
Amin_center,25,0.6666666667,0.1666666667,0.425,2.3289429415134504,0.8872903343418118,1.4416526071716387,0.44824255068633784,2.1468877190620927e-13
Amin_center,25,0.6666666667,0.1666666667,0.45,2.3621694660174013,0.9025306192347367,1.4596388467826646,0.44709737760488166,4.967331654738833e-14
Amin_center,25,0.6666666667,0.1666666667,0.475,2.39535915445767,0.9178622269451023,1.4774969275125676,0.4459396935580006,7.880425161390328e-14
Amin_center,25,0.6666666667,0.1666666667,0.5,2.428504214067008,0.9332838443315145,1.4952203697354935,0.44476937384559034,4.4425691070574866e-14
Amin_center,25,0.6666666667,0.1666666667,0.525,2.461596978073617,0.94879416503644,1.512802813037177,0.4435863071288645,5.7759939861154e-14
Amin_center,25,0.6666666667,0.1666666667,0.55,2.494629903375004,0.9643918900403854,1.5302380133346185,0.44239039379502815,2.61271074605135e-14
Amin_center,25,0.6666666667,0.1666666667,0.575,2.527595569334758,0.9800757281919908,1.5475198411427669,0.44118154464299997,9.08137210381089e-14
Amin_center,25,0.6666666667,0.1666666667,0.6,2.56048667740041,0.9958443967140458,1.5646422806863642,0.43995967981579664,1.053123898215488e-13
Amin_center,25,0.6666666667,0.1666666667,0.625,2.5932960513203107,1.011696621685481,1.5815994296348297,0.43872472792465195,1.6618072000586726e-13
Amin_center,25,0.6666666667,0.1666666667,0.65,2.626016637794008,1.0276311384994379,1.5983854992945703,0.4374766253237747,9.47123568217207e-14
Amin_center,25,0.6666666667,0.1666666667,0.675,2.6586415074311955,1.0436466922975711,1.6149948151336244,0.4362153155045954,5.938482140140124e-14
Amin_center,25,0.6666666667,0.1666666667,0.7,2.6911638559240068,1.0597420383807925,1.6314218175432142,0.43494074858563875,4.428838444195133e-14
Amin_center,25,0.6666666667,0.1666666667,0.725,2.723577005358844,1.0759159425966862,1.647661062762158,0.4336528808794732,1.0566687326888388e-13
Amin_center,25,0.6666666667,0.1666666667,0.75,2.7558744056108244,1.0921671817039087,1.6637072239069157,0.4323516745222848,1.5445503789872023e-13
Amin_center,25,0.6666666667,0.1666666667,0.775,2.7880496357759132,1.1084945437138631,1.6795550920620501,0.4310370971546319,1.2098613802836547e-13
Amin_center,25,0.6666666667,0.1666666667,0.8,2.8200964056055144,1.1248968282100458,1.6951995773954687,0.429709121644269,3.6919092412914014e-14
Amin_center,25,0.6666666667,0.1666666667,0.825,2.852008556915654,1.1413728466454343,1.7106357102702199,0.4283677258437585,9.432321431552972e-14
Amin_center,25,0.6666666667,0.1666666667,0.85,2.883780064948603,1.1579214226183343,1.7258586423302689,0.4270128923769721,3.614252734895295e-14
Amin_center,25,0.6666666667,0.1666666667,0.875,2.9154050396693845,1.1745413921271755,1.740863647542209,0.42564460844967916,7.977572999450309e-14
Amin_center,25,0.6666666667,0.1666666667,0.9,2.946877726983419,1.1912316038046808,1.7556461231787381,0.424262865680346,1.914811568892082e-13
Amin_center,25,0.6666666667,0.1666666667,0.925,2.9781925098641615,1.2079909191319396,1.770201590732222,0.4228676599478916,4.020516824657283e-14
Amin_center,25,0.6666666667,0.1666666667,0.95,3.009343909382509,1.2248182126328953,1.784525696749614,0.4214589912537887,7.558058122382192e-15
Amin_center,25,0.6666666667,0.1666666667,0.975,3.0403265856311608,1.241712372049762,1.7986142135813987,0.4200368635962846,8.491702323628357e-14
Amin_center,25,0.6666666667,0.1666666667,1.0,3.0711353385392557,1.258672298499954,1.8124630400393016,0.41860128485493003,9.791652892325561e-14
max_slope_tested,7,0.125,0.25,0.0,,,0.0,0.0,
max_slope_tested,7,0.125,0.25,0.025,1.8900030495013955,0.26151066140523127,1.6284923880961641,0.7569054195847692,1.4258820860882325e-13
max_slope_tested,7,0.125,0.25,0.05,1.9208232383543795,0.28126311813709975,1.6395601202172798,0.744548512089028,3.066500071992202e-14
max_slope_tested,7,0.125,0.25,0.075,1.9516242706759792,0.30158551689998203,1.650038753775997,0.7323058699967457,4.6976294936384114e-14
max_slope_tested,7,0.125,0.25,0.1,1.982405367693357,0.3224467648449365,1.6599586028484206,0.7202017775519235,2.803068739213289e-13
max_slope_tested,7,0.125,0.25,0.125,2.0131657593819945,0.3438166998583502,1.6693490595236442,0.7082568870969347,1.7886224921603116e-13
max_slope_tested,7,0.125,0.25,0.15,2.043904683699876,0.3656661932473846,1.6782384904524916,0.6964885351613683,1.9484300602086148e-13
max_slope_tested,7,0.125,0.25,0.175,2.074621385914227,0.3879672298840371,1.6866541560301898,0.6849110505952086,1.8543080441182488e-13
max_slope_tested,7,0.125,0.25,0.2,2.105315118007468,0.4106929673674849,1.694622150639983,0.6735360512116315,6.024791907469331e-14
max_slope_tested,7,0.125,0.25,0.225,2.1359851381508683,0.43381777600022753,1.7021673621506408,0.6623727262419,1.3976323769155363e-13
max_slope_tested,7,0.125,0.25,0.25,2.1666307102368325,0.4573172615233148,1.7093134487135178,0.6514281026566653,6.700111235467852e-14
max_slope_tested,7,0.125,0.25,0.275,2.197251103461408,0.4811682726292207,1.7160828308321872,0.6407072940672008,2.2258364736857993e-13
max_slope_tested,7,0.125,0.25,0.3,2.22784559195103,0.5053488952780989,1.722496696672931,0.6302137314857429,1.0200077570050225e-13
max_slope_tested,7,0.125,0.25,0.325,2.2584134544271923,0.5298384357956915,1.728575018631501,0.6199493756976614,4.442757889527266e-14
max_slope_tested,7,0.125,0.25,0.35,2.288953973904748,0.554617394640057,1.7343365792646912,0.60991491138562,8.440920286395671e-14
max_slope_tested,7,0.125,0.25,0.375,2.3194664374194867,0.5796674326005482,1.7397990048189385,0.6001099234534194,2.2723246324084501e-13
max_slope_tested,7,0.125,0.25,0.4,2.3499501357815955,0.604971331045893,1.7449788047357027,0.5905330562335301,8.521560883520186e-14
max_slope_tested,7,0.125,0.25,0.425,2.3804043633518734,0.630512947677891,1.7498914156739824,0.5811821564357413,9.277488122681681e-14
max_slope_tested,7,0.125,0.25,0.45,2.4108284178382102,0.6562771690805962,1.754551248757614,0.5720544008138384,1.768598857218937e-13
max_slope_tested,7,0.125,0.25,0.475,2.441221600110065,0.6822498611884109,1.758971738921654,0.5631464096010732,4.247031306790507e-14
max_slope_tested,7,0.125,0.25,0.5,2.471583214028814,0.7084178186351173,1.7631653953936968,0.5544543468014752,6.999503449421074e-14
max_slope_tested,7,0.125,0.25,0.525,2.5019125662924804,0.7347687137933391,1.7671438524991414,0.545974008430106,1.5179337005889665e-13
max_slope_tested,7,0.125,0.25,0.55,2.532208966293246,0.7612910461727881,1.770917920120458,0.5377008997775801,1.9717187735681516e-13
