eta,Fp,Fm,Delta,nmin
0.0,1.5535920437121051,1.553592043712105,2.220446049250313e-16,1
0.025,1.5151013229888555,1.5922723075923975,-0.07717098460354199,1
0.05,1.4768011196532143,1.6042060898026784,-0.12740497014946417,1
0.075,1.4386968831173899,1.49928532560854,-0.06058844249115025,1
0.1,1.4007944457217154,0.10416598674876132,1.296628458972954,1
0.2,1.251322164368091,0.14371482000310723,1.1076073443649836,1
0.5,1.0700450636419057,1.028932802971925,0.04111226066998075,2
1.0,3.071135338539261,1.2586722984999548,1.8124630400393063,2
