label,u,v,eta,Fp_plus,Fm_plus,Fp_minus,Fm_minus,swap_plus,swap_minus,delta_antisym
min_slope_tested,0.125,0.125,0.1,0.6749105511976593,0.9087544858910771,0.908754485891078,0.6749105511976614,8.881784197001252e-16,2.1094237467877974e-15,1.2212453270876722e-15
min_slope_tested,0.125,0.125,0.5,1.5275961447790378,1.090086556951205,1.0900865569512048,1.5275961447790396,2.220446049250313e-16,1.7763568394002505e-15,1.9984014443252818e-15
min_slope_tested,0.125,0.125,1.0,3.071135338539262,1.2586722984999545,1.2586722984999548,3.0711353385392597,2.220446049250313e-16,2.220446049250313e-15,2.4424906541753444e-15
max_slope_tested,0.125,0.25,0.1,1.9824053676933524,0.3224467648449364,0.32244676484493734,1.9824053676933486,9.43689570931383e-16,3.774758283725532e-15,4.884981308350689e-15
max_slope_tested,0.125,0.25,0.5,2.4715832140288,0.7084178186351173,0.7084178186351179,2.471583214028806,5.551115123125783e-16,6.217248937900877e-15,5.773159728050814e-15
max_slope_tested,0.125,0.25,1.0,3.07113533853926,1.2586722984999543,1.2586722984999554,3.0711353385392584,1.1102230246251565e-15,1.7763568394002505e-15,2.886579864025407e-15
published_origin,0.0,0.0,0.1,2.543296267697903,2.260006442314958,2.2600064423149573,2.5432962676979036,8.881784197001252e-16,4.440892098500626e-16,1.3322676295501878e-15
published_origin,0.0,0.0,0.5,3.139363787348592,1.7485443346981089,1.7485443346981098,3.139363787348592,8.881784197001252e-16,0.0,8.881784197001252e-16
published_origin,0.0,0.0,1.0,3.0711353385392592,1.2586722984999545,0.6116972722313164,3.071135338539259,0.6469750262686381,4.440892098500626e-16,0.6469750262686376
