label,gauge_index,u,v,odd_fraction,slope,slope_R2,eta_opt_grid,Delta_opt,Delta_eta1
published_origin,0,0.0,0.0,0.5539814185805109,2.8333821279014964,0.9999997641051801,0.925,1.8196244905457244,1.8124630400393045
Amin_center,25,0.6666666667,0.1666666667,0.04253608528083293,15.739597677864932,-468.6486422702273,1.0,1.8124630400393016,1.8124630400393016
min_slope_tested,6,0.125,0.125,0.15067535452082606,-3.5329090062256583,-17.30929189673731,1.0,1.8124630400393107,1.8124630400393107
max_slope_tested,7,0.125,0.25,0.15067535452082598,21.99675106833653,-3171.7095046868762,1.0,1.8124630400393047,1.8124630400393047
near_zero_slope_tested,16,0.375,0.125,0.5179922103213959,-0.11822302442368392,0.9900861707283685,1.0,1.8124630400393127,1.8124630400393127
