gauge,u,v,is_amin_center,origin_fixed_odd_fraction,origin_fixed_odd_rms,slope_fd_005,Fp_eta1,Fm_eta1,Delta_eta1,rho_eta1,fold_res
0,0.0,0.0,False,0.5539814185805109,0.7442992802498944,2.8342808524126806,3.0711353385392592,1.2586722984999545,1.8124630400393047,0.4186012848549303,1.4625008422383777e-13
1,0.0,0.125,False,0.5179966820661479,0.7197198636039913,-0.10999664286430288,3.071135338539256,1.258672298499955,1.8124630400393011,0.41860128485492976,9.02235028435246e-14
2,0.0,0.25,False,0.48211160640354617,0.6943425713605254,8.360296629839823,3.071135338539257,1.2586722984999543,1.8124630400393027,0.4186012848549301,1.2575125146507738e-13
3,0.0,0.375,False,0.5179922103213961,0.7197167570102811,2.4810045246459933,3.0711353385392544,1.2586722984999554,1.812463040039299,0.4186012848549294,2.529001918799507e-13
4,0.0,0.5,False,0.5539814185805109,0.7442992802498944,2.834280852412676,3.071135338539259,1.2586722984999548,1.812463040039304,0.41860128485493026,1.0805324063647074e-13
5,0.125,0.0,False,0.517992210321396,0.719716757010281,-0.11032188581304725,3.071135338539262,1.2586722984999545,1.8124630400393074,0.41860128485493064,1.3042767313776868e-13
6,0.125,0.125,False,0.15067535452082606,0.388169234382152,-5.922085917288019,3.071135338539262,1.2586722984999545,1.8124630400393074,0.41860128485493064,4.070613373845638e-13
7,0.125,0.25,False,0.15067535452082598,0.3881692343821519,32.79120240434546,3.07113533853926,1.2586722984999543,1.8124630400393058,0.4186012848549305,1.8571111522908734e-14
8,0.125,0.375,False,0.5179966820661478,0.7197198636039913,2.4798292391464383,3.0711353385392615,1.258672298499955,1.8124630400393065,0.4186012848549305,4.9270618055698967e-14
9,0.125,0.5,False,0.5179922103213961,0.7197167570102811,-0.11032188581305391,3.0711353385392584,1.2586722984999548,1.8124630400393036,0.41860128485493014,4.9374560394085425e-14
10,0.25,0.0,False,0.48211160640354617,0.6943425713605254,20.835578195578577,3.0711353385392584,1.258672298499955,1.8124630400393034,0.4186012848549301,9.850863839194745e-14
11,0.25,0.125,False,0.150675354520826,0.38816923438215195,-5.900470083209193,3.071135338539262,1.2586722984999554,1.8124630400393065,0.41860128485493037,1.9940175486821828e-13
12,0.25,0.25,False,0.4821116064035461,0.6943425713605252,8.382319012070663,3.071135338539257,1.2586722984999543,1.8124630400393027,0.4186012848549301,1.6161736092810863e-13
13,0.25,0.375,False,0.8132303404945801,0.901792847883914,-0.2890834631059741,3.0711353385392632,1.258672298499955,1.8124630400393082,0.4186012848549307,2.310121166300092e-13
14,0.25,0.5,False,0.4821116064035462,0.6943425713605254,20.835578195578588,3.071135338539262,1.2586722984999548,1.8124630400393071,0.4186012848549306,5.4726636630378336e-14
15,0.375,0.0,False,0.5179966820661478,0.7197198636039913,-0.11126338430150318,3.071135338539259,1.2586722984999548,1.812463040039304,0.41860128485493026,8.802532531999169e-14
16,0.375,0.125,False,0.5179922103213959,0.719716757010281,-0.10984909359180506,3.0711353385392575,1.2586722984999545,1.812463040039303,0.4186012848549301,3.0529556443039184e-13
17,0.375,0.25,False,0.8132303404945801,0.901792847883914,-2.548099402989279,3.071135338539261,1.2586722984999548,1.8124630400393063,0.4186012848549305,6.124782692414073e-14
18,0.375,0.375,False,0.8132303404945801,0.901792847883914,-0.2895233225639937,3.071135338539264,1.258672298499955,1.8124630400393091,0.4186012848549308,6.981657045439269e-14
19,0.375,0.5,False,0.5179966820661479,0.7197198636039913,-0.11126338430150096,3.071135338539258,1.2586722984999554,1.8124630400393025,0.41860128485492987,8.715177377631104e-14
20,0.5,0.0,False,0.5539814185805109,0.7442992802498944,2.8342808524126806,3.0711353385392557,1.2586722984999548,1.812463040039301,0.41860128485492976,2.6567585964261657e-14
21,0.5,0.125,False,0.517996682066148,0.7197198636039914,-0.10999664286430288,3.0711353385392575,1.2586722984999545,1.812463040039303,0.4186012848549301,1.8327249357661992e-13
22,0.5,0.25,False,0.4821116064035462,0.6943425713605254,8.360296629839818,3.071135338539262,1.2586722984999554,1.8124630400393065,0.41860128485493037,1.7474677089708168e-14
23,0.5,0.375,False,0.5179922103213962,0.7197167570102813,2.4810045246460533,3.071135338539258,1.258672298499955,1.812463040039303,0.41860128485493,7.595611860485357e-14
24,0.5,0.5,False,0.5539814185805109,0.7442992802498944,2.834280852412685,3.071135338539256,1.258672298499955,1.8124630400393011,0.41860128485492976,1.0735494647695386e-13
25,0.6666666667,0.1666666667,True,0.04253608528083293,0.20624278237270008,23.230041537334778,3.0711353385392557,1.258672298499954,1.8124630400393016,0.41860128485493003,9.791652892325561e-14
