T,seed,burn,measure,mean_u,mean_v,norm,se_u,se_v,T2,crit,exclude0
0.6,2026091900,60,100,0.043273052107125995,-0.10393003135574314,0.11257889880555678,0.015848346267742806,0.01588923144580955,43.17904346746376,6.039755055454466,True
0.6,2026091900,100,60,0.07517711073256499,-0.11696902217817905,0.13904441782184454,0.021376907472362466,0.020489574958941163,33.295835174784465,6.039755055454466,True
0.6,2026101900,60,100,0.058960178210315496,-0.11046476655098537,0.12521488435388128,0.01654373786727571,0.01650329342628609,44.812300876446464,6.039755055454466,True
0.6,2026101900,100,60,0.06089038633375961,-0.11164429007815138,0.1271695193626559,0.021053391703473198,0.021362331094051033,27.318055769933824,6.039755055454466,True
0.6,pooled,60,100,0.051116615158720846,-0.10719739895336416,0.11876106553770681,0.011451924331398071,0.011449276872805201,87.92701888606186,6.015506913325657,True
0.65,2026091900,60,100,0.02760210061142536,-0.0751782127309871,0.08008520230097942,0.016542798144794566,0.01608806249808395,22.455420304022507,6.039755055454466,True
0.65,2026091900,100,60,0.058101779421758024,-0.07879417509612031,0.0978996363683374,0.022227494072110283,0.021865282588558622,13.732467705175633,6.039755055454466,True
0.65,2026101900,60,100,0.05685074439683314,-0.09861766358816972,0.11383079860065759,0.017185862967654838,0.017303889654456922,32.69614012164808,6.039755055454466,True
0.65,2026101900,100,60,0.06197802459260319,-0.09739685405831454,0.11544445726347344,0.02259302381336696,0.02259912869680509,18.831476918572008,6.039755055454466,True
0.65,pooled,60,100,0.042226422504129266,-0.08689793815957843,0.09661429715048984,0.011930054570926848,0.011813567420225986,54.15680922900188,6.015506913325657,True
0.7,2026091900,60,100,0.022898486111329986,-0.06579703218664855,0.06966771211085977,0.017486948491841948,0.017147713159116496,15.19485185163001,6.039755055454466,True
0.7,2026091900,100,60,0.05664486482278281,-0.07583349572503316,0.09465389471474461,0.023327103777988144,0.02241428432775064,12.166926321078224,6.039755055454466,True
0.7,2026101900,60,100,0.051096821632768644,-0.0870980282313357,0.10097995693580743,0.01768632268067461,0.017901383615669276,24.054264653595858,6.039755055454466,True
0.7,2026101900,100,60,0.05538179778237323,-0.08715462374602316,0.10326215166225496,0.023030031892958183,0.02331354656758843,14.333791587334368,6.039755055454466,True
0.7,pooled,60,100,0.036997653872049265,-0.0764475302089921,0.08492968425168389,0.012437605285920288,0.012392968468461673,38.05477828998939,6.015506913325657,True
