T,start,mean_u,mean_v,norm,se_u,se_v,T2,crit,exclude0
0.6,orbit,0.0591711278582599,-0.10734425829440336,0.1225724771749112,0.02250903261402629,0.020937288633685946,26.448826441410326,6.0724102602313454,True
0.6,ground,0.05917112785826015,-0.10734425829440336,0.12257247717491132,0.022509032614026286,0.020937288633685946,26.44882644141032,6.0724102602313454,True
0.6,meta,0.05917112785825988,-0.10734425829440347,0.12257247717491128,0.022509032614026276,0.020937288633685925,26.448826441410443,6.0724102602313454,True
0.65,orbit,0.03824163332550205,-0.08541336013486772,0.09358346333049852,0.023027938953735522,0.022582580854598504,14.568020725758366,6.0724102602313454,True
0.65,ground,0.038241633325501935,-0.08541336013486814,0.09358346333049884,0.023027938953735533,0.02258258085459849,14.568020725758544,6.0724102602313454,True
0.65,meta,0.038241633325502254,-0.08541336013486811,0.09358346333049895,0.023027938953735536,0.02258258085459849,14.568020725758519,6.0724102602313454,True
0.7,orbit,0.03208211129726355,-0.06045377652736743,0.06843917709697339,0.024153613692811927,0.023208242607651353,6.7997372109345005,6.0724102602313454,True
0.7,ground,0.032082111297263856,-0.06045377652736754,0.06843917709697363,0.02415361369281192,0.02320824260765133,6.799737210934535,6.0724102602313454,True
0.7,meta,0.03208211129726354,-0.060453776527367456,0.0684391770969734,0.024153613692811916,0.023208242607651343,6.799737210934512,6.0724102602313454,True
