T,start_a,start_b,delta_u,delta_v,delta_norm,se_du,se_dv,T2,crit,difference_detected
0.6,orbit,ground,2.5703019402165246e-16,4.280791577696933e-17,2.6057060135782087e-16,1.9834991594445938e-16,1.7924044200625684e-16,2.6055648043584108,6.0724102602313454,False
0.6,orbit,meta,1.1492543028346347e-17,-8.499566791127696e-17,8.576912095237113e-17,1.5108613020961007e-16,1.6475574757402815e-16,0.30209554006186173,6.0724102602313454,False
0.6,ground,meta,-2.455376509933061e-16,-1.278035836882463e-16,2.768076842482325e-16,2.21197741639374e-16,2.0112012660819822e-16,3.0461370356604043,6.0724102602313454,False
0.65,orbit,ground,-1.1082100225915751e-16,-2.986008431256811e-16,3.1850236742776624e-16,2.1963653804794701e-16,2.6392375959889763e-16,2.653750145021944,6.0724102602313454,False
0.65,orbit,meta,2.0178050492055306e-16,-3.0718049631728303e-16,3.675258215196936e-16,1.8720944137490593e-16,1.8698213678629254e-16,2.747221044596363,6.0724102602313454,False
0.65,ground,meta,3.1260150717971056e-16,-8.579653191601959e-18,3.127192234895623e-16,2.4040615504048503e-16,2.4456129014907927e-16,2.0909977567264004,6.0724102602313454,False
0.7,orbit,ground,2.6977768977087815e-16,-1.268603277981839e-16,2.981166628472398e-16,2.05154548956066e-16,2.1848498752891995e-16,1.7307871901315812,6.0724102602313454,False
0.7,orbit,meta,-2.6622222944657398e-17,-7.545035198471457e-17,8.000936425901887e-17,1.6631370614415457e-16,1.9203024237944728e-16,0.42612942795275005,6.0724102602313454,False
0.7,ground,meta,-2.9639991271553554e-16,5.140997581346933e-17,3.008253544349588e-16,2.023304420665732e-16,2.185992985442722e-16,2.3194742424218076,6.0724102602313454,False
