T,dt,N,burn,measure,mean_u,mean_v,se_u,se_v,T2,crit,zero_excluded,sec
0.65,0.04,300,60,60,0.05617158900633922,-0.08533657122026739,0.027170183612381854,0.0301137664181543,8.504618157609757,6.0724102602313454,True,4.587250232696533
0.65,0.02,300,60,60,0.03556706753582378,-0.0702212778858473,0.02855315524166436,0.0281252539213266,6.243133449257958,6.0724102602313454,True,8.662919759750366
0.65,0.01,300,60,60,0.04792324842273626,-0.1098888926015118,0.02861572794658023,0.027778386292773596,15.649816282600712,6.0724102602313454,True,16.379987955093384
