T,n,burn,measure,mean_u,mean_v,norm,norm_vs_deterministic_sqrt2,angle_deg,P_v_negative_cycle,P_target_cycle,se_u,se_v
0.5,1000,60,100,0.0800059382999508,-0.15508626869666642,0.1745070224991251,0.12339509897380475,-62.71168608141251,0.5193300000000001,0.015560000000000001,0.01013773512308573,0.010229857687602274
0.55,1000,60,100,0.061753811064195245,-0.12365576883687608,0.13821824173238226,0.09773505601264895,-63.46241285449186,0.5148,0.01403,0.010877669236326184,0.010923494050202768
0.6,1000,60,100,0.05111661515872076,-0.10719739895336429,0.11876106553770688,0.08397675478265253,-64.50606201392108,0.51181,0.01293,0.01145192433139807,0.011449276872805201
0.65,1000,60,100,0.04222642250412926,-0.08689793815957841,0.09661429715048983,0.0683166246746835,-64.08343528336327,0.5096900000000001,0.01168,0.011930054570926852,0.011813567420225992
0.7,1000,60,100,0.03699765387204929,-0.07644753020899213,0.08492968425168393,0.060054355658398034,-64.17480968979278,0.50802,0.01116,0.012437605285920288,0.012392968468461673
