T,cycle,mean_u,mean_v,se_u,se_v
0.5,1,0.15661427315709658,-0.06171296342130216,0.14748404831554612,0.14960754511330368
0.5,2,-0.0192619844758605,0.10801807627529283,0.14302906820696945,0.15392022590747861
0.5,3,0.10272839961377951,0.14359150986966102,0.1396999568613169,0.15225745645914665
0.5,4,-0.1457659860963136,-0.05097802558486799,0.14741191963596648,0.14870521280897375
0.5,5,0.06753858911447241,-0.13273507593891007,0.14923711602747114,0.1534316985541928
0.5,6,0.07952386283775272,-0.07012969575289768,0.1473794216261459,0.1510749455801706
0.5,7,0.35549550282150294,-0.43445904485103404,0.14607327456391572,0.15312692479374612
0.5,8,0.02975604186666041,-0.2730207342378118,0.14647960653271455,0.1517690988285674
0.5,9,-0.08342385315936568,-0.2193183968972744,0.14486230436288136,0.14617993900234344
0.5,10,0.17700443673230667,-0.08169703764990756,0.13913865973319572,0.15128614580386263
0.5,11,0.1369273411915006,-0.004635810601514315,0.14056618979804716,0.15753288082930197
0.5,12,0.0667167489669943,-0.17446719468635663,0.14429686333446823,0.15304651759241916
0.5,13,0.08079700286976961,0.1321639761802731,0.14853498055562284,0.14052905875836175
0.5,14,0.26233738363443404,-0.10447563144355822,0.14919033308512614,0.15501506819895436
0.5,15,-0.08162912538618991,-0.11530816860227884,0.14048767198640985,0.1409954332286135
0.5,16,0.07285539872013735,-0.11158854873742073,0.14231157382179033,0.15046194494803802
0.5,17,0.4979196727081379,-0.5198853379941225,0.1520135859569545,0.14727071247950066
0.5,18,0.05546481117421516,-0.05961414367048509,0.14385701850053603,0.1540647299219266
0.5,19,0.26664626914122624,-0.4637282571941872,0.14263456962930907,0.1480955381289185
0.5,20,0.06081754589900184,-0.42369849795536746,0.14609059830729,0.15064905102150072
0.5,21,0.14999074422394224,-0.2096967139160142,0.14479218461111132,0.1528789661438177
0.5,22,0.34627387382025576,-0.18469231854842202,0.14174394856260406,0.156788481972456
0.5,23,0.23965073067540302,-0.3690174990400982,0.15755746137976698,0.16280901603379588
0.5,24,0.1910069951383317,-0.10018946914699638,0.14179232542009063,0.1569586877142839
0.5,25,0.18149734033087375,-0.02146061389247184,0.14673959605511233,0.146477797436188
0.5,26,0.23927229180343954,-0.11143683451404388,0.15076394252477257,0.15655775357052215
0.5,27,0.04243315017614121,-0.13926676275646896,0.15245989530823958,0.14745172797230827
0.5,28,0.000201378919949061,-0.05346795562587013,0.1433566521774099,0.15096782061727101
0.5,29,0.18521286265107692,-0.13486831394799872,0.14055003833196164,0.14672498594958602
0.5,30,-0.006143604952805966,0.09103051816264802,0.15541244688238806,0.15189886158900787
0.5,31,0.38619715449716563,0.0016049209953783573,0.14372979177224438,0.1483760464437358
0.5,32,-0.03572888060978461,-0.11417976773022331,0.1502668961792123,0.15430301727318393
0.5,33,0.18480521066852348,-0.30204736835966517,0.14145066953734425,0.14618456192917972
0.5,34,0.042357524080837115,0.05870082990890489,0.14159108868860837,0.14238395893963549
0.5,35,0.026553772530101088,-0.502956142017292,0.13797971850508728,0.13801907234047942
0.5,36,0.18602830510184798,-0.04431162989270885,0.1630564262603467,0.15438525598927177
0.5,37,0.05134440545980409,-0.19485639060346005,0.14401741654754327,0.15103008567930348
0.5,38,-0.06029575158498195,-0.2755704316156867,0.1432900748030035,0.14576553307954607
0.5,39,0.12284424255998844,-0.14758524960773686,0.13568733620702955,0.14302760497385003
0.5,40,0.325342085134822,-0.31545098405909394,0.14784529444748082,0.15355432846034092
0.5,41,0.19331819129081307,-0.19580021081746854,0.1422631509381663,0.1460931042170299
0.5,42,0.20875816628122154,-0.06895148425303163,0.147928423109245,0.15206073725641978
0.5,43,-0.10187994665605976,-0.20823556936883897,0.14910156028527022,0.1526447354198837
0.5,44,-0.1856008441954839,-0.010760803415835952,0.15044093360642666,0.15032569108745322
0.5,45,0.20788170985883317,-0.29678230828174074,0.14357313220237478,0.15582386017359057
0.5,46,-0.18715274798723391,0.2231205289780466,0.15047171755748015,0.1583543585392467
0.5,47,-0.16412493923929072,-0.11883065495777395,0.14645133204433844,0.15357409456629506
0.5,48,0.05091548766324643,0.12365675203947799,0.15215362345741343,0.1475103096367359
0.5,49,0.009228283803878412,0.19886664931870018,0.14721300745630417,0.14659142602054953
0.5,50,0.18218185302903406,-0.07067484326677449,0.13988506714015192,0.1438108204733073
0.5,51,-0.09271893896267533,0.26657218673928107,0.1444051052926212,0.148529973595733
0.5,52,-0.04326094720195664,-0.12581858020719894,0.14819640068276282,0.14863406829254291
0.5,53,0.022492153150290975,-0.20717701829439392,0.14218988449726197,0.14711772561841463
0.5,54,0.15171506906733298,-0.35762707717340586,0.14208684804493213,0.1532518983468537
0.5,55,-0.055040276809949544,-0.08713051281114927,0.13670542759836898,0.15142818886734363
0.5,56,0.016154108590884144,0.14620142675425182,0.14011709091801305,0.1495251757936943
0.5,57,0.16027798961235334,0.0414336790232711,0.1430006881004618,0.14997945521684652
0.5,58,0.19121775958232962,-0.24119086274895993,0.1456915423155015,0.1526817020599723
0.5,59,-0.017125924640605455,-0.08289177520581109,0.15050288211139595,0.14891388360845906
0.5,60,0.12644842126603972,-0.1135450456134877,0.14318785109085577,0.15195572182719466
0.5,61,-0.1557101384250213,-0.23896280676083326,0.14856166486369649,0.15272868634386116
0.5,62,-0.01504166684110072,-0.21060186432130415,0.13873659241418873,0.14557331701411758
0.5,63,-0.10737441518098849,-0.08589944623955278,0.14546642492682618,0.14941042641282898
0.5,64,-0.001824625800332967,-0.17170219172327128,0.1483009067128736,0.14843265601722558
0.5,65,0.09408685945211474,0.13316254682819423,0.1454374386584443,0.15370376047521647
0.5,66,0.08215588707749148,-0.3732246536876147,0.15152166284036536,0.14765726269588222
0.5,67,-0.18836180764568047,-0.3284069871811312,0.14598150693164558,0.14240756093017903
0.5,68,-0.04123337255710565,-0.07921886958462368,0.14315135592614478,0.14682460436794817
0.5,69,0.01877942451763437,-0.07166458229737854,0.14267098598827538,0.14641436974219282
0.5,70,-0.02620003470337276,-0.08026189353721051,0.14887755657411642,0.14550082806683295
0.5,71,0.1926109738061682,-0.08512367074368396,0.15403614935327106,0.15445792075110282
0.5,72,0.11588293895675102,-0.29175735621087373,0.15346862348484178,0.15602626372704329
0.5,73,0.203297638015935,-0.14175357660316265,0.14693858972723695,0.15489995220226999
0.5,74,0.08564093889829431,-0.25731528864895165,0.1470650010452668,0.14953164544386024
0.5,75,0.21317364575185377,0.04718250380101711,0.14252075120895144,0.153705322729754
0.5,76,0.028995114308598493,-0.0026571248296827824,0.14257068771855044,0.15165039105232242
0.5,77,0.06253402458808781,-0.009271239106544982,0.1521069032923602,0.14298730574341117
0.5,78,0.1023029154665342,-0.2919540210596092,0.14883177500018394,0.14821601571906237
0.5,79,-0.14204455734264312,0.2240865968606741,0.1429459813259728,0.1559635770971899
0.5,80,-0.13592346442148845,0.12181925651356804,0.14649391379030677,0.14435316928312494
0.5,81,0.10510957396960595,-0.23508453789570927,0.14984833199768594,0.14439887244328029
0.5,82,0.13148709124758998,-0.20977856914896115,0.1515799054382839,0.14764127083665662
0.5,83,0.045438222482911975,-0.30126729920876016,0.14893787437343214,0.14965758799925563
0.5,84,0.12640027889291577,-0.2342215541688023,0.1478284910172893,0.14380453972077975
0.5,85,0.149609016476662,-0.12560116989533365,0.14413137163147519,0.1477679886619151
0.5,86,-0.07856272006146578,-0.15899132210688438,0.14366302063643718,0.14116839896992922
0.5,87,0.040186033285827,-0.14309223072993507,0.15092561396873874,0.14378826265469177
0.5,88,-0.20764303930699246,-0.24229881513976517,0.14399657901406251,0.14978580987172357
0.5,89,0.1895271920183237,-0.11385552158346587,0.1447455804978395,0.1542150557392967
0.5,90,-0.07610777666864374,0.019771232489669104,0.1393159436582677,0.14336168522745352
0.5,91,0.10866104520615293,-0.14255043009518473,0.14381991306804018,0.14669774394472346
0.5,92,-0.06723449474703129,-0.08998716036460132,0.14408270213644742,0.15267924395089993
0.5,93,0.1474560678839099,-0.2783472741033149,0.15397496345544043,0.15543362198831248
0.5,94,-0.0117895919277355,0.015070007273439497,0.1486762183746633,0.1435419439748616
0.5,95,0.014193274503309582,-0.08662287227755149,0.14595822107552217,0.14340055065329138
0.5,96,0.3544408256728587,-0.23496057210263163,0.14364534269659052,0.14493816221968603
0.5,97,-0.13490523735147414,0.23567588854951924,0.13919260556532437,0.1479335562651615
0.5,98,-0.2390694217732344,-0.013122835500869541,0.1445726796223362,0.1501009590361747
0.5,99,0.03599214541537694,-0.3090563420489797,0.14918766525917831,0.15224192594093855
0.5,100,0.09434996968955534,-0.047341425195540326,0.14467730845478194,0.14952458502758884
0.5,101,0.17547820763261904,-0.25257628265310966,0.1488887197461418,0.14666968755887436
0.5,102,-0.019802632162116408,0.008745871263978572,0.14329135222152556,0.1464110400966198
0.5,103,0.2502758121226599,-0.12245869041137271,0.15245580528141592,0.14598531021342892
0.5,104,0.15037736055706505,-0.21673086565591412,0.15101987806419534,0.15095370740855096
0.5,105,0.09739085400318631,-0.2553548638054355,0.1488136063969056,0.15380370131827484
0.5,106,-0.0017163549020700088,0.0845350209351483,0.15377722258094068,0.1528590387751819
