T,burn,measure,mean_u,mean_v,norm,se_u,se_v,T2,crit,excl
0.5,30,130,0.06816552871124922,-0.1386879811454851,0.15453444735299174,0.013123694897023022,0.012807547806744372,117.38010323837231,6.039755055454466,True
0.5,60,100,0.0695838603712107,-0.15007219812368638,0.1654194011409639,0.014212584079609517,0.014156195320403365,112.45070051679211,6.039755055454466,True
0.5,80,80,0.08215799698999174,-0.16017118929795846,0.18001318382421308,0.016147894629427836,0.01578322389040656,103.17939772591261,6.039755055454466,True
0.5,100,60,0.0974183550715153,-0.16863387234304988,0.19475040129933463,0.01879602918850191,0.018631705246353034,82.8530525371217,6.039755055454466,True
0.5,120,40,0.100315226817857,-0.1780500628709367,0.20436479545132671,0.023560226207341214,0.023343216960436886,58.34218780599664,6.039755055454466,True
0.55,30,130,0.05289110514769539,-0.10669230816054645,0.11908281834240227,0.013803926377164521,0.01390292320991002,58.891807211765716,6.039755055454466,True
0.55,60,100,0.05481781914743403,-0.11859716496603052,0.13065328481925223,0.015021286245467572,0.015479257296088353,58.743567051065945,6.039755055454466,True
0.55,80,80,0.062469554233963887,-0.12251132069618977,0.1375189765265682,0.017315710021735202,0.017218753114576907,50.62452682316415,6.039755055454466,True
0.55,100,60,0.07688150933334449,-0.13187454655274197,0.15264882084662312,0.020028806752830353,0.019808468062191067,44.65185441921907,6.039755055454466,True
0.55,120,40,0.07788356039730343,-0.14056032224358483,0.16069552940072981,0.02478817418182202,0.024612360478536086,32.630937257315594,6.039755055454466,True
0.6,30,130,0.04112271044015744,-0.09353370631781613,0.10217451507833307,0.014581275579407405,0.014190580207658624,43.82349604229498,6.039755055454466,True
0.6,60,100,0.043273052107125995,-0.10393003135574314,0.11257889880555678,0.015848346267742806,0.01588923144580955,43.17904346746376,6.039755055454466,True
0.6,80,80,0.05659319458530939,-0.1092585719115793,0.12304562247202636,0.018172777611439817,0.01784567005363753,37.48480819481358,6.039755055454466,True
0.6,100,60,0.07517711073256499,-0.11696902217817905,0.13904441782184454,0.021376907472362466,0.020489574958941163,33.295835174784465,6.039755055454466,True
0.6,120,40,0.07578706858415309,-0.12280092250279248,0.14430435312947412,0.02653215588868068,0.025744706907947362,22.897911466085066,6.039755055454466,True
0.65,30,130,0.025774910646085402,-0.06734745184575944,0.07211120085625099,0.014927718930321398,0.014536657082667234,21.908515603141662,6.039755055454466,True
0.65,60,100,0.02760210061142536,-0.0751782127309871,0.08008520230097942,0.016542798144794566,0.01608806249808395,22.455420304022507,6.039755055454466,True
0.65,80,80,0.03785419319717182,-0.07959898568237327,0.0881415819251701,0.01907378654684613,0.018390008319601543,18.842146159027024,6.039755055454466,True
0.65,100,60,0.058101779421758024,-0.07879417509612031,0.0978996363683374,0.022227494072110283,0.021865282588558622,13.732467705175633,6.039755055454466,True
0.65,120,40,0.06900091464790643,-0.08996374628472549,0.11337813663943383,0.027428185514404825,0.027002931459467503,11.844251938405973,6.039755055454466,True
0.7,30,130,0.022691647988835037,-0.05600617622524301,0.06042849215247867,0.01596230615515663,0.015492009919791406,13.203171638992963,6.039755055454466,True
0.7,60,100,0.022898486111329986,-0.06579703218664855,0.06966771211085977,0.017486948491841948,0.017147713159116496,15.19485185163001,6.039755055454466,True
0.7,80,80,0.036685110932559196,-0.07356132559969794,0.08220137461210092,0.020143317770533322,0.019352950059736532,14.45409867226416,6.039755055454466,True
0.7,100,60,0.05664486482278281,-0.07583349572503316,0.09465389471474461,0.023327103777988144,0.02241428432775064,12.166926321078224,6.039755055454466,True
0.7,120,40,0.05788193636744482,-0.08799046089803826,0.1053216016147406,0.029162237774659944,0.027495039906494913,10.326318635229617,6.039755055454466,True
