theta_deg,forward,reverse,rho
0.0,4.619355714493359,3.766590196151397,0.10168984243739265
0.025,4.619153900976009,3.7664227996733866,0.10169021544297431
0.05,4.618548495164193,3.765920640415642,0.10169133441381402
0.07500000000000001,4.61753960127119,3.765083808900352,0.10169319921212984
0.1,4.616127392960992,3.7639124559754813,0.10169580960807331
0.125,4.6143121133111356,3.7624067927812934,0.10169916527940878
0.15000000000000002,4.612094074760644,3.7605670907034168,0.10170326581107149
0.17500000000000002,4.609473659043176,3.7583936813125223,0.10170811069460338
0.2,4.606451317105322,3.7558869562905426,0.10171369932746976
0.225,4.603027569010153,3.7530473673434384,0.10172003101226701
0.25,4.599203003826013,3.749875426100519,0.10172710495581821
0.275,4.594978279500612,3.7463717040002606,0.1017349202681687
0.30000000000000004,4.590354122720449,3.7425368321626187,0.10174347596148614
0.325,4.585331328755666,3.738371501247863,0.10175277094886916
0.35000000000000003,4.579910761290315,3.7338764613018505,0.1017628040430747
0.375,4.574093352238146,3.729052521587785,0.10177357395516669
0.4,4.567880101544009,3.7239005504044553,0.10178507929309845
0.42500000000000004,4.561272076970872,3.7184214748909135,0.10179731856023026
0.45,4.554270413872559,3.7126162808176453,0.1018102901537898
0.47500000000000003,4.546876314952327,3.706486012364213,0.10182399236328621
0.5,4.5390910500073085,3.7000317718834177,0.10183842336887779
0.525,4.530915955658937,3.693254719651973,0.10185358123970313
0.55,4.522352435069454,3.6861560736077488,0.10186946393218248
0.5750000000000001,4.513401957644557,3.6787371090736203,0.10188606928828775
0.6000000000000001,4.504066058722335,3.670999158467935,0.10190339503379785
0.625,4.494346339248564,3.662943611001713,0.10192143877653166
0.65,4.484244465438464,3.6545719123625777,0.10194019800457134
0.675,4.473762168425065,3.6458855643855177,0.10195967008447804
0.7000000000000001,4.462901243894222,3.6368861247105166,0.10197985225950365
0.7250000000000001,4.451663551706475,3.6275752064271973,0.10200074164779907
0.75,4.440051015505823,3.6179544777064723,0.10202233524063095
0.775,4.428065622315517,3.608025661419346,0.10204462990060112
0.8,4.415709422121022,3.5977905347429466,0.10206762235987618
0.8250000000000001,4.402984527440312,3.5872509287538974,0.10209130921843354
0.8500000000000001,4.389893112881457,3.5764087280090657,0.10211568694231837
0.875,4.376437414687863,3.565265870113891,0.10214075186192517
