eta,Fc_forward,Fc_reverse,DeltaFc,rho
-1.0,3.195676141940896,3.929394691650336,-0.7337185497094398,-0.10297701831262011
-0.975,3.122213546368006,3.889484742896211,-0.7672711965282053,-0.10942729776365206
-0.95,3.04888199750068,3.8496257611072306,-0.8007437636065506,-0.11607492397285311
-0.9249999999999999,2.9756895604918157,3.8098194888157613,-0.8341299283239456,-0.12292812849598424
-0.8999999999999999,2.9026449239614833,3.7700677426674427,-0.8674228187059594,-0.12999552986059926
-0.8749999999999999,2.8297574555918916,3.730372417009713,-0.9006149614178214,-0.13728614812631096
-0.8499999999999999,2.7570372629855235,3.6907354876573066,-0.9336982246717831,-0.14480941881500015
-0.8249999999999998,2.6844952602473766,3.6511590158420795,-0.9666637555947029,-0.15257520588565873
-0.7999999999999998,2.612143240773056,3.6116451523543667,-0.9995019115813109,-0.16059381335731213
-0.7749999999999998,2.5399939567390133,3.5721961418830572,-1.032202185144044,-0.16887599509981588
-0.7499999999999998,2.4680612057970133,3.5328143275610904,-1.064753121764077,-0.17743296221447188
-0.7249999999999998,2.3963599254681323,3.4935021557229624,-1.0971422302548302,-0.18627638731278362
-0.6999999999999997,2.324906295707752,3.454262180880095,-1.1293558851723429,-0.1954184048704426
-0.6749999999999997,2.2537178500665584,3.41509707091947,-1.1613792208529117,-0.20487160668334228
-0.6499999999999997,2.1828135957964503,3.3760096125299572,-1.193196016733507,-0.21464903128170215
-0.6249999999999997,2.112214143136304,3.3370027168597955,-1.2247885737234916,-0.22476414596653957
-0.5999999999999996,2.041941843850825,3.298079425407377,-1.256137581556552,-0.23523081991975772
-0.5749999999999996,1.9720209388749295,3.259242916145898,-1.2872219772709683,-0.2460632866062619
-0.5499999999999996,1.9024777146234821,3.2204965098805682,-1.318018795257086,-0.25727609343665636
-0.5249999999999996,1.8333406671478403,3.1818436768347715,-1.3485030096869313,-0.2688840363973681
-0.49999999999999956,1.7646406728424213,3.1432880434588952,-1.378647370616474,-0.280902077089547
-0.47499999999999953,1.7777754808125912,3.10483339945235,-1.3270579186397589,-0.2717927958562492
-0.4499999999999995,1.8074174541886152,3.0664837049856026,-1.2590662507969874,-0.25832822818473206
-0.4249999999999995,1.8374612222860236,3.028243098104705,-1.1907818758186814,-0.24472960077505462
-0.39999999999999947,1.8678973053837418,2.9901159022957975,-1.1222185969120557,-0.23100361175182776
-0.37499999999999944,1.8987158971639322,2.952106634181326,-1.0533907370173936,-0.21715713782776982
-0.3499999999999994,1.9299069257207484,2.914220011313117,-0.9843130855923685,-0.20319721146594868
-0.3249999999999994,1.9614601131330989,2.8764609600200175,-0.9150008468869186,-0.18913099925596072
-0.2999999999999994,1.9933650328583423,2.8388346232593045,-0.8454695904009621,-0.1749657817492254
-0.27499999999999936,2.025611164319905,2.8013463684116644,-0.7757352040917596,-0.16070893494121377
-0.24999999999999933,2.058187944182862,2.7640017949489013,-0.7058138507660394,-0.1463679135307358
-0.2249999999999993,2.0910848139323934,2.7268067418919015,-0.6357219279595081,-0.1319502360303214
-0.1999999999999993,2.1242912634862883,2.68976729496345,-0.5654760314771616,-0.11746347174872356
-0.17499999999999927,2.157796870680796,2.652889793326561,-0.49509292264576477,-0.10291522961783311
-0.15,2.191591336566685,2.61618083578383,-0.42458949921714506,-0.08831314879248192
-0.1475,2.194986278326859,2.6125194718935854,-0.41753319356672636,-0.08685027439594444
-0.145,2.198383997026792,2.608859868872514,-0.4104758718457222,-0.08538694588753368
-0.1425,2.2017844826339323,2.605202033758992,-0.4034175511250595,-0.08392317094073663
-0.13999999999999999,2.2051877251344227,2.6015459736184887,-0.396358248484066,-0.0824589572305409
-0.13749999999999998,2.208593714533346,2.597891695543589,-0.38929798101024327,-0.0809943124333778
-0.13499999999999998,2.212002440854959,2.5942392066540503,-0.3822367657990915,-0.0795292442270767
-0.13249999999999998,2.215413894142926,2.590588514096816,-0.3751746199538899,-0.07806376029081148
-0.12999999999999998,2.2188280644605496,2.5869396250460803,-0.36811156058553074,-0.0765978683050578
-0.12749999999999997,2.222244941890992,2.5832925467032934,-0.36104760481230125,-0.07513157595154142
-0.12499999999999997,2.225664516537498,2.5796472862972304,-0.3539827697597322,-0.0736648909131999
-0.12249999999999997,2.2290867785236146,2.5760038510839838,-0.3469170725603692,-0.07219782087412985
-0.11999999999999997,2.2325117179934044,2.572362248347039,-0.33985053035363455,-0.07073037351955277
-0.11749999999999997,2.235939325111653,2.568722485397265,-0.3327831602856124,-0.06926255653576655
-0.11499999999999996,2.239369590064077,2.565084569572977,-0.3257149795088998,-0.06779437761011035
-0.11249999999999996,2.242802503057528,2.561448508239934,-0.31864600518240627,-0.06632584443092016
-0.10999999999999996,2.24623805432019,2.5578143087914005,-0.3115762544712104,-0.06485696468749605
-0.10749999999999996,2.2496762341017758,2.5541819786481352,-0.3045057445463595,-0.06338774607005913
-0.10499999999999995,2.253117032673719,2.5505515252584483,-0.2974344925847294,-0.06191819626972055
-0.10249999999999995,2.2565604403293613,2.5469229560981965,-0.2903625157688352,-0.06044832297844172
-0.09999999999999995,2.260006447384136,2.543296278670834,-0.28328983128669805,-0.05897813388900611
-0.09749999999999995,2.2634550441757537,2.5396715005073993,-0.2762164563316456,-0.05750763669497838
-0.09499999999999995,2.266906221064376,2.5360486291665683,-0.2691424081021925,-0.05603683909068
-0.09249999999999994,2.270359968432788,2.5324276722346437,-0.2620677038018555,-0.05456574877115253
-0.08999999999999994,2.2738162766865755,2.52880863732559,-0.2549923606390143,-0.05309437343213025
-0.08749999999999994,2.2772751362542842,2.525191532081037,-0.24791639582675273,-0.05162272077000963
-0.08499999999999994,2.280736537587592,2.5215763641703024,-0.24083982658271053,-0.05015079848182128
-0.08249999999999993,2.28420047116146,2.5179631412903922,-0.23376267012893237,-0.04867861426520193
-0.07999999999999993,2.2876669274742976,2.5143518711660207,-0.2266849436917231,-0.04720617581836799
-0.07749999999999993,2.291135897048113,2.510742561549617,-0.21960666450150423,-0.04573349084008989
-0.07499999999999993,2.294607370428661,2.5071352202213246,-0.21252784979266348,-0.04426056702966553
-0.07249999999999993,2.2980813381855953,2.503529854989023,-0.20544851680342768,-0.04278741208689868
-0.06999999999999992,2.3015577909126077,2.499926473688309,-0.1983686827757012,-0.041314033712071103
-0.06749999999999992,2.3050367192275734,2.4963250841825237,-0.19128836495495039,-0.03984043960592401
-0.06499999999999992,2.30851811377268,2.4927256943627283,-0.18420758059004827,-0.03836663746963235
-0.06249999999999992,2.3120019652145727,2.489128312147731,-0.1771263469331581,-0.03689263500478676
-0.059999999999999915,2.315488264244478,2.4855329454840485,-0.1700446812395704,-0.03541843991336701
-0.05749999999999991,2.3189770015783315,2.481939602345945,-0.16296260076761326,-0.033944059897730236
-0.05499999999999991,2.3224681679569086,2.47834829073538,-0.15588012277847163,-0.032469502660581274
-0.05249999999999991,2.325961754145939,2.474759018682042,-0.14879726453610287,-0.03099477590496275
-0.049999999999999906,2.3294577509362293,2.471171794243304,-0.1417140433070747,-0.02951988733422981
-0.0474999999999999,2.332956149143778,2.467586625504235,-0.13463047636045689,-0.028044844652035893
-0.0449999999999999,2.3364569396098887,2.4640035205775797,-0.127546580967691,-0.026569655562314547
-0.0424999999999999,2.3399601132012786,2.460422487603733,-0.12046237440245422,-0.025094327769260096
-0.0399999999999999,2.343465660810188,2.4568435347507442,-0.1133778739405562,-0.023618868977315455
-0.037499999999999895,2.346973573354478,2.4532666702142674,-0.1062930968597895,-0.022143286891150627
-0.03499999999999989,2.3504838417777383,2.44969190221758,-0.09920806043984154,-0.020667589215653998
-0.03249999999999989,2.3539964570493828,2.4461192390115114,-0.09212278196212864,-0.019191783655907943
-0.029999999999999888,2.3575114101647427,2.442548688874468,-0.08503727870972533,-0.01771587791718411
-0.027499999999999886,2.3610286921451644,2.4389802601123622,-0.07795156796719782,-0.01623987970491927
-0.024999999999999883,2.3645482940380904,2.435413961058613,-0.07086566702052277,-0.01476379672470884
-0.02249999999999988,2.368070206917157,2.431849800074098,-0.0637795931569407,-0.01328763668228709
-0.01999999999999988,2.37159442188227,2.428287785547125,-0.05669336366485522,-0.011811407283517003
-0.017499999999999877,2.375120930059691,2.4247279258934054,-0.04960699583371442,-0.010335116234376522
-0.014999999999999875,2.378649722602112,2.421170229555989,-0.04252050695387677,-0.008858771240941787
-0.012499999999999872,2.38218079068874,2.417614705005267,-0.035433914316527204,-0.0073823800093807505
-0.00999999999999987,2.3857141255253587,2.4140613607388777,-0.028347235213519006,-0.005905950245931657
-0.007499999999999868,2.389249718344411,2.410510205281714,-0.02126048693730276,-0.004429489656899522
-0.004999999999999866,2.392787560405061,2.4069612471858344,-0.014173686780773576,-0.0029530059486358156
-0.0024999999999998634,2.3963276429932607,2.4034144950304395,-0.007086852037178737,-0.0014765068275306883
1.3877787807814457e-16,2.3998699574218154,2.3998699574218127,2.6645352591003757e-15,5.551415923308803e-16
0.002500000000000141,2.403414495030445,2.3963276429932554,0.007086852037189395,0.001476506827532909
0.005000000000000143,2.4069612471858397,2.3927875604050586,0.014173686780781125,0.0029530059486373864
0.0075000000000001454,2.4105102052817173,2.3892497183444057,0.02126048693731164,0.004429489656901374
0.010000000000000148,2.414061360738882,2.385714125525355,0.028347235213527,0.0059059502459333215
0.01250000000000015,2.417614705005268,2.3821807906887353,0.03543391431653253,0.007382380009381867
0.015000000000000152,2.4211702295559943,2.3786497226021073,0.04252050695388698,0.008858771240943916
