phi_deg,R,N,theta_deg,Fc_forward,Fc_reverse,rho,DeltaFc
5,9.177,127,0.0,4.619355714493359,3.766590196151397,0.10168984243739265,0.8527655183419625
5,9.177,127,0.1,4.615467292195567,3.7633859813179256,0.10169426329151357,0.8520813108776415
5,9.177,127,0.2,4.603786086240978,3.753844590165249,0.10169646506098104,0.8499414960757292
5,9.177,127,0.30000000000000004,4.584311710875853,3.738092422915545,0.10167966784073962,0.8462192879603077
5,9.177,127,0.4,4.557075279948543,3.7162814586962862,0.10162668525157519,0.8407938212522565
5,9.177,127,0.5,4.5221394311847165,3.688588563503608,0.10151972738840555,0.8335508676811085
5,9.177,127,0.6000000000000001,4.479598172071505,3.655214625384844,0.10134019887273067,0.8243835466866609
5,9.177,127,0.7000000000000001,4.429576544629201,3.6163835004240545,0.10106849147294818,0.8131930442051467
5,9.177,127,0.8,4.372230108542711,3.5723407551665405,0.100683770980011,0.7998893533761704
5,9.177,127,0.9,4.307744244468741,3.523352194990725,0.10016375810743532,0.7843920494780159
5,9.177,127,1.0,4.236333281689046,3.469702173269807,0.09948450314044567,0.7666311084192396
5,9.177,127,1.1,4.158239456514934,3.4116916824573424,0.09862015391581833,0.7465477740575919
5,9.177,127,1.2000000000000002,4.073731709856293,3.349636235031307,0.09754271648674824,0.7240954748249862
5,9.177,127,1.3,3.9831043340778485,3.283863549220694,0.09622180751124534,0.6992407848571545
5,9.177,127,1.4000000000000001,3.8866754806438046,3.2147110613963004,0.09462439697789786,0.6719644192475043
5,9.177,127,1.5,3.7847855411126186,3.1425232937462417,0.09271453932217569,0.6422622473663768
5,9.177,127,1.6,3.677795414840923,3.067649112173151,0.09045309026325331,0.610146302667772
5,9.177,127,1.7000000000000002,3.566084677378867,2.990438915006739,0.08779740578385958,0.5756457623721278
5,9.177,127,1.8,3.450049664102359,2.9112417978604923,0.08470101856889466,0.5388078662418665
5,9.177,127,1.9000000000000001,3.3301014842568164,2.830402743508938,0.0811132859053496,0.49969874074787857
5,9.177,127,2.0,3.20666398140667,2.748259887775749,0.07697900152900823,0.45840409363092105
5,9.177,127,2.1,3.0801716574101206,2.66514191289613,0.07223796219914028,0.41502974451399055
5,9.177,127,2.2,2.9510675785676646,2.5813656184996376,0.06682447792844619,0.3697019600680269
5,9.177,127,2.3000000000000003,2.819801284608615,2.4972337171714187,0.060666812862658834,0.32256756743719617
5,9.177,127,2.4000000000000004,2.6868267237566856,2.41303289649393,0.053686541914912726,0.2737938272627556
5,9.177,127,2.5,2.5526002403326187,2.3290321826416416,0.04579780661870533,0.2235680576909771
5,9.177,127,2.6,2.417578645311964,2.2454816321924973,0.03690645260360397,0.1720970131194668
5,9.177,127,2.7,2.282217405107126,2.1626113691263105,0.02690903115867333,0.11960603598081532
5,9.177,127,2.8000000000000003,2.1469689897965183,2.080630973392262,0.01569164939490135,0.06633801640425618
5,9.177,127,2.9000000000000004,2.0122814293638873,1.9997292164137574,0.003128658933978697,0.01255221295012987
5,9.177,127,3.0,1.8785971355721922,1.920074127978209,-0.010918815956517013,-0.041476992406016766
10,9.2,127,0.0,4.619355714493359,3.766590196151397,0.10168984243739265,0.8527655183419625
10,9.2,127,0.1,4.615520373844966,3.7634275723137454,0.10169448563311081,0.8520928015312204
10,9.2,127,0.2,4.604001414716109,3.754003626453809,0.10169864508041992,0.8499977882623
10,9.2,127,0.30000000000000004,4.584801947947431,3.738432831878244,0.10168752155359889,0.8463691160691873
10,9.2,127,0.4,4.557955207636167,3.716854046305663,0.101645987903568,0.8411011613305037
10,9.2,127,0.5,4.52352454503077,3.6894299005204467,0.10155841604139598,0.8340946445103232
10,9.2,127,0.6000000000000001,4.481603260672848,3.656346035662494,0.10140849923726876,0.8252572250103545
10,9.2,127,0.7000000000000001,4.432314273022939,3.6178101761668087,0.10117906896931401,0.8145040968561306
10,9.2,127,0.8,4.375809623638436,3.574051026434567,0.10085190577478952,0.8017585972038694
10,9.2,127,0.9,4.312269820880855,3.5253169822794366,0.10040754359289542,0.7869528386014188
10,9.2,127,1.0,4.241903026018653,3.471874652715705,0.09982506696113264,0.7700283733029476
10,9.2,127,1.1,4.164944087371271,3.414007193103678,0.09908190018349533,0.7509368942675931
