direction,F0,u,v,m,n,res,x,y,vx,vy
inc,1.0,-2.1596338298761534e-17,4.324162186698457e-17,0,0,3.7448351034128446e-17,8.378952148268145e-08,-0.003151494126651714,-3.722752756090609e-07,0.011322673901259385
inc,1.05,-2.2282518816517917e-17,4.4493550699265533e-17,0,0,3.853256178826564e-17,9.234701462846348e-08,-0.003312887143868705,-4.1057150214831166e-07,0.01190800769596118
inc,1.1,-2.3446676055489967e-17,4.6847176903953755e-17,0,0,4.0570851863624817e-17,1.0131498011776947e-07,-0.0034746444963293186,-4.5076127860309924e-07,0.012495331110402866
inc,1.15,-2.4395776832975138e-17,4.895041734218578e-17,0,0,4.23923793611249e-17,1.1069233500433247e-07,-0.003636765519520243,-4.928479317196498e-07,0.013084666577256755
inc,1.2,-2.5599860937122496e-17,5.125396639358275e-17,0,0,4.438724522791262e-17,1.2047842186681778e-07,-0.0037992502667941112,-5.368363573304893e-07,0.013676039413793792
inc,1.25,-2.656552137427586e-17,5.3081782488712963e-17,0,0,4.597017871161233e-17,1.3067609242244504e-07,-0.003962105077366107,-5.827408271425212e-07,0.014269493476292288
inc,1.3,-2.7753196651431296e-17,5.553556299998366e-17,0,0,4.809521058288105e-17,1.4133430701223226e-07,-0.0041254226327206035,-6.306386938270153e-07,0.014865213291400984
inc,1.35,-4.850503752315209e-17,9.61481343191782e-17,0,0,8.326784214358097e-17,7.93076898273889e-05,-0.5943244429401604,-9.399680998466175e-05,0.026170452829652056
inc,1.4,-5.318177978294044e-17,1.0255800994045675e-16,0,0,8.883822152766235e-17,0.0005872862523367832,-0.5948105371228027,-0.0007340115807492552,0.026974401436843994
inc,1.45,-5.466601636830097e-17,9.61481343191782e-17,0,0,8.352725060819544e-17,0.0020290945299269256,-0.5953313788728996,-0.002494383189912584,0.02781831982690126
inc,1.5,-7.982380738988249e-17,8.973825869789965e-17,0,0,8.521470426249e-17,0.006115004667949482,-0.5962232810237945,-0.007234333236004786,0.029081815911134234
inc,1.55,1.1677269365274605e-16,3.845925372767128e-17,0,0,1.4002130849932115e-16,0.022329562976864465,-0.601196939666927,-0.021816501570753516,0.033417411946393236
inc,1.6,0.999999999998681,-0.9999999999993185,1,-1,1.1424513420252343e-12,14.986338415801242,-25.97581000274825,0.16099912413137743,-0.08396661074842936
inc,1.65,0.9999999999999927,-0.9999999999999939,1,-1,6.799606210431434e-15,30.000483972517948,-51.96627040210637,0.0012636910434706723,0.016788235054723575
inc,1.7,0.9999999999999996,-0.9999999999999991,1,-1,7.691850745534255e-16,44.99989260930769,-77.94782543054595,0.0001855601565605829,0.019806996034062597
inc,1.75,0.9999999999999999,-1.0000000000000004,1,-1,5.087681048627601e-16,60.00002448996976,-103.9286817067341,-3.813890575500887e-05,0.0204247624525972
inc,1.8,1.0000000000000002,-1.0000000000000004,1,-1,3.8459253727671276e-16,74.99999453197378,-129.9095998733946,-5.337610107042451e-06,0.021003988092634714
inc,1.85,0.9999999999999998,-0.9999999999999994,1,-1,4.839349969133126e-16,90.00000039737613,-155.89053491482434,7.377867140709801e-06,0.021643253252383116
inc,1.9,1.0000000000000004,-1.000000000000001,1,-1,9.678699938266251e-16,105.00000127354691,-181.871491984663,-5.396356055523404e-06,0.022354784347796103
inc,1.95,0.999999999999999,-0.999999999999998,1,-1,1.7306664177452074e-15,119.99999995929356,-207.85262624087713,-1.2579252484871286e-06,0.023167282258636887
inc,2.0,0.9999999999999275,-0.9999999999998749,1,-1,1.0881358109612573e-13,135.00006968803493,-234.4262869176076,-5.709107490007907e-05,0.03441099183297262
inc,2.05,1.0000000000000462,-1.0000000000000242,1,-1,4.001302926488595e-14,149.99960156799833,-260.40811202278917,0.00039730617576550414,0.03673389451506351
inc,2.1,0.999999999999999,-0.999999999999998,1,-1,1.7306664177452074e-15,165.00151104993344,-286.389271727969,-0.0014154701316934355,0.0372920882006818
inc,2.15,0.9999999999999978,-1.000000000000001,1,-1,2.937374022976103e-15,180.01385338534436,-312.37204183985546,-0.012128395180006659,0.038941738660731015
inc,2.2,1.000000000002173,-1.000000000000907,1,-1,1.8903445168367173e-12,195.05176464048898,-338.36705888099914,-0.026661499591968143,0.041066935793708514
inc,2.25,1.0000000000000226,-1.000000000000011,1,-1,1.9615476199204254e-14,210.12067442286036,-364.3830354266592,0.0059822910108355744,0.01844636536902338
inc,2.3,1.0000000000002145,-1.0000000000000537,1,-1,1.9331249723415056e-13,225.0193223217372,-390.3167113206782,-0.015318265678361588,0.04133213665052433
inc,2.35,1.0000000000000209,-2.0000000000000644,1,-2,5.690410179157517e-14,225.00349205331918,-441.68102046541435,0.001283692156683689,0.03947275034220738
inc,2.4,0.9999999999999991,-2.0000000000000124,1,-2,1.2901536768991261e-14,225.0001633361304,-493.64212861371885,-7.019379688103243e-05,0.027390427928419298
inc,2.45,1.0000000000000022,-1.999999999999996,1,-2,5.457059571975845e-15,224.99996455968554,-545.6038943955198,7.63591723937851e-05,0.028047405968855226
inc,2.5,0.9999999999999966,-1.999999999999996,1,-2,3.750188105401294e-15,225.00001150877267,-597.5651694909898,-1.5133141136810468e-05,0.026096446076921558
inc,2.55,0.9999999999996135,-1.9999999999992213,1,-2,6.743891918393714e-13,225.00001114629853,-650.1301698643675,6.504161783509965e-06,0.035237900306807034
inc,2.6,0.9999999999999966,-1.999999999999996,1,-2,3.750188105401294e-15,225.0001477145107,-702.0853988102299,-9.949852538474876e-05,0.04353980246890633
inc,2.65,0.9999999999999454,-1.999999999999996,1,-2,5.2738281509573125e-14,224.99372888503893,-754.0475142801502,0.004763367441021433,0.045162267695749644
inc,2.7,1.0000000000000273,-1.9999999999999893,1,-2,3.3920538528617466e-14,224.98958633885943,-806.0097720424026,0.007666671098557232,0.045626451700313694
inc,2.75,1.0000000000009475,-2.000000000000127,1,-2,8.90776676717422e-13,225.00887376064932,-857.971478096565,-0.0064277711379784755,0.0461913722374859
inc,2.8,2.0000000000010867,-3.000000000000545,2,-3,9.41099222262055e-13,239.7530697979922,-935.1683588497438,0.16196246402383527,-0.07189798099631484
inc,2.85,2.0,-3.0000000000000657,2,-3,6.572520305780927e-14,254.99636750262266,-1013.2594111308689,0.005195643481685253,0.045779640174233464
inc,2.9,1.9999999999999785,-3.0000000000000138,2,-3,3.082103893942946e-14,270.0006051844255,-1091.2005203204264,-0.0019314474190943213,0.03404104711653338
inc,2.95,1.9999999999999947,-3.0000000000000004,2,-3,5.564421850464315e-15,284.9998004507534,-1169.1430206564062,0.0002920828057931066,0.033788407491911275
inc,3.0,2.0,-3.0000000000000004,2,-3,4.4408920985006257e-16,300.0000374344728,-1247.084717734067,0.0001669278858958656,0.032983504116696385
inc,3.05,1.9999999999999973,-3.0000000000000004,2,-3,2.912087692897636e-15,315.000022242272,-1325.023871198244,-0.00015912226982547526,0.0387234062885124
inc,3.1,1.9999999999997873,-2.9999999999995803,2,-3,3.6345141070953044e-13,330.00005199544097,-1403.5691302019304,-4.117655831779585e-05,0.006829868847279326
inc,3.15,1.9999999999999694,-3.0000000000000524,2,-3,7.273714921614004e-14,345.0002873186768,-1481.5102405572743,-0.00016576086242762556,0.050224465022165744
inc,3.2,1.9999999999999774,-3.0000000000000004,2,-3,2.2873827738003014e-14,360.0030831134404,-1559.4540301876857,-0.0019969283868646742,0.04910988630177101
inc,3.25,2.0000000000002554,-3.000000000000499,2,-3,4.323205606777389e-13,374.99970103143505,-1637.4002166780176,0.00016081453497574655,0.06734354792497725
inc,3.3,1.9999999999746165,-3.999999999987324,2,-4,2.198273811567422e-11,374.8183740830568,-1740.6098903253558,0.2343583984388146,-0.1125102525096923
inc,3.35,2.9999999999824403,-3.9999999999916427,3,-4,1.521304294375542e-11,405.00288593856186,-1845.2426811742002,-0.0017838591461643307,0.05040467377574591
inc,3.4,2.9999999999998144,-3.9999999999997025,3,-4,2.602999270271467e-13,435.0000418475713,-1948.5653051445217,-0.0005278367557979984,0.04501985109720692
inc,3.45,2.9999999999999427,-3.999999999999965,3,-4,5.002857620440507e-14,464.9990410142826,-2052.490550577928,0.0011823761684356471,0.046432304674556016
inc,3.5,3.9999999999989475,-4.000000000000175,4,-4,1.1500038006563354e-12,525.0054107838749,-2157.0145727075983,-0.0029946565960100075,0.05492613482522462
inc,3.55,4.000000000006621,-4.999999999989835,4,-5,1.4645184843142146e-11,569.9889868315121,-2286.3221650984506,-0.08038012223443645,-0.02704320694444748
inc,3.6,4.000000000000011,-5.000000000000022,4,-5,1.923475408079486e-14,614.9991016915737,-2416.221777069815,0.0019370927279961985,0.05008393851253538
inc,3.65,4.000000000000078,-4.999999999999838,4,-5,2.1183381158963278e-13,659.9990339040828,-2546.1258877095584,0.0017124806517589825,0.05171258396993506
inc,3.7,4.9999999999997025,-4.999999999999234,5,-5,6.684975048171817e-13,734.999747499952,-2676.642290676538,0.00012749878789916752,0.0620781025591928
inc,3.75,5.000000000001215,-3.9999999999997025,5,-4,1.3879273473152117e-12,824.9788227098285,-2780.5565475291105,0.009619222077871473,0.05869180446484593
inc,3.8,4.999999999999998,-4.999999999999996,5,-5,3.8714799753065004e-15,900.0037659208134,-2909.863291356997,0.009222576429588621,0.0711298125480827
inc,3.85,4.9999999999998295,-4.999999999999943,5,-5,1.503935499763765e-13,975.0009498083755,-3039.7628071759746,-0.009120271817223254,0.062243912006304844
inc,3.9,5.9999999999999165,-3.999999999999834,6,-4,1.4383829448805167e-13,1094.9997488284314,-3143.6846065505574,0.0006756573114616112,0.07749820532261244
inc,3.95,5.999999999999952,-4.000000000000018,6,-4,5.888830562472967e-14,1215.0053580638785,-3248.20743942908,-0.002676277413754126,0.05671038603167073
inc,4.0,5.999999999999381,-5.000000000000626,6,-5,1.0784033266055956e-12,1320.1664698359089,-3377.4070200855667,-0.25029017151036015,-0.11785458103023373
dec,4.0,5.999999999998428,-5.000000000001575,6,-5,2.725223044792672e-12,210.1664698350149,-259.7155664621041,-0.25029017216329097,-0.11785458144944827
dec,3.95,6.000000000000043,-4.000000000000359,6,-4,3.3952123108597495e-13,330.0053580638805,-364.3428448268963,-0.0026762774148896182,0.056710386029290995
dec,3.9,5.999999999999993,-3.9999999999999853,6,-4,1.2693495968069303e-14,449.99974882843117,-467.66610885663874,0.0006756573080143026,0.07749820527711918
dec,3.85,4.999999999999743,-4.9999999999998845,5,-5,2.22667233229422e-13,525.0009498083782,-597.5711685038583,-0.00912027182265953,0.062243912007975834
dec,3.8,5.000000000000002,-5.000000000000003,5,-5,2.3498992183808826e-15,600.0037659208043,-727.4792738202217,0.009222576506240143,0.07112981256026728
dec,3.75,5.0000000000001865,-3.9999999999999525,5,-4,2.1426510522335065e-13,689.9788227098123,-831.9993890141266,0.00961922208352504,0.05869180446587621
dec,3.7,4.999999999999985,-4.99999999999997,5,-5,2.615229253481647e-14,764.9997474999504,-961.9119911833625,0.00012749878761216335,0.06207810289196339
dec,3.65,4.000000000000018,-5.0000000000000355,4,-5,3.076740298213702e-14,809.9990339040794,-1091.203209351705,0.0017124806271274387,0.051712583982578
dec,3.6,3.999999999999998,-4.999999999999996,4,-5,3.8459253727671274e-15,854.9991016915749,-1221.1067198472865,0.0019370927345469015,0.05008393850734367
dec,3.55,4.000000000007034,-4.999999999989297,4,-5,1.547055169479511e-11,899.988986831525,-1351.014729011247,-0.08038012230582578,-0.027043206987230593
dec,3.5,3.999999999999945,-3.999999999999992,4,-4,5.1537313355268594e-14,960.0054107838737,-1455.5339956422026,-0.002994656595394583,0.05492613482442564
dec,3.45,3.0000000000000306,-4.000000000000004,3,-4,2.8680737593709305e-14,989.9990410142833,-1558.856070420799,0.001182376172614199,0.04643230467482087
dec,3.4,2.999999999999978,-3.9999999999999787,3,-4,2.1773961606419445e-14,1020.0000418475709,-1662.7769218956553,-0.0005278367548362347,0.045019851102844996
dec,3.35,2.999999999990725,-3.999999999995502,3,-4,8.033421613974526e-12,1050.0028859371948,-1767.30039483286,-0.0017838582876648433,0.05040467403539378
dec,3.3,2.0000000001378315,-4.000000000068753,2,-4,1.1936571216524637e-10,1049.8183740899624,-1870.5137008969946,0.2343584044081239,-0.11251025618807739
dec,3.25,1.9999999999999936,-2.999999999999987,2,-3,1.115318358102467e-14,1064.9997010314348,-1949.1693620403157,0.00016081453555816133,0.06734354776203465
dec,3.2,1.999999999999989,-3.0000000000000004,2,-3,1.1330803692797774e-14,1080.0030831134306,-2027.1077482312774,-0.0019969283808401496,0.04910988629539725
dec,3.15,2.0000000000005995,-3.0000000000000395,2,-3,5.807680107481052e-13,1095.0002873186759,-2105.0485312820697,-0.00016576086184312525,0.050224465031016706
dec,3.1,1.9999999999968299,-2.9999999999936597,2,-3,5.490827654699628e-12,1110.0000519954424,-2182.9919936101173,-4.117655165546984e-05,0.00682987527216836
dec,3.05,1.9999999999999805,-2.999999999999961,2,-3,3.3844143280350724e-14,1125.0000222422727,-2260.331307285443,-0.00015912226974115472,0.03872340623611937
dec,3.0,1.9999999999999936,-2.999999999999987,2,-3,1.115318358102467e-14,1140.0000374344734,-2338.276726502447,0.00016692788047197038,0.03298350409634049
dec,2.95,1.9999999999999936,-2.999999999999987,2,-3,1.115318358102467e-14,1154.9998004507536,-2416.219602105997,0.0002920828053839672,0.03378840749041346
dec,2.9,2.000000000000007,-3.0000000000000138,2,-3,1.1924436178121269e-14,1170.0006051844207,-2494.161674451219,-0.0019314474261809991,0.034041047111613786
dec,2.85,2.000000000000007,-3.0000000000000138,2,-3,1.1924436178121269e-14,1184.996367502657,-2572.1051379428054,0.005195643772359791,0.045779639961968904
dec,2.8,1.9999999999957847,-2.9999999999979132,2,-3,3.6506120321808756e-12,1199.7530697958232,-2649.898658341701,0.16196246140916568,-0.0718979794132833
dec,2.75,1.0000000000023999,-2.0000000000002975,1,-2,2.2657880619755035e-12,1200.0088737602357,-2702.605588157371,-0.006427770848341738,0.046191372226631514
dec,2.7,0.9999999999999442,-1.9999999999999565,1,-2,5.081584291910815e-14,1199.9895863388467,-2754.566930557391,0.007666671107099352,0.04562645170238919
dec,2.65,0.9999999999999931,-2.000000000000009,1,-2,1.3689549619931497e-14,1199.9937288850522,-2806.5277212492692,0.004763367430934342,0.04516226769778293
dec,2.6,1.0000000000000289,-2.000000000000035,1,-2,3.2424595162211406e-14,1200.000147714541,-2858.4886542334716,-9.949854964276895e-05,0.04353980242566766
dec,2.55,0.9999999999999651,-1.9999999999999303,1,-2,6.03810283524439e-14,1200.000011146298,-2910.4564737415517,6.504161639902987e-06,0.035237899074517395
dec,2.5,0.9999999999999912,-1.9999999999999825,1,-2,1.5191405222430154e-14,1200.0000115087732,-2961.8145218225022,-1.5133141872959014e-05,0.026096446058839103
dec,2.45,0.9999999999999912,-1.9999999999999825,1,-2,1.5191405222430154e-14,1199.9999645596852,-3013.776295181169,7.635917219042534e-05,0.028047405968429518
dec,2.4,1.0000000000000044,-2.000000000000009,1,-2,7.691850745534255e-15,1200.0001633361303,-3065.7375778534993,-7.019377632821025e-05,0.027390427920483556
dec,2.35,0.9999999999999633,-1.9999999999999039,1,-2,8.40308291301162e-14,1200.0034920533665,-3117.699518159152,0.0012836909185815694,0.03947274968411317
dec,2.3,0.9999999999990752,-0.999999999999742,1,-1,8.265828955652496e-13,1215.019322322561,-3144.2774953554153,-0.015318266212206926,0.041332136728179585
dec,2.25,1.0000000000000022,-1.0000000000000044,1,-1,3.8459253727671274e-15,1230.1206744230776,-3170.305343688358,0.00598229119572092,0.01844636525207707
dec,2.2,1.0000000000000382,-1.0000000000000309,1,-1,3.510622812248707e-14,1245.0517646408443,-3196.2508913698093,-0.02666149959892721,0.04106693576269889
dec,2.15,1.0000000000000249,-1.0000000000000044,1,-1,2.297276530139236e-14,1260.0138533850723,-3222.21739855551,-0.012128394967342469,0.03894173863046681
dec,2.1,0.9999999999999891,-0.9999999999999782,1,-1,1.8845034326558925e-14,1275.0015110499373,-3248.196152670749,-0.0014154701354966554,0.03729208819908628
dec,2.05,0.9999999999999778,-0.9999999999999782,1,-1,2.1985779942366724e-14,1289.999601567998,-3274.176517192636,0.0003973061759906866,0.036733894514729096
dec,2.0,1.000000000000004,-1.0000000000000309,1,-1,2.9072584270025565e-14,1305.0000696880427,-3300.156216314598,-5.709108265224238e-05,0.03441099182921645
dec,1.95,1.0000000000000022,-1.0000000000000044,1,-1,3.8459253727671274e-15,1319.9999999592937,-3325.54407986486,-1.257925751758357e-06,0.023167282260291494
dec,1.9,1.0000000000000022,-1.0000000000000044,1,-1,3.8459253727671274e-15,1335.0000012735468,-3351.524469835708,-5.396355700215272e-06,0.022354784347770187
dec,1.85,0.9999999999999909,-1.0000000000000044,1,-1,1.1959529375267435e-14,1350.0000003973755,-3377.5050369929363,7.377869751737347e-06,0.021643253251954545
dec,1.8,1.0000000000000155,-1.0000000000000309,1,-1,2.6729411910802584e-14,1364.9999945319735,-3403.485626178572,-5.337610230011737e-06,0.021003988092180154
dec,1.75,1.0000000000000135,-1.0000000000000044,1,-1,1.1959529375267435e-14,1380.0000244899693,-3429.4662322389786,-3.8138906494691485e-05,0.020424762450483604
dec,1.7,1.0000000000000022,-1.0000000000000044,1,-1,3.8459253727671274e-15,1394.999892609309,-3455.446900189854,0.00018556016246722428,0.019806996032484717
