name,F0,period,x,y,vx,vy,u_onecycle,v_onecycle,m,n,fixed_RK4_closure,expected_winding
pinned,1.2875,40.0,1.386145050360298e-07,-0.004084526842355244,-6.184665532773524e-07,0.014716043278292101,8.32898379423648e-13,-1.6626406111713234e-12,0,0,5.6815271676298316e-12,1
w11,1.9625,40.0,100.00000006900883,-173.21182252635342,9.780689532421615e-08,0.02268231187888612,0.9999999999887278,-0.9999999999769724,1,-1,2.07889200714285e-10,1
w12,2.5625,40.0,5.378016497490437e-05,-347.01406209480365,-2.1452277063493632e-05,0.047599887520439206,1.000000001014819,-2.000000002228468,1,-2,7.346513736873316e-09,1
w23,3.025,40.0,100.0000560096694,-519.6223571702097,-9.787022473885697e-05,0.032695102953189746,2.000000001080033,-3.0000000021633344,2,-3,1.9722458159077527e-09,1
w34,3.4,40.0,200.00004184757353,-692.8284696571,-0.0005278367605622633,0.04501985103985482,2.999999996234985,-3.9999999941077995,3,-4,2.2077692485033107e-08,1
w27_high,3.675,70.0,-299.9923730574125,-1213.0369692248464,-0.007059607870705845,0.03770534427108884,1.9999993900951774,-6.999999912443728,2,-7,7.644981408806721e-07,1
