name,F0,period,method,rtol,atol,max_step,solver_steps,mu1_abs,mu2_abs,mu3_abs,mu4_abs,closure
canonical_w11,2.0,40.0,DOP853,1e-09,1e-11,0.05,803,6.311081259851751e-22,1.673823222618923e-30,1.3704246869271486e-36,3.354072999813955e-38,1.7863705127903927e-11
canonical_w11,2.0,40.0,DOP853,1e-11,1e-13,0.025,1603,6.31108124388229e-22,1.673823175599149e-30,1.0670182441339118e-37,1.0638962849660183e-37,1.8029422011684224e-11
canonical_w11,2.0,40.0,Radau,1e-09,1e-11,0.05,3108,6.311098685939701e-22,1.6734291028729792e-30,2.346607573018745e-36,7.425069512028262e-38,1.9145559632864198e-11
