name,F0,period,du,dv,dvy,u,v,m,n,lock_residual,expected_winding
canonical_w11,2.0,40.0,-0.05,-0.05,-0.1,0.9999999999999998,-0.9999999999999994,1,-1,4.839349969133126e-16,1
canonical_w11,2.0,40.0,-0.05,-0.05,0.0,0.9999999999999998,-0.9999999999999994,1,-1,4.839349969133126e-16,1
canonical_w11,2.0,40.0,-0.05,-0.05,0.1,0.9999999999999998,-0.9999999999999994,1,-1,4.839349969133126e-16,1
canonical_w11,2.0,40.0,-0.05,0.0,-0.1,0.9999999999999998,-0.9999999999999994,1,-1,4.839349969133126e-16,1
canonical_w11,2.0,40.0,-0.05,0.0,0.0,0.9999999999999998,-0.9999999999999994,1,-1,4.839349969133126e-16,1
canonical_w11,2.0,40.0,-0.05,0.0,0.1,0.9999999999999998,-0.9999999999999994,1,-1,4.839349969133126e-16,1
canonical_w11,2.0,40.0,-0.05,0.05,-0.1,0.9999999999999998,-0.9999999999999994,1,-1,4.839349969133126e-16,1
canonical_w11,2.0,40.0,-0.05,0.05,0.0,0.9999999999999998,-0.9999999999999994,1,-1,4.839349969133126e-16,1
canonical_w11,2.0,40.0,-0.05,0.05,0.1,0.9999999999999998,-0.9999999999999994,1,-1,4.839349969133126e-16,1
canonical_w11,2.0,40.0,0.0,-0.05,-0.1,0.9999999999999998,-0.9999999999999994,1,-1,4.839349969133126e-16,1
canonical_w11,2.0,40.0,0.0,-0.05,0.0,0.9999999999999998,-0.9999999999999994,1,-1,4.839349969133126e-16,1
canonical_w11,2.0,40.0,0.0,-0.05,0.1,0.9999999999999998,-0.9999999999999994,1,-1,4.839349969133126e-16,1
canonical_w11,2.0,40.0,0.0,0.0,-0.1,0.9999999999999998,-0.9999999999999994,1,-1,4.839349969133126e-16,1
canonical_w11,2.0,40.0,0.0,0.0,0.0,0.9999999999999998,-0.9999999999999994,1,-1,4.839349969133126e-16,1
canonical_w11,2.0,40.0,0.0,0.0,0.1,0.9999999999999998,-0.9999999999999994,1,-1,4.839349969133126e-16,1
canonical_w11,2.0,40.0,0.0,0.05,-0.1,0.9999999999999998,-0.9999999999999994,1,-1,4.839349969133126e-16,1
canonical_w11,2.0,40.0,0.0,0.05,0.0,0.9999999999999998,-0.9999999999999994,1,-1,4.839349969133126e-16,1
canonical_w11,2.0,40.0,0.0,0.05,0.1,0.9999999999999998,-0.9999999999999994,1,-1,4.839349969133126e-16,1
canonical_w11,2.0,40.0,0.05,-0.05,-0.1,0.9999999999999998,-0.9999999999999994,1,-1,4.839349969133126e-16,1
canonical_w11,2.0,40.0,0.05,-0.05,0.0,0.9999999999999998,-0.9999999999999994,1,-1,4.839349969133126e-16,1
canonical_w11,2.0,40.0,0.05,-0.05,0.1,0.9999999999999998,-0.9999999999999994,1,-1,4.839349969133126e-16,1
canonical_w11,2.0,40.0,0.05,0.0,-0.1,0.9999999999999998,-0.9999999999999994,1,-1,4.839349969133126e-16,1
canonical_w11,2.0,40.0,0.05,0.0,0.0,0.9999999999999998,-0.9999999999999994,1,-1,4.839349969133126e-16,1
canonical_w11,2.0,40.0,0.05,0.0,0.1,0.9999999999999998,-0.9999999999999994,1,-1,4.839349969133126e-16,1
canonical_w11,2.0,40.0,0.05,0.05,-0.1,0.9999999999999998,-0.9999999999999994,1,-1,4.839349969133126e-16,1
canonical_w11,2.0,40.0,0.05,0.05,0.0,0.9999999999999998,-0.9999999999999994,1,-1,4.839349969133126e-16,1
canonical_w11,2.0,40.0,0.05,0.05,0.1,0.9999999999999998,-0.9999999999999994,1,-1,4.839349969133126e-16,1
