name,F0,period,m,n,iterations,res0,res1,res2,res3,x,y,vx,vy
pinned,1.2875,40.0,0,0,1,6.059722944698745e-12,,,,1.386145050360298e-07,-0.0040845268423552,-6.184665532773524e-07,0.0147160432782921
w11,1.9625,40.0,1,-1,2,2.2242229151466865e-10,4.785749640440096e-13,,,100.0000000690091,-173.21182252633218,9.780540683175583e-08,0.02268231165748367
w12,2.5625,40.0,1,-2,2,7.820170478073897e-09,4.587172998490403e-12,,,5.378005924793003e-05,-347.01406209685797,-2.1452191730539737e-05,0.047599895064727935
w23,3.025,40.0,2,-3,2,2.100937964178036e-09,6.985494924714202e-13,,,100.0000560096676,-519.6223571722055,-9.786987641988763e-05,0.03269510350931604
w34,3.4,40.0,3,-4,2,2.3598334804749858e-08,1.9464816163235878e-11,,,200.00004184669828,-692.8284696516448,-0.0005278347041514041,0.04501987388998035
w27_high,3.675,70.0,2,-7,4,8.123538925831408e-07,9.541332100462002e-11,8.351581490797585e-11,3.365355301845899e-10,-299.9923736592354,-1213.036969144239,-0.0070590700810533365,0.03770529348695706
