name,F0,period,du,dv,dvy,u,v,m,n,lock_residual,expected_winding
pinned,1.2875,40.0,-0.05,-0.05,-0.1,1.0004336662248053e-17,-2.0080938469786698e-17,0,0,1.7390640383071736e-17,1
pinned,1.2875,40.0,-0.05,-0.05,0.0,1.0004336662248053e-17,-2.0080938469786698e-17,0,0,1.7390640383071736e-17,1
pinned,1.2875,40.0,-0.05,-0.05,0.1,1.0004336662248053e-17,-2.0080938469786698e-17,0,0,1.7390640383071736e-17,1
pinned,1.2875,40.0,-0.05,0.0,-0.1,1.0004336662248053e-17,-2.0080938469786698e-17,0,0,1.7390640383071736e-17,1
pinned,1.2875,40.0,-0.05,0.0,0.0,1.0004336662248053e-17,-2.0080938469786698e-17,0,0,1.7390640383071736e-17,1
pinned,1.2875,40.0,-0.05,0.0,0.1,1.0004336662248053e-17,-2.0080938469786698e-17,0,0,1.7390640383071736e-17,1
pinned,1.2875,40.0,-0.05,0.05,-0.1,1.0004336662248053e-17,-2.0080938469786698e-17,0,0,1.7390640383071736e-17,1
pinned,1.2875,40.0,-0.05,0.05,0.0,1.0004336662248053e-17,-2.0080938469786698e-17,0,0,1.7390640383071736e-17,1
pinned,1.2875,40.0,-0.05,0.05,0.1,1.0004336662248053e-17,-2.0080938469786698e-17,0,0,1.7390640383071736e-17,1
pinned,1.2875,40.0,0.0,-0.05,-0.1,1.0004336662248053e-17,-2.0080938469786698e-17,0,0,1.7390640383071736e-17,1
pinned,1.2875,40.0,0.0,-0.05,0.0,1.0004336662248053e-17,-2.0080938469786698e-17,0,0,1.7390640383071736e-17,1
pinned,1.2875,40.0,0.0,-0.05,0.1,1.0050438566011722e-17,-2.0131015623077936e-17,0,0,1.7433977446200185e-17,1
pinned,1.2875,40.0,0.0,0.0,-0.1,1.0004336662248053e-17,-2.0080938469786698e-17,0,0,1.7390640383071736e-17,1
pinned,1.2875,40.0,0.0,0.0,0.0,1.0004336662248053e-17,-2.0080938469786698e-17,0,0,1.7390640383071736e-17,1
pinned,1.2875,40.0,0.0,0.0,0.1,1.0004336662248053e-17,-2.0080938469786698e-17,0,0,1.7390640383071736e-17,1
pinned,1.2875,40.0,0.0,0.05,-0.1,1.0004336662248053e-17,-2.0080938469786698e-17,0,0,1.7390640383071736e-17,1
pinned,1.2875,40.0,0.0,0.05,0.0,1.0004336662248053e-17,-2.0080938469786698e-17,0,0,1.7390640383071736e-17,1
pinned,1.2875,40.0,0.0,0.05,0.1,1.0004336662248053e-17,-2.0080938469786698e-17,0,0,1.7390640383071736e-17,1
pinned,1.2875,40.0,0.05,-0.05,-0.1,1.0004336662248053e-17,-2.0080938469786698e-17,0,0,1.7390640383071736e-17,1
pinned,1.2875,40.0,0.05,-0.05,0.0,1.0004336662248053e-17,-2.0080938469786698e-17,0,0,1.7390640383071736e-17,1
pinned,1.2875,40.0,0.05,-0.05,0.1,1.0004336662248053e-17,-2.0080938469786698e-17,0,0,1.7390640383071736e-17,1
pinned,1.2875,40.0,0.05,0.0,-0.1,1.0004336662248053e-17,-2.0080938469786698e-17,0,0,1.7390640383071736e-17,1
pinned,1.2875,40.0,0.05,0.0,0.0,1.0004336662248053e-17,-2.0080938469786698e-17,0,0,1.7390640383071736e-17,1
pinned,1.2875,40.0,0.05,0.0,0.1,1.0004336662248053e-17,-2.0080938469786698e-17,0,0,1.7390640383071736e-17,1
pinned,1.2875,40.0,0.05,0.05,-0.1,1.0004336662248053e-17,-2.0080938469786698e-17,0,0,1.7390640383071736e-17,1
pinned,1.2875,40.0,0.05,0.05,0.0,1.0004336662248053e-17,-2.0080938469786698e-17,0,0,1.7390640383071736e-17,1
pinned,1.2875,40.0,0.05,0.05,0.1,1.0004336662248053e-17,-2.0080938469786698e-17,0,0,1.7390640383071736e-17,1
w11,1.9625,40.0,-0.05,-0.05,-0.1,1.0000000000000004,-1.000000000000001,1,-1,9.678699938266251e-16,1
w11,1.9625,40.0,-0.05,-0.05,0.0,1.0000000000000004,-1.000000000000001,1,-1,9.678699938266251e-16,1
w11,1.9625,40.0,-0.05,-0.05,0.1,1.0000000000000004,-1.000000000000001,1,-1,9.678699938266251e-16,1
w11,1.9625,40.0,-0.05,0.0,-0.1,1.0000000000000004,-1.000000000000001,1,-1,9.678699938266251e-16,1
w11,1.9625,40.0,-0.05,0.0,0.0,1.0000000000000004,-1.000000000000001,1,-1,9.678699938266251e-16,1
w11,1.9625,40.0,-0.05,0.0,0.1,1.0000000000000004,-1.000000000000001,1,-1,9.678699938266251e-16,1
w11,1.9625,40.0,-0.05,0.05,-0.1,1.0000000000000004,-1.000000000000001,1,-1,9.678699938266251e-16,1
w11,1.9625,40.0,-0.05,0.05,0.0,1.0000000000000004,-1.000000000000001,1,-1,9.678699938266251e-16,1
w11,1.9625,40.0,-0.05,0.05,0.1,1.0000000000000004,-1.000000000000001,1,-1,9.678699938266251e-16,1
w11,1.9625,40.0,0.0,-0.05,-0.1,1.0000000000000004,-1.000000000000001,1,-1,9.678699938266251e-16,1
w11,1.9625,40.0,0.0,-0.05,0.0,1.0000000000000004,-1.000000000000001,1,-1,9.678699938266251e-16,1
w11,1.9625,40.0,0.0,-0.05,0.1,1.0000000000000004,-1.000000000000001,1,-1,9.678699938266251e-16,1
w11,1.9625,40.0,0.0,0.0,-0.1,1.0000000000000004,-1.000000000000001,1,-1,9.678699938266251e-16,1
w11,1.9625,40.0,0.0,0.0,0.0,1.0000000000000004,-1.000000000000001,1,-1,9.678699938266251e-16,1
w11,1.9625,40.0,0.0,0.0,0.1,1.0000000000000004,-1.000000000000001,1,-1,9.678699938266251e-16,1
w11,1.9625,40.0,0.0,0.05,-0.1,1.0000000000000004,-1.000000000000001,1,-1,9.678699938266251e-16,1
w11,1.9625,40.0,0.0,0.05,0.0,1.0000000000000004,-1.000000000000001,1,-1,9.678699938266251e-16,1
w11,1.9625,40.0,0.0,0.05,0.1,1.0000000000000004,-1.000000000000001,1,-1,9.678699938266251e-16,1
w11,1.9625,40.0,0.05,-0.05,-0.1,1.0000000000000004,-1.000000000000001,1,-1,9.678699938266251e-16,1
w11,1.9625,40.0,0.05,-0.05,0.0,1.0000000000000004,-1.000000000000001,1,-1,9.678699938266251e-16,1
w11,1.9625,40.0,0.05,-0.05,0.1,1.0000000000000004,-1.000000000000001,1,-1,9.678699938266251e-16,1
w11,1.9625,40.0,0.05,0.0,-0.1,1.0000000000000004,-1.000000000000001,1,-1,9.678699938266251e-16,1
w11,1.9625,40.0,0.05,0.0,0.0,1.0000000000000004,-1.000000000000001,1,-1,9.678699938266251e-16,1
w11,1.9625,40.0,0.05,0.0,0.1,1.0000000000000004,-1.000000000000001,1,-1,9.678699938266251e-16,1
w11,1.9625,40.0,0.05,0.05,-0.1,1.0000000000000004,-1.000000000000001,1,-1,9.678699938266251e-16,1
w11,1.9625,40.0,0.05,0.05,0.0,1.0000000000000004,-1.000000000000001,1,-1,9.678699938266251e-16,1
w11,1.9625,40.0,0.05,0.05,0.1,1.0000000000000004,-1.000000000000001,1,-1,9.678699938266251e-16,1
w12,2.5625,40.0,-0.05,-0.05,-0.1,0.9999999999999994,-1.999999999999999,1,-2,9.614813431917819e-16,1
w12,2.5625,40.0,-0.05,-0.05,0.0,0.9999999999999994,-1.999999999999999,1,-2,9.614813431917819e-16,1
w12,2.5625,40.0,-0.05,-0.05,0.1,0.9999999999999994,-1.999999999999999,1,-2,9.614813431917819e-16,1
w12,2.5625,40.0,-0.05,0.0,-0.1,0.9999999999999994,-1.999999999999999,1,-2,9.614813431917819e-16,1
w12,2.5625,40.0,-0.05,0.0,0.0,0.9999999999999994,-1.999999999999999,1,-2,9.614813431917819e-16,1
w12,2.5625,40.0,-0.05,0.0,0.1,0.9999999999999994,-1.999999999999999,1,-2,9.614813431917819e-16,1
w12,2.5625,40.0,-0.05,0.05,-0.1,0.9999999999999994,-1.999999999999999,1,-2,9.614813431917819e-16,1
w12,2.5625,40.0,-0.05,0.05,0.0,0.9999999999999994,-1.999999999999999,1,-2,9.614813431917819e-16,1
w12,2.5625,40.0,-0.05,0.05,0.1,0.9999999999999994,-1.999999999999999,1,-2,9.614813431917819e-16,1
w12,2.5625,40.0,0.0,-0.05,-0.1,0.9999999999999994,-1.999999999999999,1,-2,9.614813431917819e-16,1
w12,2.5625,40.0,0.0,-0.05,0.0,0.9999999999999994,-1.999999999999999,1,-2,9.614813431917819e-16,1
w12,2.5625,40.0,0.0,-0.05,0.1,0.9999999999999994,-1.999999999999999,1,-2,9.614813431917819e-16,1
w12,2.5625,40.0,0.0,0.0,-0.1,0.9999999999999994,-1.999999999999999,1,-2,9.614813431917819e-16,1
w12,2.5625,40.0,0.0,0.0,0.0,0.9999999999999994,-1.999999999999999,1,-2,9.614813431917819e-16,1
w12,2.5625,40.0,0.0,0.0,0.1,0.9999999999999994,-1.999999999999999,1,-2,9.614813431917819e-16,1
w12,2.5625,40.0,0.0,0.05,-0.1,0.9999999999999994,-1.999999999999999,1,-2,9.614813431917819e-16,1
w12,2.5625,40.0,0.0,0.05,0.0,0.9999999999999994,-1.999999999999999,1,-2,9.614813431917819e-16,1
w12,2.5625,40.0,0.0,0.05,0.1,0.9999999999999994,-1.999999999999999,1,-2,9.614813431917819e-16,1
w12,2.5625,40.0,0.05,-0.05,-0.1,0.9999999999999994,-1.999999999999999,1,-2,9.614813431917819e-16,1
w12,2.5625,40.0,0.05,-0.05,0.0,0.9999999999999994,-1.999999999999999,1,-2,9.614813431917819e-16,1
w12,2.5625,40.0,0.05,-0.05,0.1,0.9999999999999994,-1.999999999999999,1,-2,9.614813431917819e-16,1
w12,2.5625,40.0,0.05,0.0,-0.1,0.9999999999999994,-1.999999999999999,1,-2,9.614813431917819e-16,1
w12,2.5625,40.0,0.05,0.0,0.0,0.9999999999999994,-1.999999999999999,1,-2,9.614813431917819e-16,1
w12,2.5625,40.0,0.05,0.0,0.1,0.9999999999999994,-1.999999999999999,1,-2,9.614813431917819e-16,1
w12,2.5625,40.0,0.05,0.05,-0.1,0.9999999999999994,-1.999999999999999,1,-2,9.614813431917819e-16,1
w12,2.5625,40.0,0.05,0.05,0.0,0.9999999999999994,-1.999999999999999,1,-2,9.614813431917819e-16,1
w12,2.5625,40.0,0.05,0.05,0.1,0.9999999999999994,-1.999999999999999,1,-2,9.614813431917819e-16,1
w23,3.025,40.0,-0.05,-0.05,-0.1,2.0,-3.0000000000000004,2,-3,4.4408920985006257e-16,1
w23,3.025,40.0,-0.05,-0.05,0.0,2.0,-3.0000000000000004,2,-3,4.4408920985006257e-16,1
w23,3.025,40.0,-0.05,-0.05,0.1,2.0,-3.0000000000000004,2,-3,4.4408920985006257e-16,1
w23,3.025,40.0,-0.05,0.0,-0.1,2.0,-3.0000000000000004,2,-3,4.4408920985006257e-16,1
w23,3.025,40.0,-0.05,0.0,0.0,2.0,-3.0000000000000004,2,-3,4.4408920985006257e-16,1
w23,3.025,40.0,-0.05,0.0,0.1,2.0,-3.0000000000000004,2,-3,4.4408920985006257e-16,1
w23,3.025,40.0,-0.05,0.05,-0.1,2.0,-3.0000000000000004,2,-3,4.4408920985006257e-16,1
w23,3.025,40.0,-0.05,0.05,0.0,2.0,-3.0000000000000004,2,-3,4.4408920985006257e-16,1
w23,3.025,40.0,-0.05,0.05,0.1,2.0,-3.0000000000000004,2,-3,4.4408920985006257e-16,1
