F0,period,u,v,m,n,res,dy
3.775,40.0,5.000000000001576,-4.999999999998382,5.0,-5.0,2.766071664546624e-12,-4.330127018920791
3.8,40.0,4.999999999999986,-5.000000000000052,5.0,-5.0,6.076724362137513e-14,-4.330127018922238
3.825,40.0,4.999999999999927,-4.99999999999997,5.0,-5.0,6.33788586942475e-14,-4.330127018922167
3.85,40.0,4.999999999999971,-4.9999999999999885,5.0,-5.0,2.5572752891079575e-14,-4.330127018922183
3.875,40.0,5.999999999997698,-4.999999999998512,6.0,-5.0,2.0219453414565725e-12,-4.330127018920905
3.9,40.0,6.000000000000002,-4.000000000000006,6.0,-4.0,5.546672453247935e-15,-3.4641016151377597
3.925,40.0,5.999999999999998,-3.9999999999999964,6.0,-4.0,3.076740298213702e-15,-3.4641016151377513
3.95,40.0,5.99999999999999,-3.9999999999999605,6.0,-4.0,3.5657349368537836e-14,-3.46410161513772
3.975,40.0,5.999999999999869,-4.000000000000039,6.0,-4.0,1.538703426538013e-13,-3.464101615137788
4.0,40.0,5.99999999999841,-5.000000000001592,6.0,-5.0,2.7552210802078345e-12,-4.330127018923571
1.0,70.0,-1.1291630804558587e-17,2.2484641827766152e-17,0.0,0.0,1.9472333451785298e-17,1.947227101783966e-17
1.025,70.0,-1.1460862106681029e-17,2.3060529090615396e-17,0.0,0.0,1.9971124609115695e-17,1.997100401718299e-17
1.05,70.0,-1.1778599753559106e-17,2.362389706514183e-17,0.0,0.0,2.0458922174674164e-17,2.0458894994801467e-17
1.075,70.0,-1.2095351288365104e-17,2.4149707174699837e-17,0.0,0.0,2.0914269951962428e-17,2.091425990724538e-17
1.1,70.0,-1.2349412353598518e-17,2.47506330141947e-17,0.0,0.0,2.1434692602826777e-17,2.143467695003842e-17
1.125,70.0,-1.2568192639187469e-17,2.5339039565366755e-17,0.0,0.0,2.1944485907886413e-17,2.194425197110661e-17
1.15,70.0,-1.29568940732225e-17,2.5889888251570383e-17,0.0,0.0,2.2421304111499518e-17,2.2421300927000233e-17
1.175,70.0,-1.3212177944551834e-17,2.6403179072805576e-17,0.0,0.0,2.286582626929029e-17,2.286582381771929e-17
1.2,70.0,-1.3518915818832122e-17,2.699158562397763e-17,0.0,0.0,2.3375410275454683e-17,2.3375398838787475e-17
1.225,70.0,-1.3906126898967158e-17,2.7617550040118113e-17,0.0,0.0,2.3917698050860745e-17,2.3917499925030227e-17
1.25,70.0,-1.3990383876928033e-17,2.806824441973926e-17,0.0,0.0,2.4307852057440955e-17,2.4307812707125008e-17
1.275,70.0,-1.4442116909707015e-17,2.8819401719107837e-17,0.0,0.0,2.495835506169816e-17,2.495833401061631e-17
1.3,70.0,-1.469822435964818e-17,2.9345211828665846e-17,0.0,0.0,2.5413711835477566e-17,2.5413698923060225e-17
1.325,70.0,-2.943612553700136e-17,5.4483942780867644e-17,0.0,0.0,4.72354668456928e-17,4.718447854656915e-17
1.35,70.0,-8.163433454600297e-17,7.371356964470328e-17,0.0,0.0,7.79762574222273e-17,6.38378239159465e-17
1.375,70.0,1.0,-1.0000000000000002,1.0,-1.0,2.2204460492503128e-16,-0.8660254037844387
1.4,70.0,1.0000000000000002,-1.0000000000000004,1.0,-1.0,3.8459253727671276e-16,-0.8660254037844389
1.425,70.0,1.0,-1.0,1.0,-1.0,0.0,-0.8660254037844386
1.45,70.0,1.0,-1.0,1.0,-1.0,0.0,-0.8660254037844386
1.475,70.0,1.0000000000000002,-1.0,1.0,-1.0,2.220446049250313e-16,-0.8660254037844386
1.5,70.0,1.0,-1.0000000000000004,1.0,-1.0,4.4408920985006257e-16,-0.8660254037844389
1.525,70.0,1.0,-1.0,1.0,-1.0,0.0,-0.8660254037844386
1.55,70.0,1.0,-1.0,1.0,-1.0,0.0,-0.8660254037844386
1.575,70.0,1.0,-1.0,1.0,-1.0,0.0,-0.8660254037844386
1.6,70.0,0.9999999999999999,-1.0,1.0,-1.0,1.1102230246251565e-16,-0.8660254037844386
1.625,70.0,0.9999999999999993,-0.9999999999999994,1.0,-1.0,6.181460191301304e-16,-0.8660254037844382
1.65,70.0,0.9999999999999993,-1.0000000000000004,1.0,-1.0,9.678699938266253e-16,-0.8660254037844389
1.675,70.0,1.0000000000000004,-1.0000000000000004,1.0,-1.0,4.4408920985006257e-16,-0.8660254037844389
1.7,70.0,0.9999999999999999,-1.0,1.0,-1.0,1.1102230246251565e-16,-0.8660254037844386
1.725,70.0,0.9999999999998029,-2.000000000000196,1.0,-2.0,3.402687952464488e-13,-1.7320508075690468
1.75,70.0,1.0000000000000002,-2.0000000000000004,1.0,-2.0,3.8459253727671276e-16,-1.7320508075688774
1.775,70.0,1.000000000000055,-1.0000000000000029,1.0,-1.0,5.3682009934231526e-14,-0.866025403784441
1.8,70.0,2.0000000000000004,-2.000000000000001,2.0,-2.0,7.691850745534255e-16,-1.7320508075688779
1.825,70.0,2.0000000000000004,-2.000000000000001,2.0,-2.0,7.691850745534255e-16,-1.7320508075688779
1.85,70.0,1.9999999999999996,-2.0,2.0,-2.0,4.440892098500626e-16,-1.7320508075688772
1.875,70.0,2.0000000000000004,-2.000000000000001,2.0,-2.0,7.691850745534255e-16,-1.7320508075688779
1.9,70.0,1.9999999999999996,-2.0,2.0,-2.0,4.440892098500626e-16,-1.7320508075688772
1.925,70.0,2.0,-2.0,2.0,-2.0,0.0,-1.7320508075688772
