F,ok,eigmin,grad,jump,direction,case
0.1,True,0.4125381350216296,2.2682806608136284e-10,0.007388265605926143,plus,two_layer_effective
0.2,True,0.4092832775339193,4.408068188264366e-12,0.007125742788159576,plus,two_layer_effective
0.30000000000000004,True,0.4058196622529768,4.784068968961084e-12,0.0068992955859481985,plus,two_layer_effective
0.4,True,0.40215410511165384,5.3712657421862584e-12,0.006702987755958949,plus,two_layer_effective
0.5,True,0.3982869456724081,6.146156846639647e-12,0.006532262292539268,plus,two_layer_effective
0.6,True,0.3942132712322828,7.141285967101409e-12,0.006383568841107619,plus,two_layer_effective
0.7,True,0.3899234933902016,8.420062218365438e-12,0.006254109027067047,plus,two_layer_effective
0.7999999999999999,True,0.3854034806257692,1.0094428510747763e-11,0.006141658300482329,plus,two_layer_effective
0.8999999999999999,True,0.38063434367648474,1.236407270738402e-11,0.006044438937585018,plus,two_layer_effective
0.9999999999999999,True,0.3755919042406366,1.5416220391304147e-11,0.005961028146501592,plus,two_layer_effective
1.0999999999999999,True,0.37024582930663885,1.9452233828025853e-11,0.005890290869457283,plus,two_layer_effective
1.2,True,0.3645583695814387,2.4729703632607875e-11,0.00583133039792918,plus,two_layer_effective
1.3,True,0.35848259087058665,3.134606670999017e-11,0.005783452183203815,plus,two_layer_effective
1.4000000000000001,True,0.3519599214763078,3.8778987914226816e-11,0.005746137725903568,plus,two_layer_effective
1.5000000000000002,True,0.3449167429294415,4.5096810060677154e-11,0.00571902645768933,plus,two_layer_effective
1.6000000000000003,True,0.33725960420296625,4.68957369538517e-11,0.0057019042676973155,plus,two_layer_effective
1.7000000000000004,True,0.32886840486636737,4.2134057567998926e-11,0.005694697893618052,plus,two_layer_effective
1.8000000000000005,True,0.31958650683614204,4.202413834023411e-14,0.005697474879254569,plus,two_layer_effective
1.9000000000000006,True,0.3092060815322071,3.3892627697937133e-14,0.005710449275426867,plus,two_layer_effective
2.0000000000000004,True,0.29744586118049604,4.176855994228489e-14,0.0057339938358904686,plus,two_layer_effective
2.1000000000000005,True,0.28391641589636685,7.817677085637536e-14,0.005768660345758043,plus,two_layer_effective
2.2000000000000006,True,0.26806427232042684,1.742649719069876e-13,0.005815211539130901,plus,two_layer_effective
2.3000000000000007,True,0.2490788694974554,3.830015501383109e-13,0.005874673078487236,plus,two_layer_effective
2.400000000000001,True,0.2257317976137514,7.675489750946159e-13,0.005948432854999632,plus,two_layer_effective
2.500000000000001,True,0.19608803277883305,1.5087891000395653e-12,0.00603851215879941,plus,two_layer_effective
2.600000000000001,True,0.15696700274047576,4.46102262689959e-12,0.00614889369264227,plus,two_layer_effective
2.700000000000001,True,0.10289118428324291,5.971636713687875e-13,0.006300700081491203,plus,two_layer_effective
2.800000000000001,True,0.020540051221994465,1.0293528833490335e-13,0.0086010662328132,plus,two_layer_effective
2.9000000000000012,False,-0.09564935526627184,9.199124686306607e-13,0.011036964546687027,plus,two_layer_effective
0.1,True,0.41251690776586025,6.152935789187482e-12,0.007694739116182345,minus,two_layer_effective
0.2,True,0.409167760728165,6.486114304495236e-12,0.008055846313563025,minus,two_layer_effective
0.30000000000000004,True,0.40548914687594706,7.227764148042311e-12,0.008486478931728226,minus,two_layer_effective
0.4,True,0.40143003402479915,8.580881472522457e-12,0.009008103724711728,minus,two_layer_effective
0.5,True,0.39690928236516726,1.1124978593669486e-11,0.009652991977629213,minus,two_layer_effective
0.6,True,0.39179303106717084,1.6346621182031593e-11,0.010472338646741712,minus,two_layer_effective
0.7,True,0.385844823623649,2.797629557145471e-11,0.011553361709664544,minus,two_layer_effective
0.7999999999999999,True,0.3785996636131487,7.64629674130094e-13,0.013060157097467606,minus,two_layer_effective
0.8999999999999999,True,0.3689720334589749,2.15220368046646e-12,0.01535108715723033,minus,two_layer_effective
0.9999999999999999,True,0.35350362852620254,1.578466357435922e-11,0.01943700242689153,minus,two_layer_effective
1.0999999999999999,True,0.3065830033882632,3.7503826781504906e-11,0.030638791292866355,minus,two_layer_effective
1.2,False,-0.016135453878414658,0.04548703534368321,0.03171002635579112,minus,two_layer_effective
0.1,True,0.7496225912207816,1.0333136443403515e-10,0.007162344609459211,plus,nominal_one_layer
0.2,True,0.7467672336631024,2.887933322824246e-12,0.006932852590554758,plus,nominal_one_layer
0.30000000000000004,True,0.743667258215392,3.4005779633496604e-12,0.006734290862140541,plus,nominal_one_layer
0.4,True,0.7403249103810973,3.8756359933756904e-12,0.006561813841001592,plus,nominal_one_layer
0.5,True,0.7367376968143702,4.4220414890681346e-12,0.00641167162540006,plus,nominal_one_layer
0.6,True,0.7328986175273697,5.083940884164423e-12,0.006280924338915958,plus,nominal_one_layer
0.7,True,0.7287961505164611,5.942518886614989e-12,0.006167244300148237,plus,nominal_one_layer
0.7999999999999999,True,0.7244139956936235,7.124699117937828e-12,0.006068776143055764,plus,nominal_one_layer
0.8999999999999999,True,0.7197305643197969,8.541781770046845e-12,0.005984036239741783,plus,nominal_one_layer
0.9999999999999999,True,0.7147181766320567,1.0335233768877032e-11,0.005911839458636128,plus,nominal_one_layer
1.0999999999999999,True,0.7093419012121305,1.257966907464775e-11,0.0058512454071093815,plus,nominal_one_layer
1.2,True,0.7035579305408,1.5251392461965138e-11,0.005801518919553664,plus,nominal_one_layer
1.3,True,0.6973113314401154,1.8104861060103847e-11,0.0057621012556923965,plus,nominal_one_layer
1.4000000000000001,True,0.6905329260114987,2.0428909045370712e-11,0.005732589622227966,plus,nominal_one_layer
