case,theta_deg,stiffness_scale,c11_npm,c12_npm,a_ang,zero_E,zero_branch_id,zero_grad,zero_eigmin,zero_disp_rms_A,zero_disp_max_A,zero_principal_strain_max_abs,plus_Fc_lo,plus_Fc_hi,plus_Fc_est,plus_eigmin_at_lo,plus_disp_rms_A,plus_disp_max_A,plus_principal_strain_max_abs,minus_Fc_lo,minus_Fc_hi,minus_Fc_est,minus_eigmin_at_lo,minus_disp_rms_A,minus_disp_max_A,minus_principal_strain_max_abs,delta_Fc,rho,rigid_plus_Fc,rigid_minus_Fc,rigid_rho,plus_change_pct,minus_change_pct,rho_change_pct,rectification_sign_survives
two_layer_effective,1.5,0.5,119.3,27.5,3.25,-0.5605746735436652,0,2.588413536669212e-07,0.4155686796321889,0.011900361008752601,0.019104200098611097,0.001954647866310494,2.8070312500000014,2.807421875000001,2.8072265625000012,0.004602476092580403,0.053404751196055006,0.0897704432459853,0.00576774972245046,1.1351562499999999,1.1355468749999997,1.1353515625,0.03280230601021117,0.07587755890077534,0.1071993417925186,0.00820880536582006,1.6718750000000013,0.4240562766273657,3.0711353385,1.2586722985,0.41860128484964376,-8.593199156403731,-9.797684126914163,1.3031474042611624,True
nominal_one_layer,1.5,1.0,119.3,27.5,3.25,-0.5601396418893186,0,3.316926827180174e-07,0.752225840382247,0.006260382936191911,0.00977572365341365,0.001006778797673833,2.933984375000001,2.934375000000001,2.9341796875000012,0.010915389058853035,0.02981221161405459,0.049974478444788854,0.0032596169887510852,1.18984375,1.1902343750000002,1.1900390625000001,0.14550352552897294,0.04177511338340002,0.05842398353202188,0.004547365419557576,1.744140625000001,0.42290206478499726,3.0711353385,1.2586722985,0.41860128484964376,-4.459446944037659,-5.452828038067759,1.0274168023393093,True
stiffness_2x,1.5,2.0,119.3,27.5,3.25,-0.5599052102828637,0,4.2892982858621935e-07,1.4218292403423543,0.0032147257069601227,0.004946411939307168,0.0005113494677750732,3.0015625000000012,3.0019531250000013,3.001757812500001,0.009154544405538454,0.01577210356351959,0.026552738558234538,0.0017507744962594178,1.222265625,1.22265625,1.2224609375,0.16980373434134913,0.022179086363143478,0.03082713383526858,0.002421230104454485,1.779296875000001,0.4212132420935825,3.0711353385,1.2586722985,0.41860128484964376,-2.2590188433012637,-2.8769490711088475,0.6239725816601149,True
alt_elastic_literature,1.5,1.0,126.8,27.4,3.25,-0.5601050538932373,0,3.9629831862689846e-07,0.8070733420723021,0.005811023134146824,0.00909692195350634,0.000938467942295876,2.944140625000001,2.9445312500000007,2.944335937500001,0.011088922704771879,0.027808029370714353,0.046769764023470245,0.0030684245962912973,1.19453125,1.194921875,1.1947265625,0.1563902824406611,0.03891484283231191,0.05447953926868111,0.004238788699502272,1.7496093750000008,0.42270668176670445,3.0711353385,1.2586722985,0.41860128484964376,-4.128746767048385,-5.080411801880935,0.9807415948413389,True
