direction,q,Nmin,Nmax,n,alpha,R2,stderr,C,alpha_minus_half
plus,0.95,37,469,10,0.5036312219708554,0.9999930167929953,0.00047054008516134995,11.209081550183225,0.003631221970855414
plus,0.9,37,469,10,0.503626441855883,0.9999930344771444,0.0004699394492895676,15.81275271191437,0.0036264418558830114
plus,0.85,37,469,10,0.5036033690287655,0.9999931223181027,0.00046694547308964496,19.343139058674122,0.0036033690287654574
plus,0.8,37,469,10,0.5035654105411335,0.999993266261934,0.00046199839767342113,22.333685554111685,0.0035654105411334625
minus,0.95,37,469,10,0.5036450298181976,0.9999929630444283,0.00047236041078797656,11.392932516469793,0.003645029818197587
minus,0.9,37,469,10,0.5036533006788927,0.9999929295323041,0.00047349162036120217,16.072220323763954,0.0036533006788926903
minus,0.85,37,469,10,0.5036419909104083,0.9999929716611979,0.0004720682685211343,19.656950780048806,0.003641990910408288
minus,0.8,37,469,10,0.503614203495831,0.999993077103375,0.0004684879266163553,22.68827680351746,0.00361420349583097
