family,shape,N,Theta,theta_deg,Fp,Fm,Fp_norm,Fm_norm,rho,hard_p,hard_m,res_p,res_m
hex,shell6,127,0.0,0.0,3.4851202323700723,1.4222355051564721,1.0,1.0,0.4203658421252656,16.820108412143277,26.412876826421353,1.7838401791723786e-15,5.988270375482281e-14
hex,shell6,127,1.0,0.08873565094161139,3.4836916807179485,1.421670927239468,0.99959009975069,0.9996030348595876,0.4203605152723056,16.807455251848676,26.39675599090585,2.935435559343911e-14,7.913686097178518e-14
hex,shell6,127,2.0,0.17747130188322277,3.479404646140492,1.419976697423855,0.9983600031423612,0.9984117906461851,0.4203444892939041,16.769548185193184,26.34844455184616,7.562454595009061e-15,1.1505543357009967e-14
hex,shell6,127,3.0,0.26620695282483414,3.4722550505891503,1.4171513464998744,0.996308540043632,0.9964252343313295,0.4203176290096912,16.70654413049562,26.268095358367603,5.290942360583078e-14,9.85010641755161e-14
hex,shell6,127,4.0,0.35494260376644554,3.462236299077916,1.4131924887994967,0.99343381812782,0.9936416885078533,0.42027971270410047,16.61870353653618,26.155961986140007,1.9286059777502323e-14,1.4819884326457892e-14
hex,shell6,127,5.0,0.44367825470805694,3.449339578992048,1.408096915793828,0.9897333087548341,0.9900588971999481,0.4202304374723897,16.506388758275243,26.012396995126476,2.8582619359500694e-15,1.5756967858247937e-14
hex,shell6,127,6.0,0.5324139056496683,3.43355427246973,1.4018607252915654,0.9852039652975545,0.9856741167049791,0.42016942664048484,16.370061780303047,25.83784952408085,1.0369962582933715e-14,2.8339136222846055e-14
hex,shell6,127,7.0,0.6211495565912797,3.4148684752495746,1.3944794844283208,0.9798423720168981,0.980484230194283,0.42009623919092953,16.210281287163603,25.632862254380747,2.6740947968817106e-14,2.26791216424649e-14
hex,shell6,127,8.0,0.7098852075328911,3.393269613559511,1.3859484241590836,0.9736449210683047,0.9744858844644043,0.4200103811038178,16.027699081763327,25.398067783645786,1.642436999520844e-15,1.2001380133807982e-14
hex,shell6,127,9.0,0.7986208584745025,3.3687451488727223,1.3762626625176289,0.9666080147202817,0.9676756469149,0.4199113184960741,15.823055856664066,25.13418445647433,3.923588680975845e-14,1.9880507185735094e-14
hex,shell6,127,10.0,0.8873565094161139,3.3412833587025434,1.3654174534936905,0.9587282893911204,0.9600501805384681,0.4197984924150888,15.5971763282975,24.842011705431595,1.1981041877597038e-14,3.655735345340673e-15
hex,shell6,127,11.0,0.9760921603577252,3.310874180087531,1.3534084580066619,0.9500028576735661,0.9516064344475509,0.41967133511460664,15.35096375101119,24.52242496007409,1.2003409424846746e-14,9.895116150328625e-14
hex,shell6,127,12.0,1.0648278112993366,3.277510101069805,1.3402320331288398,0.9404295641303941,0.9423418472325296,0.4195292876130159,15.085393836256824,24.176370185287166,1.0363995597887178e-14,1.7504664784665318e-15
hex,shell6,127,13.0,1.153563462240948,3.2411870843419845,1.3258855354365096,0.9300072503202566,0.9322545602534635,0.41937181830893866,14.801508111884498,23.804858112564453,4.343083206301372e-14,5.932031807681943e-14
hex,shell6,127,14.0,1.2422991131825594,3.201905506377346,1.3103676341474055,0.9187360242661915,0.9213436378128114,0.41919844240855625,14.500406767046618,23.408958229127805,7.731293487623244e-15,1.116319030267746e-15
hex,shell6,127,15.0,1.3310347641241707,3.159671094814807,1.2936786295416733,0.9066175294233846,0.9096092910430785,0.41900874190669457,14.183241039124331,22.989792590044907,3.393521698014129e-14,7.606766894142621e-14
hex,shell6,127,16.0,1.4197704150657822,3.1144958466902044,1.275820772062852,0.8936552081510764,0.8970531022726003,0.4188023858629074,13.851205209784531,22.548529517843562,3.0824350422514047e-14,1.0292369205975518e-14
hex,shell6,127,17.0,1.5085060660073935,3.066398910333776,1.2567985774569843,0.879854554759064,0.8836782466056585,0.41857915072983015,13.505528287036107,22.086377252634943,2.321316938027108e-14,7.083744754888572e-14
hex,shell6,127,18.0,1.597241716949005,3.015407414427735,1.2366191333325254,0.8652233533926298,0.8694897074704055,0.418338940529941,13.147465458231284,21.6045776135418,9.586504724325971e-15,1.8611571997755593e-14
hex,shell6,127,19.0,1.6859773678906163,2.961557228879128,1.2152923926107702,0.8497718963529437,0.8544944829492677,0.418081806748278,12.7782894044449,21.104399729366115,1.4293554010104573e-15,6.56278501537033e-15
hex,shell6,127,20.0,1.7747130188322278,2.904893643849041,1.1928314494847074,0.8335131789337307,0.838701779810703,0.41780796792580027,12.399281568596596,20.587133893009756,3.130127628172121e-14,2.7264611037215903e-14
hex,shell8,217,0.0,0.0,3.4851202323700723,1.4222355051564721,1.0,1.0,0.4203658421252656,16.820108412143277,26.412876826421353,1.7838401791723786e-15,5.988270375482281e-14
hex,shell8,217,1.0,0.06788442333021306,3.4836879125012907,1.4216694379717154,0.9995890185206587,0.9996019877279787,0.4203605012243894,16.80742190291353,26.396713494774254,7.928532553462512e-15,2.7502748760474964e-14
hex,shell8,217,2.0,0.13576884666042613,3.479389562655163,1.4199707359109481,0.9983556751753693,0.9984075989965707,0.4203444329960674,16.769415193519787,26.34827494828086,1.9524601465979035e-14,1.8858548274001594e-14
hex,shell8,217,3.0,0.2036532699906392,3.4722210737898878,1.4171379167270637,0.9962987909397283,0.9964157916105127,0.42031750195653766,16.70624640940314,26.267715174263905,6.978267625986284e-15,6.094074342357081e-14
hex,shell8,217,4.0,0.27153769332085226,3.4621758021188276,1.4131685739780826,0.9934164594844863,0.9936248735560909,0.42027948593472153,16.618177994295195,26.15528962986264,2.8170692192541245e-15,2.488275383233177e-14
hex,shell8,217,5.0,0.33942211665106536,3.4492448726239626,1.4080594720355273,0.9897061342639211,0.9900325698032794,0.4202300814921508,16.50557506063017,26.01135347681666,1.3858619459070572e-14,3.935340176164087e-14
hex,shell8,217,6.0,0.4073065399812784,3.4334175971706493,1.4018066772155875,0.9851647484872388,0.985636114506481,0.4201689114437089,16.368903077722365,25.836359144449773,1.8593697902142508e-14,1.0416958548953989e-14
hex,shell8,217,7.0,0.47519096331149147,3.4146820004658758,1.3944057231812756,0.9797888660339575,0.9804323673018311,0.42009553440885217,16.20872489704658,25.630853254053577,1.292525559979148e-14,2.6054034398200406e-14
hex,shell8,217,8.0,0.5430753866417045,3.393025445245618,1.3858518082754057,0.9735748608415082,0.9744179520556523,0.4200094562988303,16.025697116130058,25.395472945873152,4.289255233645115e-15,7.612825249858246e-15
hex,shell8,217,9.0,0.6109598099719177,3.3684353462907737,1.3761400219862154,0.9665191217807867,0.9675894160966082,0.4199101436190418,15.820565786293045,25.130941656900326,3.4870836002986004e-14,6.54169685936719e-14
hex,shell8,217,10.0,0.6788442333021307,3.34089996118696,1.365265597325753,0.958618279552142,0.9599434076675991,0.419797038437714,15.594161474867498,24.838064403571956,1.3132763188092485e-14,1.0546572128740462e-14
hex,shell8,217,11.0,0.7467286566323438,3.3104092441955357,1.3532241855218459,0.949869451690129,0.9514768690667488,0.41966957484312745,15.347393699597387,24.517722628191912,1.7309702392598372e-15,1.801991016927812e-15
hex,shell8,217,12.0,0.8146130799625568,3.2769557482362113,1.3400121490928438,0.9402705013731197,0.9421872427136586,0.4195271966833257,15.081244761529373,24.17086867142915,1.0043191673117548e-15,2.8309499357032583e-14
hex,shell8,217,13.0,0.8824975032927699,3.240535558840753,1.325626869095249,0.9298203054065116,0.9320726871808799,0.4193693763563907,14.79676301258445,23.7985199356148,2.1175156666090163e-14,7.153423802245301e-14
hex,shell8,217,14.0,0.9503819266229829,3.201149243074894,1.3100670621119392,0.9185190265008267,0.9211323000741763,0.4191956343987888,14.49505560474488,23.40175280482614,9.533085365952798e-15,1.5311181672587533e-14
hex,shell8,217,15.0,1.018266349953196,3.158802795885992,1.293333102386338,0.90636838481117,0.9093663445309976,0.41900555960647057,14.177280778921487,22.9816963879801,1.6738254069713275e-14,3.626382473430208e-15
hex,shell8,217,16.0,1.086150773283409,3.113508566170977,1.275427344408034,0.8933719236577445,0.8967764760363744,0.4187988294229737,13.844639762415703,22.539526150456098,6.511720598140074e-15,7.204733035187035e-14
hex,shell8,217,17.0,1.1540351966136222,3.065286145111752,1.2563544412195087,0.8795352644196122,0.8833659662302458,0.41857523034507754,13.498368353785207,22.076457498222727,1.971158622348197e-14,4.00723691863217e-14
hex,shell8,217,18.0,1.2219196199438354,3.0141632000342007,1.2361216537424855,0.864866345797317,0.8691399204005171,0.4183346781361716,13.139728282060567,21.593739376153753,1.2481517731369782e-14,1.4593623108076246e-14
hex,shell8,217,19.0,1.2898040432740483,2.9601762382492782,1.214739146515312,0.8493756429849757,0.8541054854214656,0.41807723770966576,12.769998432758527,21.092647939271426,8.769482094595721e-15,1.7173584220662292e-14
hex,shell8,217,20.0,1.3576884666042615,2.9033712870732598,1.1922202653884946,0.8330763627913085,0.8382720450065887,0.4178031426635394,12.390466034970213,20.574480352139474,7.653133989706962e-15,5.183239809152535e-15
hex,shell10,331,0.0,0.0,3.4851202323700723,1.4222355051564721,1.0,1.0,0.4203658421252656,16.820108412143277,26.412876826421353,1.7838401791723786e-15,5.988270375482281e-14
hex,shell10,331,1.0,0.05496497099293127,3.4836860833542564,1.421668715059513,0.9995884936759153,0.9996014794350837,0.42036049440532447,16.807405714899428,26.39669286657834,3.281285258983142e-14,4.837748060242903e-14
hex,shell10,331,2.0,0.10992994198586253,3.4793822409000907,1.41996784210069,0.9983535743138252,0.9984055643052361,0.42034440566819825,16.769350638001193,26.348192620788893,3.239832259728929e-14,3.991686588531543e-15
hex,shell10,331,3.0,0.1648949129787938,3.4722045808863866,1.4171313976894433,0.9962940585625356,0.9964112079549953,0.42031744028266727,16.706101894018836,26.267530629960376,8.775686279801136e-15,1.2246211905119709e-14
hex,shell10,331,4.0,0.21985988397172507,3.462146435788707,1.4131569652781093,0.9934080332816116,0.9936167112651544,0.4202793758563287,16.617922896959847,26.154963266286437,8.74518491805528e-15,1.1317835143346661e-13
hex,shell10,331,5.0,0.27482485496465636,3.44919890024602,1.4080412960597535,0.9896929432188846,0.9900197899396718,0.4202299086915016,16.50518010031016,26.01084695680975,1.207235406127901e-14,2.3065232322184558e-14
hex,shell10,331,6.0,0.3297898259575876,3.433351251975366,1.4017804410437091,0.9851457117852429,0.9856176673704172,0.4201686613551442,16.368340667966613,25.835635731010072,1.6143822785211598e-14,1.3758806154027674e-14
hex,shell10,331,7.0,0.3847547969505189,3.414591481201261,1.3943699176363618,0.979762892966006,0.9804071917631921,0.4200951922910441,16.20796947750319,25.62987812591756,2.6436606581752512e-14,4.500207994273421e-15
hex,shell10,331,8.0,0.43971976794345013,3.3929069198930324,1.385804908361409,0.9735408518706026,0.9743849758616067,0.4200090073782025,16.024725457424577,25.39421349032497,2.5744451456784325e-14,8.559200197420094e-14
hex,shell10,331,9.0,0.49468473893638143,3.36828496029857,1.3760804888907676,0.9664759709044392,0.9675475572798145,0.4199095733125296,15.81935726385738,25.129367736730636,9.45360541721704e-16,5.4155011250930875e-14
hex,shell10,331,10.0,0.5496497099293127,3.3407138505631067,1.3651918821316609,0.958564878059096,0.9598915771558274,0.41979633266053384,15.592698307611332,24.836148595585385,1.0546822419235845e-14,1.0361544125443233e-14
hex,shell10,331,11.0,0.604614680922244,3.31018355366233,1.35313473473232,0.9498046933695669,0.9514139745677704,0.41966872040461245,15.345661149695317,24.5154404311683,3.512435023855306e-14,8.643705484004269e-14
hex,shell10,331,12.0,0.6595796519151752,3.2766866545000304,1.3399054120343532,0.940193289191548,0.9421121939203303,0.41952618177061374,15.079231292103426,24.16819868197154,4.0230931881861307e-14,1.4769754927858383e-14
hex,shell10,331,13.0,0.7145446229081065,3.240219298877835,1.32550130721865,0.9297295596239183,0.9319844023109382,0.41936819110273926,14.79446040064645,23.79544399085452,1.5197083449424006e-14,6.120051998571142e-14
hex,shell10,331,14.0,0.7695095939010378,3.2007821471757962,1.3099211601679683,0.9184136941522644,0.9210297137279334,0.41919427152953376,14.492459007489895,23.39825609148855,1.6198216788955852e-14,3.884749406421742e-14
