shell,N,Theta,theta_deg,Fp,Fm,Fp_norm,Fm_norm,rho,hard_p,hard_m,res_p,res_m
3,37,0.0,0.0,3.4851202323700723,1.4222355051564721,1.0,1.0,0.4203658421252656,16.820108412143277,26.412876826421353,1.7838401791723786e-15,5.988270375482281e-14
3,37,1.0,0.1643989873053573,3.483713904217472,1.4216797103689391,0.9995964764315622,0.9996092104398197,0.42036059812141885,16.807651933542495,26.39700661926488,2.6126975820649902e-15,2.650067939507925e-14
3,37,2.0,0.3287979746107146,3.479493602058181,1.4200118558379613,0.9983855276326966,0.9984365111752247,0.42034482131275464,16.770332551613507,26.349444839487226,3.64901787639117e-14,3.7806720265774675e-14
3,37,3.0,0.4931969619160719,3.472455428660909,1.4172305483961438,0.9963660353546683,0.9964809226445394,0.4203183782983421,16.708300132558037,26.27033768560368,1.0338748226730062e-14,5.267679426329822e-15
3,37,4.0,0.6575959492214292,3.4625930740535242,1.4133335236592226,0.9935361890510077,0.9937408527174477,0.42028105003787203,16.6218034680273,26.159927737663907,1.3692142006826307e-14,6.196499470717064e-15
3,37,5.0,0.8219949365267865,3.4498980907391688,1.4083177315621624,0.9898935648464127,0.9902141568370012,0.420232536769005,16.511188795097794,26.018552346293003,3.789791675066558e-14,3.56440014442001e-14
3,37,6.0,0.9863939238321437,3.43436027320241,1.402179454507584,0.9854352344300206,0.9858982210919551,0.42017246484130993,16.376897720899223,25.846641407452253,3.782845392897979e-15,1.6073534089462663e-14
3,37,7.0,1.150792911137501,3.415968135938274,1.3949144565474791,0.9801579022182626,0.980790067109183,0.42010039541341804,16.21946455005111,25.644714552099217,4.539963911732937e-14,1.970768123669445e-14
3,37,8.0,1.3151918984428583,3.3947094826395072,1.3865181616007534,0.9740580686741241,0.9748864773617157,0.4200158349410398,16.039513014566523,25.413377787001007,1.5127275483041004e-14,9.658300263388558e-15
3,37,9.0,1.4795908857482156,3.370572057628927,1.3769858583150913,0.9671322172253305,0.968184139210895,0.4199182473622179,15.837752408741878,25.15331962917452,2.7387081980233543e-14,2.5413590978501514e-14
