phi_deg,theta_deg,theta_minus_switch,energy_switch_deg,UA,UB,FAplus,FAminus,FBplus,FBminus,deltaA,deltaB,hard_min,fold_resid_max,ground,ground_Fplus,ground_Fminus,ground_delta,global_Fplus,global_Fminus,global_delta
20,2.9012780083812055,-0.02,2.9212780083812055,-0.23811158407304026,-0.23378805779706638,1.1023305740173355,0.42003981322693273,0.415044548742949,1.0810028347431642,0.6822907607904027,-0.6659582860002151,8.523317347819017,1.1332501980263538e-14,A,1.1023305740173355,0.42003981322693273,0.6822907607904027,1.1023305740173355,1.0810028347431642,0.02132773927417131
20,2.9162780083812057,-0.005,2.9212780083812055,-0.23464363299179575,-0.2335626667454799,1.0808586575990073,0.4113317007834687,0.4177571394746685,1.0860375999912004,0.6695269568155386,-0.6682804605165319,8.447950384005951,2.2096506112375022e-14,A,1.0808586575990073,0.4113317007834687,0.6695269568155386,1.0808586575990073,1.0860375999912004,-0.0051789423921930755
20,2.9202780083812057,-0.001,2.9212780083812055,-0.2337189865344379,-0.2335027898450116,1.07513623093432,0.4090137902766419,0.41848493200540515,1.0873809435358806,0.666122440657678,-0.6688960115304754,8.427712126886192,3.6455480804111804e-14,A,1.07513623093432,0.4090137902766419,0.666122440657678,1.07513623093432,1.0873809435358806,-0.01224471260156057
20,2.9212780083812055,0.0,2.9212780083812055,-0.23348783544118568,-0.23348783544118556,1.073705868800854,0.4084346013537587,0.4186671733119615,1.0877168210523116,0.6652712674470953,-0.66904964774035,8.422643231144061,7.58713954018535e-15,A,1.073705868800854,0.4084346013537587,0.6652712674470953,1.073705868800854,1.0877168210523116,-0.014010952251457542
20,2.9222780083812054,0.001,2.9212780083812055,-0.23325668870960692,-0.23347288694915294,1.0722756068640973,0.40785552898747035,0.41884953205541325,1.088052714361103,0.6644200778766269,-0.6692031823056896,8.41757059144362,3.0372160296089244e-14,B,0.41884953205541325,1.088052714361103,-0.6692031823056896,1.0722756068640973,1.088052714361103,-0.01577710749700567
20,2.9262780083812054,0.005,2.9212780083812055,-0.23233214693193283,-0.2334131519309082,1.0665555850241042,0.40554041586492745,0.4195801430698034,1.0893964368389424,0.6610151691591768,-0.669816293769139,8.397242479238137,3.360147673117471e-14,B,0.4195801430698034,1.0893964368389424,-0.669816293769139,1.0665555850241042,1.0893964368389424,-0.022840851814838192
20,2.9412780083812056,0.02,2.9212780083812055,-0.22886583134987382,-0.23318997758392104,1.045121269943971,0.39687601904530845,0.42233677216349474,1.094437101978378,0.6482452508986625,-0.6721003298148833,8.320471507802212,2.3826284437550743e-14,B,0.42233677216349474,1.094437101978378,-0.6721003298148833,1.045121269943971,1.094437101978378,-0.04931583203440715
25,2.8272331222617737,-0.02,2.8472331222617737,-0.24627764827884344,-0.24179222972226935,1.1494096610930313,0.43209018150679024,0.4271051865771763,1.1268769174588218,0.7173194795862411,-0.6997717308816456,8.768890232841702,2.0771574202827514e-14,A,1.1494096610930313,0.43209018150679024,0.7173194795862411,1.1494096610930313,1.1268769174588218,0.02253274363420954
25,2.842233122261774,-0.005,2.8472331222617737,-0.24274961801328174,-0.24162807811666676,1.1273560822823216,0.423208887105761,0.430073078359748,1.132600740611941,0.7041471951765607,-0.702527662252193,8.693686970052507,2.0640573342952856e-14,A,1.1273560822823216,0.423208887105761,0.7041471951765607,1.1273560822823216,1.132600740611941,-0.0052446583296192895
25,2.846233122261774,-0.001,2.8472331222617737,-0.2418088260351096,-0.2415845093387094,1.1214771469729736,0.4208447018717763,0.4308692420341553,1.1341275176116223,0.7006324451011974,-0.703258275577467,8.673484994951718,2.247165728950497e-14,A,1.1214771469729736,0.4208447018717763,0.7006324451011974,1.1214771469729736,1.1341275176116223,-0.012650370638648711
25,2.8472331222617737,0.0,2.8472331222617737,-0.24157363043363417,-0.24157363043363436,1.120007566654047,0.42025393847748155,0.4310685950580048,1.1345092311340739,0.6997536281765655,-0.703440636076069,8.668424677765827,8.92467823634894e-15,B,0.4310685950580048,1.1345092311340739,-0.703440636076069,1.120007566654047,1.1345092311340739,-0.014501664480026877
25,2.8482331222617736,0.001,2.8472331222617737,-0.24133843594941137,-0.24156275682057915,1.118538050242818,0.4196632893623133,0.4312680730664704,1.1348909513107608,0.6988747608805046,-0.7036228782442904,8.663360419009088,1.0649300912820696e-14,B,0.4312680730664704,1.1348909513107608,-0.7036228782442904,1.118538050242818,1.1348909513107608,-0.01635290106794285
25,2.8522331222617736,0.005,2.8472331222617737,-0.24039767078484323,-0.241519315050216,1.1126606488296475,0.4173018468531521,0.4320672363684631,1.1364178879206766,0.6953588019764955,-0.7043506515522134,8.643063846138503,3.2016119012143993e-14,B,0.4320672363684631,1.1364178879206766,-0.7043506515522134,1.1126606488296475,1.1364178879206766,-0.023757239091029003
25,2.8672331222617737,0.02,2.8472331222617737,-0.23687005936622987,-0.2413571477191538,1.0906310648805997,0.40846341394656954,0.43508199652837665,1.1421441822567187,0.6821676509340302,-0.707062185728342,8.566382476052937,4.400139475579354e-14,B,0.43508199652837665,1.1421441822567187,-0.707062185728342,1.0906310648805997,1.1421441822567187,-0.051513117376118966
