phi_deg,edge_weight,edge_sites,switch_deg,inside_0_3,dE_slope_per_deg,Aplus,Aminus,deltaA,Bplus,Bminus,deltaB,sign_opposite_at_switch,hard_min,fold_resid_max
20,0.5,48,3.1700953181060294,False,0.19552296271777014,1.077395836478413,0.4087167817099042,0.6686790547685089,0.41809326667294544,1.0903754474476919,-0.6722821807747464,True,8.46836611973227,1.8862658787158274e-14
20,0.75,48,3.0265912639421915,False,0.2066987080594218,1.075085182752359,0.40842951783694764,0.6666556649154114,0.4181738250714797,1.088522412836075,-0.6703485877645954,True,8.446504736447263,2.7916638849944064e-14
20,1.0,48,2.9212780083812118,True,0.21619747851253646,1.0737058688008403,0.4084346013537561,0.6652712674470842,0.41866717331196335,1.087716821052318,-0.6690496477403547,True,8.422643231144054,1.2103594803346099e-14
20,1.25,48,2.841009422896284,True,0.22420543997897502,1.0728747429705896,0.40857371334847575,0.6643010296221139,0.41930933169958157,1.0874525922248777,-0.6681432605252962,True,8.399074650336221,1.7130879529797606e-14
20,1.5,48,2.777913879130666,True,0.23098465376333865,1.072378146576554,0.4087724717940547,0.6636056747824994,0.4199846767475614,1.0874728864569059,-0.6674882097093444,True,8.376837872340793,1.4438851853113312e-14
25,0.5,48,3.083165346175891,False,0.2035298632335758,1.123294767562508,0.42073672291899455,0.7025580446435135,0.4306539061238124,1.1367907185542978,-0.7061368124304854,True,8.725233174835251,1.881744409111333e-14
25,0.75,48,2.947202095744257,True,0.21478056534171563,1.1211699270412339,0.4203401510224574,0.7008297760187765,0.43065961425781213,1.1351280505733847,-0.7044684363155727,True,8.696608905560623,3.580325424288602e-14
25,1.0,48,2.847233122261797,True,0.22431879894729834,1.1200075666540124,0.4202539384774664,0.699753628176546,0.431068595058009,1.1345092311340854,-0.7034406360760764,True,8.668424677765707,6.932046518027328e-15
25,1.25,48,2.7709090323048926,True,0.23235346895522646,1.119366284071775,0.4203107324821894,0.6990555515895857,0.4316231405114203,1.1343927109270773,-0.7027695704156569,True,8.641985230390944,2.5545345314658706e-14
25,1.5,48,2.7108289738593734,True,0.2391540303819939,1.1190242454090154,0.42043424752504344,0.6985899978839719,0.4322129350868858,1.1345235114177565,-0.7023105763308708,True,8.61777239063711,2.07249579034262e-14
