phi_deg,radius_a,dE_theta0,dE_theta3,roots_0_4,first_root_deg,root_inside_0_3
5,9.2375,-0.36656039728595563,-0.11261582110468393,3.966207672177,3.9662076721769517,False
10,9.193,-0.36656039728595563,-0.04527757317939052,3.256546314429,3.256546314429208,False
15,9.142,-0.36656039728595563,-0.010571119949192825,3.053753241335,3.053753241335151,False
20,9.1645,-0.36656039728595563,0.01701737910592377,2.921278008381,2.9212780083812118,True
25,9.117,-0.36656039728595563,0.03426243674445001,2.847233122262,2.8472331222617577,True
