T,dt,n,mean_u,se_u,mean_v,se_v,Ptarget,seconds
0.0001,0.04,300,0.8548196138361728,0.013294405064239559,-1.703644736364005,0.008755464569776519,0.11533333333333332,0.7265176773071289
0.0001,0.02,300,0.854137108604289,0.012507384925945508,-1.6884403126434497,0.008136896917157679,0.12133333333333335,1.2847630977630615
0.0001,0.01,300,0.8790209742536876,0.013101916858676309,-1.6978439290052725,0.008040051068666006,0.11966666666666666,2.509727954864502
0.001,0.04,300,0.9676776182827672,0.01263265270953102,-1.938654745189059,0.004626193629033467,0.034666666666666665,0.6607265472412109
0.001,0.02,300,0.9866702660732801,0.01258303872051881,-1.9470296890311325,0.004280098251532009,0.035,1.2947947978973389
0.001,0.01,300,0.9922118833472023,0.013304304810268208,-1.9481602496507813,0.004184034989326394,0.03333333333333333,2.4469151496887207
0.005,0.04,300,1.06151275338391,0.013921764844539405,-2.157053635294565,0.007727370102563973,0.057,0.6831347942352295
0.005,0.02,300,1.08234879277112,0.01375063970326807,-2.1524574989212573,0.007823888260154569,0.06366666666666668,1.3068861961364746
0.005,0.01,300,1.076487582661604,0.014070943169346727,-2.1399496376652434,0.007867273856326717,0.064,2.33123779296875
