model,case,theta,Fp,Fm,rho,Fp_change_vs_rigid_pct,Fm_change_vs_rigid_pct,rho_change_vs_rigid_pct
FEM,C_half_1p5,1.5,2.807397460937501,1.1352294921875,0.4241253328379468,-8.587634491132533,-9.80738246639492,1.3196442970620392
FEM,C_nom_1p5,1.5,2.934301757812501,1.1902099609375,0.4228601870486564,-4.455472183516362,-5.4392503627866855,1.017412594708622
FEM,C_2x_1p5,1.5,3.001635742187501,1.2225341796875,0.4211718740969358,-2.2629936062932954,-2.8711300674148954,0.6140901461629378
FEM,C_alt_1p5,1.5,2.9444091796875007,1.1948974609374998,0.4226581576681256,-4.126361911228349,-5.066834126599861,0.9691496323527282
FEM,C_100x_1p5,1.5,3.069750976562501,1.2578857421874998,0.4186731355071648,-0.045076553917544615,-0.062490952839111547,0.017164460510299406
FEM,C_nom_3,3.0,1.5730224609375,0.6312744140625,0.4272328548644339,,,
FEM,C_half_3,3.0,1.2448974609374996,0.5168212890625,0.4132760532150775,,,
VFF,VFF_theta1.5_scale1.0,1.5,2.935400390625001,1.190478515625,0.4229212525740256,-4.419699327832882,-5.417914015921821,1.0320005875262606
VFF,VFF_theta1.5_scale0.5,1.5,2.810107421875001,1.1356933593749998,0.424353421606237,-8.499394780446623,-9.770528776355603,1.3741326076674998
VFF,VFF_theta3.0_scale1.0,3.0,1.5743652343750003,0.6310058593750001,0.4277553912234867,,,
