case,theta,scale,c11,c12,Fp,Fm,rho,plus_strain,minus_strain,plus_disp,minus_disp
C_half_1p5,1.5,0.5,119.3,27.5,2.807397460937501,1.1352294921875,0.4241253328379468,0.005804048474624944,0.00823873334411464,0.0898266829110236,0.107656862177919
C_nom_1p5,1.5,1.0,119.3,27.5,2.9343017578125012,1.1902099609375,0.4228601870486564,0.0032770518271424964,0.004592297319398891,0.04999624170329341,0.05909514735393227
C_2x_1p5,1.5,2.0,119.3,27.5,3.001635742187501,1.2225341796875,0.4211718740969358,0.0017525035883967682,0.002440734713018338,0.026569364603447783,0.031113535225130058
C_alt_1p5,1.5,1.0,126.8,27.4,2.9444091796875007,1.1948974609374998,0.42265815766812564,0.0030803841316920854,0.0042773288935746695,0.04681700132346046,0.05505469911797754
C_100x_1p5,1.5,100.0,119.3,27.5,3.0697509765625015,1.2578857421874998,0.41867313550716484,3.768952835447201e-05,5.1878679612234585e-05,0.0005638418353691674,0.0006539775753128528
C_nom_3,3.0,1.0,119.3,27.5,1.5730224609375,0.6312744140625,0.4272328548644339,0.008644054741568213,0.008436399318455337,0.09952154990645903,0.10087553776691725
C_half_3,3.0,0.5,119.3,27.5,1.2448974609374996,0.5168212890625,0.4132760532150775,0.013986126453005626,0.015970096439042195,0.1750361301382411,0.19524091796326407
