T,seed,mean,lo,hi,resolved_above_half
0.5,10101,0.5176,0.5079,0.5273,True
0.5,20202,0.5176,0.5079,0.5273999999999999,True
0.55,10101,0.5099,0.5001,0.5197,True
0.55,20202,0.5099,0.5002,0.5197,True
0.6,10101,0.5059,0.49639999999999995,0.5154000000000001,False
0.6,20202,0.5059,0.49639999999999995,0.5154,False
0.65,10101,0.5067,0.497,0.5164,False
0.65,20202,0.5067,0.49710000000000004,0.5164,False
